粉红花公益版7-11txt,#genre#
有线赛马频临,http://t.061899.xyz/tl/js/js.php?id=18xgyxt
有线赛马频临,http://t.061899.xyz/tl/js/js.php?id=18xgyxtb
Now直播频临,http://t.061899.xyz/tl/js/js.php?id=nowzbt
Now财经频临,http://t.061899.xyz/tl/js/js.php?id=nowcjt
VIUTV粤频临,http://t.061899.xyz/tl/js/js.php?id=viutv
VIUTV英频临,http://t.061899.xyz/tl/js/js.php?id=6viutv
RTHK-31频临,http://t.061899.xyz/tl/js/js.php?id=31gtds
RTHK-32频临,http://t.061899.xyz/tl/js/js.php?id=32gtds
Plus综合频临,http://t.061899.xyz/tl/168.php?id=2j
无线新闻频临,http://t.061899.xyz/tl/168.php?id=wxxwt
无线翡翠频临,http://t.061899.xyz/tl/168.php?id=fct
无线明珠频临,http://t.061899.xyz/tl/168.php?id=zzt
无线千禧频临,http://t.061899.xyz/tl/168.php?id=tvbqxjd
天映频道频临,http://t.061899.xyz/tl/168.php?id=typd
天映经典频临,http://t.061899.xyz/tl/168.php?id=tyjd
中天新闻频临,http://t.061899.xyz/tl/js/js.php?id=ztxwt
中天新闻频临,http://t.061899.xyz/tl/js/js.php?id=ztxw
寰宇新闻频临,http://t.061899.xyz/tl/js/js.php?id=hyxwt
寰宇新闻频临,http://t.061899.xyz/tl/js/js.php?id=hyxwt1
东森新闻频临,http://t.061899.xyz/tl/js/js.php?id=dsxwt
东森新闻频临,http://t.061899.xyz/tl/js/js.php?id=dsxw
tvbs新闻频临,http://t.061899.xyz/tl/js/js.php?id=tvbsxwt
tvbs新闻频临,http://t.061899.xyz/tl/js/js.php?id=tvbsxwt1
三立新闻频临,http://t.061899.xyz/tl/js/js.php?id=slxwt
非凡新闻频临,http://t.061899.xyz/tl/js/js.php?id=ffxw
闽镜新闻频临,http://t.061899.xyz/tl/js/js.php?id=jdsxwt
闽镜新闻频临,http://t.061899.xyz/tl/js/js.php?id=jxw
民视新闻频临,http://t.061899.xyz/tl/js/js.php?id=msxwt
民视新闻频临,http://t.061899.xyz/tl/js/js.php?id=msxwt1
中视新闻频临,http://t.061899.xyz/tl/js/js.php?id=zsxwt
中视新闻频临,http://t.061899.xyz/tl/js/js.php?id=zsxw
华视新闻频临,http://t.061899.xyz/tl/js/js.php?id=hsxwt
华视新闻频临,http://t.061899.xyz/tl/js/js.php?id=hsxw
台视新闻频临,http://t.061899.xyz/tl/js/js.php?id=tsxwt
台视新闻频临,http://t.061899.xyz/tl/js/js.php?id=tsxw
公视闽南频临,http://t.061899.xyz/tl/js/js.php?id=hdgs
民视闽南频临,http://t.061899.xyz/tl/js/js.php?id=hdms
民视闽南频临,http://t.061899.xyz/tl/js/js.php?id=ms
中视闽南频临,http://t.061899.xyz/tl/js/js.php?id=hdzs
中视闽南频临,http://t.061899.xyz/tl/js/js.php?id=zs
华视闽南频临,http://t.061899.xyz/tl/js/js.php?id=hdhs
华视闽南频临,http://t.061899.xyz/tl/js/js.php?id=hs
台视闽南频临,http://t.061899.xyz/tl/js/js.php?id=hdts
台视闽南频临,http://t.061899.xyz/tl/js/js.php?id=ts
tvbs闽南频临,http://t.061899.xyz/tl/js/js.php?id=tvbshd
tvbs闽南频临,http://t.061899.xyz/tl/js/js.php?id=tvbshd1
寰宇闽南频临,http://t.061899.xyz/tl/js/js.php?id=hyxwtwt
寰宇闽南频临,http://t.061899.xyz/tl/js/js.php?id=hyxwtwt1
寰宇财经频临,http://t.061899.xyz/tl/js/js.php?id=hycjt
闽南戏剧频临,http://t.061899.xyz/tl/js/js.php?id=twxjt
公视戏剧频临,http://t.061899.xyz/tl/js/js.php?id=gsxj
民视闽语频临,http://t.061899.xyz/tl/js/js.php?id=mstwt
民视第一频临,http://t.061899.xyz/tl/js/js.php?id=msdyt
民视影剧频临,http://t.061899.xyz/tl/js/js.php?id=msyj
民视综艺频临,http://t.061899.xyz/tl/js/js.php?id=mszy
民视旅游频临,http://t.061899.xyz/tl/js/js.php?id=msly
中视经典频临,http://t.061899.xyz/tl/js/js.php?id=zsjd
中视菁采频临,http://t.061899.xyz/tl/js/js.php?id=zsjc
台视财经频临,http://t.061899.xyz/tl/js/js.php?id=tscj
中天亚洲频临,http://t.061899.xyz/tl/js/js.php?id=ztyzt
三立闽南频临,http://t.061899.xyz/tl/js/js.php?id=sltwt
八大精彩频临,http://t.061899.xyz/tl/js/js.php?id=bdjct
八大综艺频临,http://t.061899.xyz/tl/js/js.php?id=bdzyt
tvbs精采频临,http://t.061899.xyz/tl/js/js.php?id=tvbsjct
tvbs欢乐频临,http://t.061899.xyz/tl/js/js.php?id=tvbshlt
东森财经频临,http://t.061899.xyz/tl/js/js.php?id=dscjxw
龙华电影频临,http://t.061899.xyz/tl/js/js.php?id=lhdy
龙华卡通频临,http://t.061899.xyz/tl/js/js.php?id=lhkt
龙华日韩频临,http://t.061899.xyz/tl/js/js.php?id=lhrh
龙华偶像频临,http://t.061899.xyz/tl/js/js.php?id=lhox
龙华经典频临,http://t.061899.xyz/tl/js/js.php?id=lhjd
龙华戏剧频临,http://t.061899.xyz/tl/js/js.php?id=lhxj
纬来体育频临,http://t.061899.xyz/tl/js/js.php?id=wltyt
纬来日本频临,http://t.061899.xyz/tl/js/js.php?id=wlrbt
纬来育乐频临,http://t.061899.xyz/tl/js/js.php?id=wlylt
靖天电影频临,http://t.061899.xyz/tl/js/js.php?id=jtdyt
靖天欢乐频临,http://t.061899.xyz/tl/js/js.php?id=jthlt
靖天综合频临,http://t.061899.xyz/tl/js/js.php?id=jtzht
靖天资讯频临,http://t.061899.xyz/tl/js/js.php?id=jtzxt
靖天日本频临,http://t.061899.xyz/tl/js/js.php?id=jtrbt
靖天国际频临,http://t.061899.xyz/tl/js/js.php?id=jtgjt
靖天育乐频临,http://t.061899.xyz/tl/js/js.php?id=jtylt
靖天映画频临,http://t.061899.xyz/tl/js/js.php?id=jtyh
靖天戏剧频临,http://t.061899.xyz/tl/js/js.php?id=jtxjt
靖天卡通频临,http://t.061899.xyz/tl/js/js.php?id=jtktt
靖洋戏剧频临,http://t.061899.xyz/tl/js/js.php?id=jyxjt
靖洋卡通频临,http://t.061899.xyz/tl/js/js.php?id=jyktt
客家电视频临,http://t.061899.xyz/tl/js/js.php?id=kjdst
亚洲旅游频临,http://t.061899.xyz/tl/js/js.php?id=yzlyt
Discover频临,http://t.061899.xyz/tl/js/js.php?id=discovery
DAZN-壹频临,http://t.061899.xyz/tl/js/js.php?id=1dazn
DAZN-贰频临,http://t.061899.xyz/tl/js/js.php?id=2dazn
博斯魅力频临,http://t.061899.xyz/tl/js/js.php?id=bsml
博斯网球频临,http://t.061899.xyz/tl/js/js.php?id=bswq
博斯无限壹临,http://t.061899.xyz/tl/js/js.php?id=bswx
博斯无限贰临,http://t.061899.xyz/tl/js/js.php?id=2bswx
博斯运动壹临,http://t.061899.xyz/tl/js/js.php?id=1bsyd
博斯运动贰临,http://t.061899.xyz/tl/js/js.php?id=2bsyd
博斯高球壹临,http://t.061899.xyz/tl/js/js.php?id=1bsgq
博斯高球贰临,http://t.061899.xyz/tl/js/js.php?id=2bsgq
时尚运动频临,http://t.061899.xyz/tl/js/js.php?id=xssyd
智林体育频临,http://t.061899.xyz/tl/js/js.php?id=zltyt
ELta体育壹临,http://t.061899.xyz/tl/js/js.php?id=1aedtyt
ELta体育贰临,http://t.061899.xyz/tl/js/js.php?id=2aedtyt
ELta体育叁临,http://t.061899.xyz/tl/js/js.php?id=3aedtyt
ELta体育肆临,http://t.061899.xyz/tl/js/js.php?id=4aedtyt
ELta娱乐频临,http://t.061899.xyz/tl/js/js.php?id=aedyl
好莱电影频临,http://t.061899.xyz/tl/js/js.php?id=hlwdy
HBO高清频临,http://t.061899.xyz/tl/js/js.php?id=hbohd
FgM电影频临,http://t.061899.xyz/tl/js/js.php?id=ymswdyt
Amc电影频临,http://t.061899.xyz/tl/js/js.php?id=amcdyt
爱放动漫频临,http://t.061899.xyz/tl/js/js.php?id=afdm
古典音乐频临,http://t.061899.xyz/tl/js/js.php?id=gdyyt
猪哥歌厅频临,http://t.061899.xyz/tl/js/js.php?id=zglgtx
Sma知识频临,http://t.061899.xyz/tl/js/js.php?id=smartzst
达文西综频临,http://t.061899.xyz/tl/js/js.php?id=dwxpd
阿里郎综频临,http://t.061899.xyz/tl/js/js.php?id=all
生活英语频临,http://t.061899.xyz/tl/js/js.php?id=shyyt
国际财经频临,http://t.061899.xyz/tl/js/js.php?id=gjcj
美国之音频临,http://t.061899.xyz/tl/js/js.php?id=mgzy
非凡商业频临,http://t.061899.xyz/tl/js/js.php?id=ffsy
大爱壹台频临,http://t.061899.xyz/tl/js/js.php?id=dayt
大爱贰台频临,http://t.061899.xyz/tl/js/js.php?id=daet
好消息壹频临,http://t.061899.xyz/tl/js/js.php?id=hxx
好消息贰频临,http://t.061899.xyz/tl/js/js.php?id=2hxxt
国会频道壹临,http://t.061899.xyz/tl/js/js.php?id=1ghpd
国会频道贰临,http://t.061899.xyz/tl/js/js.php?id=2ghpd
采昌影剧频临,http://t.061899.xyz/tl/js/js.php?id=ccyj
韩国娱乐频临,http://t.061899.xyz/tl/js/js.php?id=hgylt
FOX'新闻频临,http://t.061899.xyz/tl/js/js.php?id=foxxw
CNN新闻频临,http://t.061899.xyz/tl/js/js.php?id=cnnxw
BBC'新闻频临,http://t.061899.xyz/tl/js/js.php?id=bbcxw
半岛新闻频临,http://t.061899.xyz/tl/js/js.php?id=bdxw
TRACE'U频临,http://t.061899.xyz/tl/js/js.php?id=traceurban
MEZZOlI频临,http://t.061899.xyz/tl/js/js.php?id=mezzolive
GINX'TV频临,http://t.061899.xyz/tl/js/js.php?id=ginxtv
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com:8880/xsj.php?id=phtv-hk
凤凰资讯,https://cdn3.163189.xyz/live/fhzx/stream.m3u8
凤凰资讯,http://php.jdshipin.com:8880/xsj.php?id=phtv-info
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰资讯,http://cdn5.1678520.xyz:80/live/live2.1.php?id=fhzx
凤凰资讯,http://cdn5.1678520.xyz/live/live2.1.php?id=fhzx
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰卫视,https://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文,http://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文,http://php.jdshipin.com:8880/xsj.php?id=phtv-cn
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰中文,http://cdn5.1678520.xyz:80/live/live2.1.php?id=fhzw
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港_C+_,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
重温经典,http://cdn3.163189.xyz/live/cwjd/stream.m3u8
翡翠台北美版(TVB J1),https://cdn5.1678520.xyz/live/live2.1.php?id=j1
翡翠台北美版(TVB J1),http://php.jdshipin.com:8880/TVOD/iptv.php?id=j1
翡翠台4K,https://cdn.163189.xyz/live/fct4k/stream.m3u8
翡翠台4K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠台4K,http://cdn.132.us.kg/live/fct4k/stream.m3u8
翡翠台2K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台2K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台1K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,https://cdn3.163189.xyz/live/fct/stream.m3u8
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
澳门莲花,http://php.jdshipin.com:8880/amlh.php
澳门Mac,http://cdn.132.us.kg/live/as/stream.m3u8.
澳视澳门,https://cdn.163189.xyz/live/asam/stream.m3u8
澳视澳门,http://php.jdshipin.com:8880/TVOD/iptv.php?id=asam
澳视澳门,http://cdn.132.us.kg/live/asam/stream.m3u8
澳视卫星,http://php.jdshipin.com:8880/TVOD/iptv.php?id=as
澳视卫星,http://cdn.163189.xyz/live/as/stream.m3u8
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
明珠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=mzt
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线新聞台,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线华丽,http://cdn9.163189.xyz/smt1.1.php?id=Tvbjade
探索频道,http://61.221.215.25:8800/hls/1/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8
广东体育,http://cdn2.163189.xyz/live/gdty/stream.m3u8
娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
天映频道,http://php.jdshipin.com:8880/xsj.php?id=celestial
天映频道, http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
华丽翡翠台|备用,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali2
华丽翡翠台,http://php.jdshipin.com:8880/smt.php?id=Wlt
华丽翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
华丽翡翠台,http://php.jdshipin.com/smt.php?id=Tvbjade
华丽翡翠,http://cdn9.163189.xyz/smt1.1.php?id=Wlt
千禧经典台,http://php.jdshipin.com:8880/xsj.php?id=tvb-classic
千禧经典台, http://php.jdshipin.com/smt.php?id=Tvbclassic
千禧经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
千禧经典,http://cdn9.163189.xyz/smt3.1.1.php?id=Tvbclassic
千禧经典,http://cdn9.163189.xyz/smt1.1.php?id=Tvbclassic
动物星球1,http://61.221.215.25:8800/hls/57/index.m3u8
功夫台,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
八度空间,http://php.jdshipin.com/smt.php?id=TV8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
VIUTV,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
VIUTV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=viutv
VIU TV,http://cdn5.1678520.xyz/live/?id=viu
TVB翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
TVB粤语片台,http://php.jdshipin.com:8880/xsj.php?id=tvb-yueyu
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
TVB星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxh
TVB星河,http://cdn9.163189.xyz/smt1.1.php?id=Xinhe
TVB星河, http://php.jdshipin.com/smt.php?id=Xinhe
TVB无线新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=wxxwt
TVB娱乐新闻台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbylxw
TVB娱乐新闻台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
TVB亚洲剧台,http://php.jdshipin.com:8880/xsj.php?id=tvb-asia-drama
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
TVB Xing He,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbp
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2
TVB Plus备用,http://php.jdshipin.com/PLTV/iptv.php?id=j2
TVB Plus备用,http://php.jdshipin.com:8880/smt.php?id=j2_twn
TVB Plus备用,http://50.7.234.10:8278/j2_twn/playlist.m3u8?tid=MFCF3274854132748541&ct=19254&tsum=699466c18aac56202ad1d2843fd21032
TVB Plus,https://live.tvfix.org/live/tvbplus/2/v4000000/index.m3u8
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2#http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
TVB Plus,http://cdn.163189.xyz/live/?id=tvbp
TVB Plus,http://cdn.132.us.kg/live/tvbp/stream.m3u8
TVB PLUS,https://cdn.163189.xyz/live/tvbp/stream.m3u8
TVB PLUS,http://cdn5.1678520.xyz/live/?id=tvbp
TVB J1,https://cdn3.163189.xyz/live/j1/stream.m3u8
TVB J1,http://cdn5.1678520.xyz/live/?id=j1
RTHK32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
RTHK32,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk32
RTHK31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
RTHK31,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk31
NowViu剧集台,http://php.jdshipin.com:8880/xsj.php?id=now-viu-drama
NOW财经台,http://php.jdshipin.com:8880/xsj.php?id=now-finance
NOW紫金国际台,http://php.jdshipin.com:8880/xsj.php?id=now-jelli
NOW直播台,http://php.jdshipin.com:8880/xsj.php?id=now-direct
NOW星影台,http://php.jdshipin.com:8880/xsj.php?id=now-baogu-superstars
NOW新闻台,http://php.jdshipin.com:8880/xsj.php?id=now-news
NOW HBO,http://php.jdshipin.com:8880/xsj.php?id=Now-HBO
NOW HBO Signature,http://php.jdshipin.com:8880/xsj.php?id=now-hbo-signature
NOW HBO Hits,http://php.jdshipin.com:8880/xsj.php?id=now-hbo-hits
NOW HBO Family,http://php.jdshipin.com:8880/xsj.php?id=now-hbof-amily
NHK,http://61.221.215.25:8800/hls/51/index.m3u8
LOS,http://61.221.215.25:8800/hls/58/index.m3u8
J2,http://php.jdshipin.com:8880/smt.php?id=j2_twn
HOY资讯台,http://php.jdshipin.com:8880/xsj.php?id=hoy-info
HOY TV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hoytv
HOY 77,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hoytv
HOY 77,http://cdn5.1678520.xyz/live/?id=hoy
HOY 77,http://cdn.132.us.kg/live/hoy/stream.m3u8
Astro欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
Astro AOD,http://php.jdshipin.com/smt.php?id=Aodhd
Astro AOD,http://cdn9.163189.xyz/smt1.1.php?id=Aodhd
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
AMC,http://61.221.215.25:8800/hls/43/index.m3u8
1905国外电影,http://php.jdshipin.com:8880/1905.php?id=1905dy2
1905国内电影,http://php.jdshipin.com:8880/1905.php?id=1905dy
中视,http://198.16.100.186:8278/zhongshihd_twn/playlist.m3u8?tid=MBDB6720263767202637&ct=19249&tsum=edd778f298b53c39b3b9706700032605
中视,http://50.7.234.10:8278/zhongshihd_twn/playlist.m3u8?ct=19226&tid=MB8B7313326473133264&tsum=ae7506028e559f3a6e2a3519b2f6a91e
美国摔跤,https://d2p372oxiwmcn1.cloudfront.net:443/hls/1080p/playlist.m3u8
JJ斗地主,http://tc-tct.douyucdn2.cn/dyliveflv1a/488743rAHScWyyII_2000.flv?wsAuth=fd695c444eeee99cc6122ed396c805ba&token=cpn-androidmpro-0-488743-df8b1830ef2e6ce156759645768df95bf77749da61fcc901&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
