唐海馬,#genre#
三立i新闻,http://127.0.0.1:43251/aHR0cDovLzE3My4yMzQuMjUuOTA6OTU2MC9zbGluZXdzL2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MTk2MiZ2LnR5cGU9MSZpcHM9MTA4LjE4MS4yLjE5MzoyMTI2Mw==
非凡新闻,http://127.0.0.1:43251/aHR0cDovLzE3My4yMzQuMjUuOTA6OTU2MC9mZWlmYW5uZXdzL2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MTk2MyZ2LnR5cGU9MSZpcHM9MzguNzUuMTM2LjIyNjoxODM0NA==
寰宇新闻,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL2h1YW55bmV3cy9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTE5NjQmdi50eXBlPTEmaXBzPTE1LjIzNS4xMTcuODU6MzEzNDI=
寰宇新闻台湾,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL2h1YW55bmV3c3R3L2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MTk2NSZ2LnR5cGU9MSZpcHM9MTA4LjE4MS4yLjE5MzoyMTI2Mw==
壹电视新闻,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL29uZW5ld3MvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0xOTY2JnYudHlwZT0xJmlwcz0xMDguMTgxLjIuMTkzOjIxMjYz
年代新闻,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL25pYW5kYWluZXdzL2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MTk2NyZ2LnR5cGU9MSZpcHM9MTUuMjM1LjExNy44NTozMTM0Mg==
CCTV 13 新闻,http://127.0.0.1:43251/aHR0cDovLzQ1Ljg4LjE1MS42Njo5NTYwLzEzY2N0djEzL2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MTk2OCZ2LnR5cGU9MSZpcHM9NTEuNzkuMTcuMzg6MTk5ODQ=
加拿大600新闻,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwLzYwMG5ld3MvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0xOTY5JnYudHlwZT0xJmlwcz01MS43OS4xNy4zODoxOTk4NA==
CNA(SG),http://127.0.0.1:43251/aHR0cDovLzY0Ljc0LjE2Ny4xNDY6OTU2MC9DQU4vaW5kZXgubTN1OD92LmNoYW5uZWxpZD0xOTcwJnYudHlwZT0xJmlwcz0xNDQuMjE3LjY3LjIwMDoxOTU5MQ==
CNN US,http://127.0.0.1:43251/aHR0cDovLzUxLjE2MS4xMTYuOTM6OTU2MC9DTk4vaW5kZXgubTN1OD92LmNoYW5uZWxpZD0xOTcxJnYudHlwZT0xJmlwcz0xNDguMTEzLjE3Ni40NzoxOTY5OA==
CNN International,http://127.0.0.1:43251/aHR0cDovLzUxLjE2MS44Ny4xMDg6OTU2MC8wMmNubmkvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0xOTcyJnYudHlwZT0xJmlwcz01MS43OS43Mi4xNjg6Mjk1OTM=
Fox News,http://127.0.0.1:43251/aHR0cDovLzUxLjE2MS44Ny4xMDg6OTU2MC8wM2ZveG5ld3MvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0xOTczJnYudHlwZT0xJmlwcz01MS43OS43Mi4xNjg6Mjk1OTM=
MSNBC,http://127.0.0.1:43251/aHR0cDovLzUxLjE2MS44Ny4xMDg6OTU2MC8wNG1zbmJjL2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MTk3NCZ2LnR5cGU9MSZpcHM9NTEuNzkuNzIuMTY4OjI5NTkz
Newsmax TV,http://127.0.0.1:43251/aHR0cDovLzUxLjE2MS44Ny4xMDg6OTU2MC8wNW5ld3NtYXgvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0xOTc1JnYudHlwZT0xJmlwcz01MS43OS43Mi4xNjg6Mjk1OTM=
One American News,http://127.0.0.1:43251/aHR0cDovLzUxLjE2MS44Ny4xMDg6OTU2MC8wNm9hbi9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTE5NzYmdi50eXBlPTEmaXBzPTUxLjc5LjcyLjE2ODoyOTU5Mw==
BBC World News,http://127.0.0.1:43251/aHR0cDovLzUxLjE2MS44Ny4xMDg6OTU2MC8wN2JiYy9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTE5Nzcmdi50eXBlPTEmaXBzPTUxLjc5LjcyLjE2ODoyOTU5Mw==
Russia Today,http://127.0.0.1:43251/aHR0cDovLzUxLjE2MS44Ny4xMDg6OTU2MC8wOXJ0L2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MTk3OCZ2LnR5cGU9MSZpcHM9NTEuNzkuNzIuMTY4OjI5NTkz
Aljazeera English News,http://127.0.0.1:43251/aHR0cDovLzUxLjE2MS44Ny4xMDg6OTU2MC8xMGFsamUvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0xOTc5JnYudHlwZT0xJmlwcz01MS43OS43Mi4xNjg6Mjk1OTM=
Sky News,http://127.0.0.1:43251/aHR0cDovLzE5Mi45OS4xNjAuMTQyOjk1NjAvc2t5bmV3cy9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTE5ODAmdi50eXBlPTEmaXBzPTUxLjc5Ljc4Ljg6OTU5MA==
France 24 En,http://127.0.0.1:43251/aHR0cDovLzE5Mi45OS4xNjAuMTQyOjk1NjAvZjI0ZW4vaW5kZXgubTN1OD92LmNoYW5uZWxpZD0xOTgxJnYudHlwZT0xJmlwcz0xNDIuNC4yMTYuMTUxOjM5NTk4
DW TV,http://127.0.0.1:43251/aHR0cDovLzE5Mi45OS4xNjAuMTQyOjk1NjAvZHcvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0xOTgyJnYudHlwZT0xJmlwcz0xNzMuMjA4LjIwMi4xMTQ6NDk2OTM=
ABC News,http://127.0.0.1:43251/aHR0cDovLzUxLjE2MS44Ny4xMDg6OTU2MC8xMWFiY25ld3MvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0xOTgzJnYudHlwZT0xJmlwcz01MS43OS43Mi4xNjg6Mjk1OTM=
CBS News,http://127.0.0.1:43251/aHR0cDovLzUxLjE2MS4xMTYuOTM6OTU2MC9DQlNOL2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MTk4NCZ2LnR5cGU9MSZpcHM9MTQ4LjExMy4xNzYuNDc6MTk2OTg=
NBC Now News,http://127.0.0.1:43251/aHR0cDovLzUxLjE2MS4xMTYuOTM6OTU2MC9OQkNOb3dOZXdzL2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MTk4NSZ2LnR5cGU9MSZpcHM9MTQ4LjExMy4xNzYuNDc6MTk2OTg=
CNBC,http://127.0.0.1:43251/aHR0cDovLzUxLjE2MS44Ny4xMDg6OTU2MC8yMkNOQkMvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0xOTg2JnYudHlwZT0xJmlwcz01MS43OS43Mi4xNjg6Mjk1OTM=
Bloomberg,http://127.0.0.1:43251/aHR0cDovLzUxLjE2MS4xMTYuOTM6OTU2MC9CbG9vbWJlcmcvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0xOTg3JnYudHlwZT0xJmlwcz0xNDguMTEzLjE3Ni40NzoxOTY5OA==
CP 24 Canada,http://127.0.0.1:43251/aHR0cDovLzU0LjM2LjE2NC4xNjU6OTU2MC9DUDI0L2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MTk4OCZ2LnR5cGU9MSZpcHM9NTEuNzkuNzguODo5NTkw
CTV News,http://127.0.0.1:43251/aHR0cDovLzU0LjM2LjE2NC4xNjU6OTU2MC9DVFZOZXdzL2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MTk4OSZ2LnR5cGU9MSZpcHM9NTEuNzkuNzguODo5NTkw
CBC News,http://127.0.0.1:43251/aHR0cDovLzU0LjM2LjE2NC4xNjU6OTU2MC9DQkNOZXdzL2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MTk5MCZ2LnR5cGU9MSZpcHM9NTEuNzkuNzguODo5NTkw
Business Network News,http://127.0.0.1:43251/aHR0cDovLzU0LjM2LjE2NC4xNjU6OTU2MC9CTk5CbG9vbWJlcmcvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0xOTkxJnYudHlwZT0xJmlwcz01MS43OS43OC44Ojk1OTA=
NOW体育 1,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL25vd3NwMS9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTE5OTImdi50eXBlPTEmaXBzPTE1LjIzNS4xMTcuODU6OTk3MA==
NOW体育 2,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL25vd3NwMi9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTE5OTMmdi50eXBlPTEmaXBzPTE1LjIzNS4xMTcuODU6OTk3MA==
NOW体育 3,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL25vd3NwMy9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTE5OTQmdi50eXBlPTEmaXBzPTE1LjIzNS4xMTcuODU6OTk3MA==
NOW体育 4,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL25vd3NwNC9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTE5OTUmdi50eXBlPTEmaXBzPTE1LjIzNS4xMTcuODU6OTk3MA==
NOW体育 5,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL25vd3NwNS9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTE5OTYmdi50eXBlPTEmaXBzPTE1LjIzNS4xMTcuODU6OTk3MA==
NOW体育 6,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL25vd3NwNi9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTE5OTcmdi50eXBlPTEmaXBzPTE1LjIzNS4xMTcuODU6OTk3MA==
NOW体育 7,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL25vd3NwNy9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTE5OTgmdi50eXBlPTEmaXBzPTE1LjIzNS4xMTcuODU6OTk3MA==
NOW英超  1 （粤）,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL25vd3R2cGwxL2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MTk5OSZ2LnR5cGU9MSZpcHM9MTUuMjM1LjExNy44NTo5OTcw
广东体育,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL2dkdHkvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDAwJnYudHlwZT0xJmlwcz0xMDguMTgxLjQuMTkzOjk2OTA=
TVB赛马18,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL3R2YnJhY2luZy9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTIwMDEmdi50eXBlPTEmaXBzPTE1LjIzNS4xMTcuODU6OTk3MA==
博斯运动1,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL2Jvc2hpc3AxL2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MjAwMiZ2LnR5cGU9MSZpcHM9MzguNzUuMTM2LjIyNjoxODM0NA==
博斯运动2,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL2Jvc2hpc3AyL2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MjAwMyZ2LnR5cGU9MSZpcHM9MzguNzUuMTM2LjIyNjoxODM0NA==
博斯魅力,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL2Jvc2hpbWVpbGkvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDA0JnYudHlwZT0xJmlwcz0zOC43NS4xMzYuMjI2OjE4MzQ0
博斯高球1,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL2Jvc2hpZ29sZjEvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDA1JnYudHlwZT0xJmlwcz0xMDguMTgxLjIuMTkzOjIxMjYz
博斯高球2,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL2Jvc2hpZ29sZjIvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDA2JnYudHlwZT0xJmlwcz0xMDguMTgxLjIuMTkzOjIxMjYz
博斯无限1,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL2Jvc2hpd3V4aWFuMS9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTIwMDcmdi50eXBlPTEmaXBzPTM4Ljc1LjEzNi4yMjY6MTgzNDQ=
博斯无限2,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL2Jvc2hpd3V4aWFuMi9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTIwMDgmdi50eXBlPTEmaXBzPTM4Ljc1LjEzNi4yMjY6MTgzNDQ=
博斯网球,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL2Jvc2hpdGVubmlzL2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MjAwOSZ2LnR5cGU9MSZpcHM9MzguNzUuMTM2LjIyNjoxODM0NA==
ELEVEN体育1,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL0VMRVZFTjEvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDEwJnYudHlwZT0xJmlwcz0zOC43NS4xMzYuMjI2OjE4MzQ0
ELEVEN体育2,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL0VMRVZFTjIvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDExJnYudHlwZT0xJmlwcz0zOC43NS4xMzYuMjI2OjE4MzQ0
爱尔达体育 1,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL2VsdGFzcDEvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDEyJnYudHlwZT0xJmlwcz0zOC43NS4xMzYuMjI2OjE4MzQ0
爱尔达体育 2,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL2VsdGFzcDIvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDEzJnYudHlwZT0xJmlwcz0zOC43NS4xMzYuMjI2OjE4MzQ0
爱尔达体育 3,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL2VsdGFzcDMvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDE0JnYudHlwZT0xJmlwcz0zOC43NS4xMzYuMjI2OjE4MzQ0
纬来体育,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL3Zsc3BvcnQvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDE1JnYudHlwZT0xJmlwcz0xMDguMTgxLjIuMTkzOjIxMjYz
CCTV 5 体育,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwLzA1Y2N0djUvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDE2JnYudHlwZT0xJmlwcz01MS43OS4xNy4zODoxOTk4NA==
CCTV 5+ 体育赛事,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwLzE2Y2N0djVwbHVzL2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MjAxNyZ2LnR5cGU9MSZpcHM9NTEuNzkuMTcuMzg6MTk5ODQ=
五星体育 Great Sports,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwLzVzdGFyc3AvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDE4JnYudHlwZT0xJmlwcz01MS43OS4xNy4zODoxOTk4NA==
Astro SS 1,http://127.0.0.1:43251/aHR0cDovLzY0Ljc0LjE2Ny4xNDY6OTU2MC9TdXBlcnNTcG9ydDEvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDMwJnYudHlwZT0xJmlwcz0xNDQuMjE3LjY3LjIwMDoxOTU5MQ==
Astro SS 2,http://127.0.0.1:43251/aHR0cDovLzY0Ljc0LjE2Ny4xNDY6OTU2MC9TdXBlcnNTcG9ydDIvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDMxJnYudHlwZT0xJmlwcz0xNDQuMjE3LjY3LjIwMDoxOTU5MQ==
Astro SS 3,http://127.0.0.1:43251/aHR0cDovLzY0Ljc0LjE2Ny4xNDY6OTU2MC9TdXBlcnNTcG9ydDMvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDMyJnYudHlwZT0xJmlwcz0xNDQuMjE3LjY3LjIwMDoxOTU5MQ==
Astro SS 4,http://127.0.0.1:43251/aHR0cDovLzY0Ljc0LjE2Ny4xNDY6OTU2MC9TdXBlcnNTcG9ydDQvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDMzJnYudHlwZT0xJmlwcz0xNDQuMjE3LjY3LjIwMDoxOTU5MQ==
Astro SS 5,http://127.0.0.1:43251/aHR0cDovLzY0Ljc0LjE2Ny4xNDY6OTU2MC9TdXBlcnNTcG9ydDUvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDM0JnYudHlwZT0xJmlwcz0xNDQuMjE3LjY3LjIwMDoxOTU5MQ==
Astro Arena ,http://127.0.0.1:43251/aHR0cDovLzY0Ljc0LjE2Ny4xNDY6OTU2MC9BcmVuYS9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTIwMzUmdi50eXBlPTEmaXBzPTE0NC4yMTcuNjcuMjAwOjE5NTkx
Astro Arena 2,http://127.0.0.1:43251/aHR0cDovLzY0Ljc0LjE2Ny4xNDY6OTU2MC9BcmVuYTIvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDM2JnYudHlwZT0xJmlwcz0xNDQuMjE3LjY3LjIwMDoxOTU5MQ==
ESPN 1 US,http://127.0.0.1:43251/aHR0cDovLzEwNC4xNDkuMTUwLjg2Ojk1NjAvRVNQTi9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTIwNDMmdi50eXBlPTEmaXBzPTY2LjcwLjE3Ni4yMjI6OTU5OA==
ESPN 2 US,http://127.0.0.1:43251/aHR0cDovLzEwNC4xNDkuMTUwLjg2Ojk1NjAvRVNQTjIvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDQ0JnYudHlwZT0xJmlwcz02Ni43MC4xNzYuMjIyOjk1OTg=
Fox Sports 1 US,http://127.0.0.1:43251/aHR0cDovLzEwNC4xNDkuMTUwLjg2Ojk1NjAvRm94U3BvcnRzMS9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTIwNDUmdi50eXBlPTEmaXBzPTY2LjcwLjE3Ni4yMjI6OTU5OA==
Fox Sports 2 US,http://127.0.0.1:43251/aHR0cDovLzEwNC4xNDkuMTUwLjg2Ojk1NjAvRm94U3BvcnRzMi9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTIwNDYmdi50eXBlPTEmaXBzPTY2LjcwLjE3Ni4yMjI6OTU5OA==
NBA TV US,http://127.0.0.1:43251/aHR0cDovLzEwNC4xNDkuMTUwLjg2Ojk1NjAvTkJBVFYvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDQ3JnYudHlwZT0xJmlwcz02Ni43MC4xNzYuMjIyOjk1OTg=
Bein Sports US,http://127.0.0.1:43251/aHR0cDovLzUxLjE2MS44Ny4xMDg6OTU2MC9iZWludXMvaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDQ4JnYudHlwZT0xJmlwcz01MS43OS43Mi4xNjg6Mjk1OTM=
NFL Network,http://127.0.0.1:43251/aHR0cDovLzU0LjM2LjE2NC4xNjU6OTU2MC9ORkxOZXR3b3JrL2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MjA0OSZ2LnR5cGU9MSZpcHM9NTEuNzkuNzguODo5NTkw
Boxing PPV,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwL2JveGluZ3Bwdi9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTIwNTAmdi50eXBlPTEmaXBzPTY2LjcwLjE3Ni4yMjI6OTU5OA==
UFC Pass,http://127.0.0.1:43251/aHR0cDovLzUxLjE2MS4xMTYuOTM6OTU2MC9VRkNQYXNzL2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MjA1MSZ2LnR5cGU9MSZpcHM9MTQ4LjExMy4xNzYuNDc6MTk2OTg=
Sky Sports Main Event UK,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwLzIyTWFpbkV2ZW50L2luZGV4Lm0zdTg/di5jaGFubmVsaWQ9MjA1MiZ2LnR5cGU9MSZpcHM9MTczLjIwOC4yMDIuMTE0OjQ5Njkz
Sky Sports Cricket UK,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwLzIzQ3JpY2tldC9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTIwNTMmdi50eXBlPTEmaXBzPTE3My4yMDguMjAyLjExNDo0OTY5Mw==
Sky Sports Action UK,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwLzI0c3BhY3Rpb24vaW5kZXgubTN1OD92LmNoYW5uZWxpZD0yMDU0JnYudHlwZT0xJmlwcz0xNzMuMjA4LjIwMi4xMTQ6NDk2OTM=
Sky Sports Golf UK,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwLzI1R29sZi9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTIwNTUmdi50eXBlPTEmaXBzPTE3My4yMDguMjAyLjExNDo0OTY5Mw==
Sky Sports Premier League UK,http://127.0.0.1:43251/aHR0cDovLzEyNy4wLjAuMTo5NTYwLzI2UHJlbWllckxlYWd1ZS9pbmRleC5tM3U4P3YuY2hhbm5lbGlkPTIwNTYmdi50eXBlPTEmaXBzPTE3My4yMDguMjAyLjExNDo0OTY5Mw==
