2完美咪咕,#genre#
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】川西飞生/渡边刊太2-0登博/约万诺夫斯基 07:00,http://119.53.137.101:9002/962744201
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】苏什科娃0-2弗罗丁 07:00,http://119.53.137.101:9002/962743953
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】莫里克/斯托瑟1-2科贝尔/佩特科维奇（宋光振） 07:00,http://119.53.137.101:9002/962743831
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】拉加耶芙0-2叶夫列莫娃 07:00,http://119.53.137.101:9002/962744824
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】库伯勒/波尔曼斯2-1约翰森/杰林斯基 07:00,http://119.53.137.101:9002/962745350
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】格拉诺勒斯/泽巴洛斯0-2哈里森/斯卡普斯基 07:00,http://119.53.137.101:9002/962745873
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】奇韦特科维奇/弗罗丁0-2马卡洛娃/佐洛塔雷娃 07:00,http://119.53.137.101:9002/962746169
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】詹姆斯/帕维尔斯卡1-2马洛娃/捷连季耶娃 07:00,http://119.53.137.101:9002/962747860
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】舍什科2-0贝尔曼 07:00,http://119.53.137.101:9002/962747988
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】A-科瓦奇科娃/Y-科瓦奇科娃2-0若弗雷/科基尼斯 07:00,http://119.53.137.101:9002/962748438
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】克拉克/李紫仪0-2赫尔曼诺娃/佐尔达科娃 07:00,http://119.53.137.101:9002/962749086
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】达尼丽娜/克鲁尼奇2-1达布洛斯基/斯特凡尼 07:00,http://119.53.137.101:9002/962749059
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】多伊格/基西莫夫2-0汉斯/孔杜里 07:00,http://119.53.137.101:9002/962748737
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】伊布赖米/柯塞2-0玻利瓦尔-伊达拉加/雷迪 07:00,http://119.53.137.101:9002/962748674
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【全场回放】5号球场（二） 07:00,http://119.53.137.101:9002/962751244
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【全场回放】8号球场 07:00,http://119.53.137.101:9002/962749026
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【全场回放】KIA号球场（一） 07:00,http://119.53.137.101:9002/962751160
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【全场回放】KIA号球场（二） 07:00,http://119.53.137.101:9002/962751719
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】10号球场全场回放（一） 07:00,http://119.53.137.101:9002/962746781
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【全场回放】10号球场（二） 07:00,http://119.53.137.101:9002/962748753
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【全场回放】11号球场（一） 07:00,http://119.53.137.101:9002/962748752
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【全场回放】11号球场（二） 07:00,http://119.53.137.101:9002/962749199
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】轮椅男子/女子单打半决赛，轮椅男子/女子双打半决赛全场回放（一） 07:00,http://119.53.137.101:9002/962746837
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】轮椅青少年男单/女单第三轮全场回放（一） 07:00,http://119.53.137.101:9002/962747849
NBA 步行者VS公牛 全场回放（吴博文） 07:55,http://119.53.137.101:9002/962743484
NBA 步行者VS公牛 全场回放（英文原声） 07:55,http://119.53.137.101:9002/962746018
NBA 骑士VS湖人 全场回放（连睿、曾令旭、闫宇峰） 07:55,http://119.53.137.101:9002/962742096
NBA 骑士VS湖人 全场回放（英文原声） 07:55,http://119.53.137.101:9002/962744169
NBA 热火VS魔术 全场回放（罗森） 08:25,http://119.53.137.101:9002/962743825
NBA 热火VS魔术 全场回放（英文原声） 08:25,http://119.53.137.101:9002/962744155
NBA 猛龙VS尼克斯 全场回放（董倡硕） 08:25,http://119.53.137.101:9002/962743868
NBA 猛龙VS尼克斯 全场回放（英文原声） 08:25,http://119.53.137.101:9002/962744854
NBA 凯尔特人VS老鹰 全场回放（季孟年） 08:25,http://119.53.137.101:9002/962742731
NBA 凯尔特人VS老鹰 全场回放（英文原声） 08:25,http://119.53.137.101:9002/962744109
NBA 独行侠VS森林狼 全场回放（陈鑫隆） 09:25,http://119.53.137.101:9002/962743931
NBA 独行侠VS森林狼 全场回放（英文原声） 09:25,http://119.53.137.101:9002/962745227
NBA 爵士VS勇士 全场回放（李天宇、徐咏、陈正昊、魏欣怡） 09:55,http://119.53.137.101:9002/962744141
NBA 爵士VS勇士 全场回放（拜月宁） 09:55,http://119.53.137.101:9002/962744242
NBA 爵士VS勇士 全场回放（英文原声） 09:55,http://119.53.137.101:9002/962744950
NBA 火箭VS马刺 全场回放（杨健、马健、裴优） 10:25,http://119.53.137.101:9002/962744694
NBA 火箭VS马刺 全场回放（周鹏） 10:25,http://119.53.137.101:9002/962744821
NBA 火箭VS马刺 全场回放（王晓晨） 10:25,http://119.53.137.101:9002/962744926
NBA 火箭VS马刺 全场回放（英文原声） 10:25,http://119.53.137.101:9002/962749074
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【回放】胡珂源/林祥毅2-0江凯兴/戴伟钦 13:10,http://119.53.137.101:9002/962749396
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【回放】鲍骊婧/李怡婧2-0金裕贞/李幽琳 13:10,http://119.53.137.101:9002/962747137
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【回放】程星/张驰2-0普瓦纳特/本雅帕 13:10,http://119.53.137.101:9002/962752209
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【回放】贺首维1-2朱轩辰 13:10,http://119.53.137.101:9002/962749542
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【回放】吴堇溦2-1韩千禧 13:10,http://119.53.137.101:9002/962751231
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【回放】李梓嘉2-1曼朱纳特 13:10,http://119.53.137.101:9002/962748782
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【回放】高家炫/吴梦莹1-2吴轩毅/杨筑云 13:10,http://119.53.137.101:9002/962753712
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【回放】乌拜迪拉2-0梅克尔 13:10,http://119.53.137.101:9002/962745460
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【回放】郑加恒0-2帕尼查蓬 13:10,http://119.53.137.101:9002/962749909
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【回放】西亚纳维/马尔瓦2-0加西亚/露西娅 13:10,http://119.53.137.101:9002/962753707
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【全场回放】一号场（二） 13:10,http://119.53.137.101:9002/962753555
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【全场回放】二号场（一） 13:10,http://119.53.137.101:9002/962750742
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【全场回放】二号场（二） 13:10,http://119.53.137.101:9002/962755165
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【全场回放】三号场（一） 13:10,http://119.53.137.101:9002/962751233
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【全场回放】三号场（二） 13:10,http://119.53.137.101:9002/962754051
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【全场回放】四号场（一） 13:10,http://119.53.137.101:9002/962751589
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【全场回放】四号场（二） 13:10,http://119.53.137.101:9002/962754162
BWF 朱轩辰、鲍骊婧/李怡婧晋级8强 【全场回放】四号场（三） 13:10,http://119.53.137.101:9002/962753816
五人制亚洲杯 黎巴嫩VS越南 全场回放（涂远） 13:45,http://119.53.137.101:9002/962748127
五人制亚洲杯 韩国VS伊拉克 全场回放（乔迁） 15:45,http://119.53.137.101:9002/962750424
斯诺克 张安达2-5凯伦·威尔逊 【回放】凯伦·威尔逊5-2张安达（朱峰立） 17:00,http://119.53.137.101:9002/962751302
斯诺克 张安达2-5凯伦·威尔逊 【回放】吉米·罗伯逊5-2杰克·琼斯 17:00,http://119.53.137.101:9002/962752203
斯诺克 张安达2-5凯伦·威尔逊 【回放】凯伦·威尔逊5-2张安达 17:00,http://119.53.137.101:9002/962751660
五人制亚洲杯 科威特VS泰国 全场回放（涂远） 17:45,http://119.53.137.101:9002/962752076
NBL 山东蜜獾VS安徽皖江龙 全场回放（官方解说） 18:50,http://119.53.137.101:9002/962752785
NBL 山东蜜獾VS安徽皖江龙 全场回放（原声） 18:50,http://119.53.137.101:9002/962753224
乒乓球经典赛事 最好的礼物！蒯曼生日夜携手林诗栋夺冠 全场回放 19:00,http://119.53.137.101:9002/962628692
NBL 合肥狂风VS杭州经纬 全场回放（官方解说） 19:20,http://119.53.137.101:9002/962754232
NBL 合肥狂风VS杭州经纬 全场回放（原声） 19:20,http://119.53.137.101:9002/962754114
NBL 张家口体文旅VS石家庄翔蓝 全场回放（官方解说） 19:20,http://119.53.137.101:9002/962753734
NBL 张家口体文旅VS石家庄翔蓝 全场回放（原声） 19:20,http://119.53.137.101:9002/962754078
NBL 湖北文旅VS贵州猛龙 全场回放（官方解说） 19:20,http://119.53.137.101:9002/962753340
NBL 湖北文旅VS贵州猛龙 全场回放（原声） 19:20,http://119.53.137.101:9002/962753715
NBL 上海玄鸟VS香港金牛 全场回放（官方解说） 19:20,http://119.53.137.101:9002/962753830
NBL 上海玄鸟VS香港金牛 全场回放（原声） 19:20,http://119.53.137.101:9002/962753843
五人制亚洲杯 吉尔吉斯斯坦VS印度尼西亚 全场回放（王子睿） 19:45,http://119.53.137.101:9002/962753156
斯诺克 徐思0-5阿里·卡特 墨菲、罗伯逊晋级 【回放】徐思0-5阿里·卡特（朱蒙） 22:00,http://119.53.137.101:9002/962755221
斯诺克 徐思0-5阿里·卡特 墨菲、罗伯逊晋级 【回放】马克·艾伦0-5肖恩·墨菲 22:00,http://119.53.137.101:9002/962755265
斯诺克 徐思0-5阿里·卡特 墨菲、罗伯逊晋级 【回放】辛格·查达0-5尼尔·罗伯逊 22:00,http://119.53.137.101:9002/962755301
斯诺克 徐思0-5阿里·卡特 墨菲、罗伯逊晋级 【回放】徐思0-5阿里·卡特 22:00,http://119.53.137.101:9002/962755397
斯诺克 肖国栋5-3希金斯 斯佳辉2-5特鲁姆普 【回放】贾德·特鲁姆普5-2斯佳辉 03:00,http://119.53.137.101:9002/962769262
斯诺克 肖国栋5-3希金斯 斯佳辉2-5特鲁姆普 【回放】肖国栋5-3约翰·希金斯 03:00,http://119.53.137.101:9002/962765841
斯诺克 肖国栋5-3希金斯 斯佳辉2-5特鲁姆普 【回放】斯图尔特·宾汉姆5-2汤姆·福德 03:00,http://119.53.137.101:9002/962756191
NBA 76人VS国王 全场回放（董倡硕） 07:55,http://119.53.137.101:9002/962761764
NBA 76人VS国王 全场回放（英文原声） 07:55,http://119.53.137.101:9002/962767394
蔡凯臣) 11:00,http://119.53.137.101:9002/962750259
澳网 阿卡PK兹维列夫 德约大战辛纳 阿尔卡拉斯vs兹维列夫（清流） 11:00,http://119.53.137.101:9002/962750203
澳网 阿卡PK兹维列夫 德约大战辛纳 罗德拉沃尔球场 09:00,http://119.53.137.101:9002/962437132
澳网 阿卡PK兹维列夫 德约大战辛纳 玛格丽特考特球场 08:00,http://119.53.137.101:9002/962437114
澳网 阿卡PK兹维列夫 德约大战辛纳 KIA球场 08:00,http://119.53.137.101:9002/962437092
澳网 阿卡PK兹维列夫 德约大战辛纳 1573球场 08:00,http://119.53.137.101:9002/962437072
澳网 阿卡PK兹维列夫 德约大战辛纳 5号球场 08:00,http://119.53.137.101:9002/962750217
澳网 阿卡PK兹维列夫 德约大战辛纳 6号球场 08:00,http://119.53.137.101:9002/962436947
澳网 阿卡PK兹维列夫 德约大战辛纳 7号球场 08:00,http://119.53.137.101:9002/962436896
澳网 阿卡PK兹维列夫 德约大战辛纳 国际信号 09:00,http://119.53.137.101:9002/962750181
NBA 老鹰VS火箭 全场回放（王冠证、陈正昊、王羽希） 08:55,http://119.53.137.101:9002/962766499
NBA 老鹰VS火箭 全场回放（周鹏） 08:55,http://119.53.137.101:9002/962766518
NBA 老鹰VS火箭 全场回放（英文原声） 08:55,http://119.53.137.101:9002/962767554
NBA 公牛VS热火 全场回放（吴博文） 08:55,http://119.53.137.101:9002/962767541
NBA 公牛VS热火 全场回放（英文原声） 08:55,http://119.53.137.101:9002/962768027
NBA 独行侠VS黄蜂 全场回放（季孟年） 09:25,http://119.53.137.101:9002/962767611
NBA 独行侠VS黄蜂 全场回放（英文原声） 09:25,http://119.53.137.101:9002/962768171
NBA 掘金VS篮网 全场回放（徐秦威） 09:55,http://119.53.137.101:9002/962767676
NBA 掘金VS篮网 全场回放（英文原声） 09:55,http://119.53.137.101:9002/962768774
NBA 太阳VS活塞 全场回放（邵化谦、贾磊） 09:55,http://119.53.137.101:9002/962767628
NBA 森林狼VS雷霆 全场回放（孙博、马健、秋童） 10:25,http://119.53.137.101:9002/962768169
NBA 森林狼VS雷霆 全场回放（英文原声） 10:25,http://119.53.137.101:9002/962768950
澳网 阿尔卡拉斯VS兹维列夫 刘钟鸣 蔡凯臣 11:00,http://119.53.137.101:9002/962750259
澳网 阿尔卡拉斯VS兹维列夫 阿尔卡拉斯vs兹维列夫 11:00,http://119.53.137.101:9002/962750203
五人制亚洲杯 沙特阿拉伯VS伊朗 乔迁 13:45,http://119.53.137.101:9002/962604239
五人制亚洲杯 沙特阿拉伯VS伊朗 赛场原声 13:45,http://119.53.137.101:9002/962604107
BWF 冲四强！小将朱轩辰出战 3号场地 14:00,http://119.53.137.101:9002/962683843
BWF 冲四强！小将朱轩辰出战 1号场地 14:00,http://119.53.137.101:9002/962683814
BWF 冲四强！小将朱轩辰出战 2号场地 14:00,http://119.53.137.101:9002/962683826
五人制亚洲杯 澳大利亚VS乌兹别克斯坦 涂远 15:45,http://119.53.137.101:9002/962604040
五人制亚洲杯 澳大利亚VS乌兹别克斯坦 赛场原声 15:45,http://119.53.137.101:9002/962604014
澳网 德约科维奇VS辛纳 罗德拉沃尔球场 09:00,http://119.53.137.101:9002/962437132
澳网 德约科维奇VS辛纳 刘钟鸣 蔡凯臣 16:00,http://119.53.137.101:9002/962750284
五人制亚洲杯 马来西亚VS阿富汗 涂远 17:45,http://119.53.137.101:9002/962603971
五人制亚洲杯 马来西亚VS阿富汗 赛场原声 17:45,http://119.53.137.101:9002/962603946
CBA 篮球公园——对话王思雨 篮球公园 18:35,http://119.53.137.101:9002/962758183
乒乓球经典赛事 关键分不手软！王曼昱首夺亚洲杯桂冠 经典赛事 19:00,http://119.53.137.101:9002/962612569
UFC前瞻与回顾 UFC激战前夜：UFC325特辑 王琰博 19:00,http://119.53.137.101:9002/962747393
WCBA 北京首钢园VS山东赤水河酒 清流播出 19:25,http://119.53.137.101:9002/962573864
WCBA 武汉盛帆黄鹤VS四川蜀道远达 清流播出 19:25,http://119.53.137.101:9002/962573849
WCBA 武汉盛帆黄鹤VS四川蜀道远达 解说 19:25,http://119.53.137.101:9002/962770616
WCBA 石家庄英励VS东莞新彤盛 清流播出 19:25,http://119.53.137.101:9002/962573783
WCBA 江苏南钢VS山西竹叶青酒 清流播出 19:25,http://119.53.137.101:9002/962573820
浙江省城市篮球联赛 杭州VS丽水 25/26赛季浙江省城市篮球联赛: 杭州VS丽水 19:30,http://119.53.137.101:9002/962682585
CBA 北京控股VS青岛崂山啤酒 图文直播 19:35,http://119.53.137.101:9002/962481676
CBA 南京天之蓝VS四川丰谷酒业 图文直播 19:35,http://119.53.137.101:9002/962481697
CBA 上海久事VS深圳马可波罗 图文直播 19:35,http://119.53.137.101:9002/962481713
WCBA 新疆天山VS浙江稠州银行 解说 19:55,http://119.53.137.101:9002/962573880
五人制亚洲杯 塔吉克斯坦VS日本 王子睿 19:45,http://119.53.137.101:9002/962603898
五人制亚洲杯 塔吉克斯坦VS日本 赛场原声 19:45,http://119.53.137.101:9002/962603849
斯诺克 凯伦·威尔逊vs墨菲 阿里·卡特出战 1号桌 22:00,http://119.53.137.101:9002/962585865
斯诺克 凯伦·威尔逊vs墨菲 阿里·卡特出战 2号桌 22:00,http://119.53.137.101:9002/962585885
斯诺克 凯伦·威尔逊vs墨菲 阿里·卡特出战 柏林 21:00,http://119.53.137.101:9002/962770826
斯诺克 肖国栋PK小特 罗伯逊对决罗伯逊 1号桌 03:00,http://119.53.137.101:9002/962585913
斯诺克 肖国栋PK小特 罗伯逊对决罗伯逊 2号桌 03:00,http://119.53.137.101:9002/962585957
斯诺克 肖国栋PK小特 罗伯逊对决罗伯逊 朱峰立 03:00,http://119.53.137.101:9002/962770817
德甲 科隆VS沃尔夫斯堡 李霄 03:15,http://119.53.137.101:9002/962748700
德甲 科隆VS沃尔夫斯堡 赛场原声 03:15,http://119.53.137.101:9002/962748690
德甲 科隆VS沃尔夫斯堡 李霄 03:15,http://119.53.137.101:9002/962748726
法甲 朗斯VS勒阿弗尔 张天翼 03:30,http://119.53.137.101:9002/962749073
法甲 朗斯VS勒阿弗尔 赛场原声 03:30,http://119.53.137.101:9002/962749065
意甲 拉齐奥VS热那亚 涂远 03:30,http://119.53.137.101:9002/962748583
意甲 拉齐奥VS热那亚 赛场原声 03:30,http://119.53.137.101:9002/962748575
意甲 拉齐奥VS热那亚 涂远 03:30,http://119.53.137.101:9002/962748596
西甲 西班牙人VS阿拉维斯 洪宇青 03:45,http://119.53.137.101:9002/962749014
西甲 西班牙人VS阿拉维斯 赛场原声 03:45,http://119.53.137.101:9002/962749020
NBA 奇才VS湖人 李天宇 陈正昊 金佳悦 07:45,http://119.53.137.101:9002/962609630
NBA 奇才VS湖人 郑泽鹏 07:55,http://119.53.137.101:9002/962609516
NBA 奇才VS湖人 莫俊祺 07:55,http://119.53.137.101:9002/962609452
NBA 奇才VS湖人 洪荒 07:55,http://119.53.137.101:9002/962609377
NBA 奇才VS湖人 英文原声 07:55,http://119.53.137.101:9002/962609272
NBA 魔术VS猛龙 张泽欣 08:25,http://119.53.137.101:9002/962609758
NBA 魔术VS猛龙 英文原声 08:25,http://119.53.137.101:9002/962609673
