采集_动画片,#genre#
十条命,https://v14.qdhdcate.com/yyv14/202508/17/Q6U8ryGGrs22/video/index.m3u8
高中舰队剧场版,https://v14.qdhdcate.com/yyv14/202508/16/pMcyJBGbK723/video/index.m3u8#第01集$https://v6.qdhdcate.com/yyv6/202309/07/KVCjQ5SteN1/video/index.m3u8
斗罗大陆：双神大战,https://v14.qdhdcate.com/yyv14/202508/27/dJsNwf115621/video/index.m3u8
哆啦A梦：大雄与云之国国语,https://v13.qdhdcate.com/yyv13/202508/15/XtyXBWfmXu23/video/index.m3u8
他们射杀了钢琴师,https://v13.qdhdcate.com/yyv13/202508/18/SCxrx7GAmz23/video/index.m3u8
哆啦A梦：大雄的阿拉伯之夜国语,https://v13.qdhdcate.com/yyv13/202508/15/857D64az6i19/video/index.m3u8
银河英雄传说新战争的序曲,https://v14.qdhdcate.com/yyv14/202508/14/tkdy94Mf8d20/video/index.m3u8
猫和老鼠：星盘奇缘,https://v14.qdhdcate.com/yyv14/202508/13/UBi5MSJjbU20/video/index.m3u8
哆啦A梦：大雄与动物行星国语,https://v13.qdhdcate.com/yyv13/202508/15/iB8pkbcWAt24/video/index.m3u8
哆啦A梦：大雄与梦幻三剑士国语,https://v14.qdhdcate.com/yyv14/202508/15/mmeq0arxVJ20/video/index.m3u8
正义联盟：无限地球危机（中）,https://v13.qdhdcate.com/yyv13/202508/15/w6VRCjnHXD22/video/index.m3u8
名侦探柯南：漆黑的追踪者,https://v13.qdhdcate.com/yyv13/202508/12/wDGgvVQHex19/video/index.m3u8
西莱克斯与城市,https://v13.qdhdcate.com/yyv13/202508/14/GXhXX7tni022/video/index.m3u8
我的古怪家庭,https://v14.qdhdcate.com/yyv14/202508/14/iaxUUuNPfF19/video/index.m3u8
少女与战车最终章第4话,https://v14.qdhdcate.com/yyv14/202508/12/n1T7tksK9G23/video/index.m3u8
圣诞节的大冒险,https://v14.qdhdcate.com/yyv14/202508/12/wezcVh2vX021/video/index.m3u8
美人鱼的夏天,https://v13.qdhdcate.com/yyv13/202508/12/Q1dHeT2NBG21/video/index.m3u8
浪浪山小妖怪,https://v13.qdhdcate.com/yyv13/202508/08/Kr6JnpXUT020/video/index.m3u8
精灵宝可梦破坏之茧与蒂安希国语,https://v14.qdhdcate.com/yyv14/202508/04/ASU8mevqG520/video/index.m3u8
犬夜叉：天下霸道之剑,https://v13.qdhdcate.com/yyv13/202508/06/QHLz1SeqiY23/video/index.m3u8
女神异闻录3剧场版第一章春生,https://v13.qdhdcate.com/yyv13/202508/06/p8J9fdnDVN21/video/index.m3u8
进击的巨人总集篇最后的进击,https://v14.qdhdcate.com/yyv14/202508/11/38w1sJBtf424/video/index.m3u8
哆啦A梦：大雄与白金迷宫国语,https://v13.qdhdcate.com/yyv13/202508/15/gJSc7F6NpA20/video/index.m3u8
精灵宝可梦：洛奇亚爆诞国语,https://v13.qdhdcate.com/yyv13/202508/04/6YNqZrhmKn20/video/index.m3u8
纱,https://v13.qdhdcate.com/yyv13/202508/12/3vxx8qrdZn22/video/index.m3u8
精灵宝可梦：比克提尼与黑之英雄捷克罗姆国语,https://v14.qdhdcate.com/yyv14/202508/04/FaKSZbU3Qz21/video/index.m3u8
精灵宝可梦：神速的灭世虫盖诺赛克特超梦觉醒,https://v13.qdhdcate.com/yyv13/202508/04/SVm4Ct3Bmi21/video/index.m3u8
精灵宝可梦：洛奇亚爆诞粤语,https://v13.qdhdcate.com/yyv13/202508/04/C6fDd05UK419/video/index.m3u8
精灵宝可梦：裂空的访问者代欧奇希斯粤语,https://v13.qdhdcate.com/yyv13/202508/04/qgF8tRLTwD22/video/index.m3u8
精灵宝可梦破坏之茧与蒂安希粤语,https://v13.qdhdcate.com/yyv13/202508/04/MVez6xeKxv21/video/index.m3u8
精灵宝可梦：洛奇亚爆诞,https://v13.qdhdcate.com/yyv13/202508/04/DMYf3XHRHq21/video/index.m3u8
精灵宝可梦：比克提尼与黑之英雄捷克罗姆粤语,https://v14.qdhdcate.com/yyv14/202508/04/sXyJCTYs2Y21/video/index.m3u8
精灵宝可梦：时拉比穿越时空的相遇国语,https://v13.qdhdcate.com/yyv13/202508/04/bWr5ymS2xS24/video/index.m3u8
精灵宝可梦：冥王龙与冰空的花束雪米,https://v14.qdhdcate.com/yyv14/202508/04/HjqLj8HHbN23/video/index.m3u8
精灵宝可梦：神速的灭世虫盖诺赛克特超梦觉醒国语,https://v14.qdhdcate.com/yyv14/202508/04/56CUzZb6Xv19/video/index.m3u8
精灵宝可梦：时拉比穿越时空的相遇粤语,https://v13.qdhdcate.com/yyv13/202508/04/mvYvdf3D2f21/video/index.m3u8
精灵宝可梦：结晶塔的帝王,https://v14.qdhdcate.com/yyv14/202508/04/PsXK2np2rJ20/video/index.m3u8
精灵宝可梦：裂空的访问者代欧奇希斯国语,https://v13.qdhdcate.com/yyv13/202508/04/qS7UnVS6vP20/video/index.m3u8
精灵宝可梦：七夜的许愿星基拉祈国语,https://v13.qdhdcate.com/yyv13/202508/04/nFc3pLb2MV21/video/index.m3u8
精灵宝可梦：比克提尼与黑之英雄捷克罗姆,https://v14.qdhdcate.com/yyv14/202508/04/VjzCbHY7vT21/video/index.m3u8
精灵宝可梦：时拉比穿越时空的相遇,https://v13.qdhdcate.com/yyv13/202508/04/aHY5nsgcU622/video/index.m3u8
精灵宝可梦：七夜的许愿星基拉祈粤语,https://v13.qdhdcate.com/yyv13/202508/04/swAd9PZKC722/video/index.m3u8
精灵宝可梦：结晶塔的帝王粤语,https://v14.qdhdcate.com/yyv14/202508/04/Q57bf58KwE21/video/index.m3u8
蜡笔小新：黑暗珠珠大追击粤语,https://v13.qdhdcate.com/yyv13/202508/04/bVpqWCXqae24/video/index.m3u8
精灵宝可梦：七夜的许愿星基拉祈,https://v14.qdhdcate.com/yyv14/202508/04/UzfjdmDf5m19/video/index.m3u8
孤独摇滚(上),https://v14.qdhdcate.com/yyv14/202508/03/ysgqn8KKV323/video/index.m3u8
精灵宝可梦：冥王龙与冰空的花束雪米粤语,https://v13.qdhdcate.com/yyv13/202508/04/JGTjs9z6yB21/video/index.m3u8
蜡笔小新：黑暗珠珠大追击,https://v14.qdhdcate.com/yyv14/202508/04/FzahJB074H20/video/index.m3u8
飞兔大联盟,https://v13.qdhdcate.com/yyv13/202508/03/s2Gt0DzGER24/video/index.m3u8
哪吒之魔童闹海,https://v2.qdhdcate.com/yyv2/202501/30/JYwFDzyprM24/video/index.m3u8#修复版$https://v2.qdhdcate.com/yyv2/202502/13/8D5yhT7b1u21/video/index.m3u8#HD$https://v13.qdhdcate.com/yyv13/202507/31/MG6Yzvh3xK22/video/index.m3u8
精灵宝可梦：神速的灭世虫盖诺赛克特超梦觉醒粤语,https://v13.qdhdcate.com/yyv13/202508/04/rjNBQLytYw21/video/index.m3u8
蜡笔小新：黑暗珠珠大追击国语,https://v14.qdhdcate.com/yyv14/202508/04/BE4k9ujZft23/video/index.m3u8
犬夜叉：镜中的梦幻城,https://v13.qdhdcate.com/yyv13/202507/29/2Ujm2FUC7V23/video/index.m3u8
精灵宝可梦：水都的守护神拉帝亚斯与拉帝欧斯国语,https://v13.qdhdcate.com/yyv13/202508/04/0gkYPW1HaS21/video/index.m3u8
天降美食粤语,https://v13.qdhdcate.com/yyv13/202507/26/bMGF94eFtB20/video/index.m3u8
天降美食国语,https://v13.qdhdcate.com/yyv13/202507/26/7xYERTTGnn23/video/index.m3u8
勇者传说,https://v14.qdhdcate.com/yyv14/202507/26/dS6buD3zxH24/video/index.m3u8
农夫,https://v14.qdhdcate.com/yyv14/202507/29/NhD8SV3TRY19/video/index.m3u8
精灵宝可梦：结晶塔的帝王国语,https://v13.qdhdcate.com/yyv13/202508/04/t7Qg6wjzps21/video/index.m3u8
鼠谭秘奇,https://v14.qdhdcate.com/yyv14/202507/26/CCjy7KxRtr23/video/index.m3u8
为我谱上乐章,https://v13.qdhdcate.com/yyv13/202507/26/enaEX62Jvv23/video/index.m3u8
闪电狗,https://v13.qdhdcate.com/yyv13/202507/25/hNgkpfzDVr24/video/index.m3u8
天降美食,https://v13.qdhdcate.com/yyv13/202507/26/vhWsftKH9p23/video/index.m3u8
精灵宝可梦：水都的守护神拉帝亚斯与拉帝欧斯,https://v13.qdhdcate.com/yyv13/202508/04/VaNmaf3iCk24/video/index.m3u8
潘及的秘密日记剧场版,https://v14.qdhdcate.com/yyv14/202507/29/iGLdnTDnVn23/video/index.m3u8
大旅行3,https://v13.qdhdcate.com/yyv13/202507/19/cX0fXuXYFP24/video/index.m3u8
攻壳机动队SAC：笑面男,https://v13.qdhdcate.com/yyv13/202507/22/JWfNAZdypd23/video/index.m3u8
攻壳机动队SAC：笑面男粤语,https://v14.qdhdcate.com/yyv14/202507/22/iNpbQTptBm21/video/index.m3u8
蹦蹦猴,https://v14.qdhdcate.com/yyv14/202507/16/rLDDcYyZPp23/video/index.m3u8
攻壳机动队SAC2ndGIG：个别的十一人粤语,https://v14.qdhdcate.com/yyv14/202507/22/jYaVam69n022/video/index.m3u8
攻壳机动队SAC2ndGIG：个别的十一人,https://v13.qdhdcate.com/yyv13/202507/22/AgJhmDJhZW20/video/index.m3u8
聊斋：兰若寺,https://v13.qdhdcate.com/yyv13/202507/21/H6xcLhJeyT20/video/index.m3u8
斗罗大陆剧场版剑道尘心,https://v14.qdhdcate.com/yyv14/202507/12/sGwUWtmfsM24/video/index.m3u8#HD上$https://v13.qdhdcate.com/yyv13/202507/12/0H8m7brVtj21/video/index.m3u8
蓝色巨星,https://v14.qdhdcate.com/yyv14/202507/07/BufMSPQZv124/video/index.m3u8
蝙蝠侠：哥谭骑士,https://v13.qdhdcate.com/yyv13/202507/16/zDA3XrZrCe21/video/index.m3u8
癫狂！,https://v14.qdhdcate.com/yyv14/202507/05/hEmpj5sYuZ21/video/index.m3u8
剧场版世界计划破碎的世界与无法歌唱的未来,https://v13.qdhdcate.com/yyv13/202507/24/5LjVtPFQBg23/video/index.m3u8
大旅行3国语,https://v14.qdhdcate.com/yyv14/202507/19/TzenLc3Yvz20/video/index.m3u8
孤独摇滚(下),https://v13.qdhdcate.com/yyv13/202507/22/jecsxk4Tpx22/video/index.m3u8
开心超人之逆世营救,https://v13.qdhdcate.com/yyv13/202507/03/wLpvqRGb0q22/video/index.m3u8
名侦探柯南：独眼的残像,https://v14.qdhdcate.com/yyv14/202507/01/0YCYrzPgnZ23/video/index.m3u8
K-POP：猎魔女团,https://v13.qdhdcate.com/yyv13/202506/21/bcpCp8LDD521/video/index.m3u8
呆呆精灵与女巫城堡,https://v14.qdhdcate.com/yyv14/202507/05/5TH5hKBckd24/video/index.m3u8
精子总动员,https://v13.qdhdcate.com/yyv13/202507/07/uEcLfYnvRZ22/video/index.m3u8
沙特奇趣录：小学生大冒险,https://v13.qdhdcate.com/yyv13/202506/14/ULTwTjhG0721/video/index.m3u8
熊出没·重启未来,https://v2.qdhdcate.com/yyv2/202501/30/qvuqjXz9cv24/video/index.m3u8#精修版$https://v5.qdhdcate.com/yyv5/202502/02/9PJZziSddH19/video/index.m3u8#HD$https://v6.qdhdcate.com/yyv6/202505/01/Ma3pwA67dq20/video/index.m3u8
铁血战士：杀戮之王,https://v13.qdhdcate.com/yyv13/202506/06/Mat4mx3LzQ23/video/index.m3u8
电影GIVEN去海边,https://v13.qdhdcate.com/yyv13/202506/06/BnCHhgbtfC20/video/index.m3u8
好鞋成双,https://v6.qdhdcate.com/yyv6/202505/02/nxS26VsgWg21/video/index.m3u8
万王之王,https://v13.qdhdcate.com/yyv13/202505/31/F1QmbsbhDp19/video/index.m3u8
孤独摇滚(上)(下),https://v5.qdhdcate.com/yyv5/202504/29/E7vC0sWfT922/video/index.m3u8#HD上$https://v4.qdhdcate.com/yyv4/202504/29/99HdkpYscw22/video/index.m3u8
雄狮少年2,https://v13.qdhdcate.com/yyv13/202506/01/kH1ptGb38924/video/index.m3u8
超级查理,https://v4.qdhdcate.com/yyv4/202505/27/XkRQYgEJmV24/video/index.m3u8
神印王座剧场版：伊莱克斯传奇,https://v4.qdhdcate.com/yyv4/202504/30/PEhsfYTdMm24/video/index.m3u8
动物园天启夜,https://v4.qdhdcate.com/yyv4/202504/08/dL29ENJnip22/video/index.m3u8
蚂蚁传奇之烈火重生,https://v5.qdhdcate.com/yyv5/202503/26/rR9yfjgvEk20/video/index.m3u8
八田与一嘉南大圳之父,https://v6.qdhdcate.com/yyv6/202504/24/L5VK4b6Mcj23/video/index.m3u8
八田与一嘉南大圳之父国语,https://v4.qdhdcate.com/yyv4/202504/24/h1sDJs3S0023/video/index.m3u8
完美世界剧场版,https://v11.qdhdcate.com/yyv11/202409/14/mVrF0AR9CE3/video/index.m3u8#下$https://v9.qdhdcate.com/yyv9/202409/14/C7ziEYM39w18/video/index.m3u8#上$https://v5.qdhdcate.com/yyv5/202409/14/fu5UvKuXzc7/video/index.m3u8#HD$https://v6.qdhdcate.com/yyv6/202503/26/4eXsNEgkdK24/video/index.m3u8
不死者之王剧场版圣王国篇,https://v4.qdhdcate.com/yyv4/202503/29/TRiG9kwW5A24/video/index.m3u8
一千零一夜之拯救黄金城,https://v4.qdhdcate.com/yyv4/202503/26/Wymzc2x3RB21/video/index.m3u8
奇怪的球赛,https://v5.qdhdcate.com/yyv5/202503/26/En2uGf9HCC22/video/index.m3u8
新大头儿子和小头爸爸6：迷你大冒险,https://v3.qdhdcate.com/yyv3/202503/26/tBjzhdSYkF19/video/index.m3u8
仙逆剧场版神临之战,https://v13.qdhdcate.com/yyv13/202505/30/qy7BabxEjv23/video/index.m3u8
星游记之风暴法米拉2,https://v5.qdhdcate.com/yyv5/202503/12/dtyNVS82wB24/video/index.m3u8
烈阳天道Ⅱ,https://v3.qdhdcate.com/yyv3/202503/12/PtXWhy32Gd20/video/index.m3u8
恶兽,https://v2.qdhdcate.com/yyv2/202503/18/BRmhUEqjGx19/video/index.m3u8
名侦探柯南：绯色的不在场证明,https://v6.qdhdcate.com/yyv6/202403/29/U1L8Rdn5yn5/video/index.m3u8#第01集$https://v6.qdhdcate.com/yyv6/202309/09/d8JzPReapg1/video/index.m3u8
冷血狂宴,https://v2.qdhdcate.com/yyv2/202503/12/ieUNPj8mfP23/video/index.m3u8
女他,https://v6.qdhdcate.com/yyv6/202503/12/F0YxkEfK0024/video/index.m3u8
小门神,https://v3.qdhdcate.com/yyv3/202503/08/qE13fWf2sC21/video/index.m3u8
魔幻仙踪,https://v5.qdhdcate.com/yyv5/202503/08/0Sme4GDWD720/video/index.m3u8
雪域少年,https://v6.qdhdcate.com/yyv6/202503/08/C8V1pEx77S24/video/index.m3u8
海贼王剧场版9：冬季绽放的奇迹之樱,https://v5.qdhdcate.com/yyv5/202405/14/tnBahpu4FH3/video/index.m3u8#第01集$https://v6.qdhdcate.com/yyv6/202309/09/iX9EbegFNL1/video/index.m3u8
大丽花与红皮书,https://v6.qdhdcate.com/yyv6/202503/20/qMaeek3C3T22/video/index.m3u8
四重星,https://v6.qdhdcate.com/yyv6/202503/12/UuBm4dzem823/video/index.m3u8
海绵宝宝：皮老板大电影,https://v4.qdhdcate.com/yyv4/202502/27/Ms31QhTwxu20/video/index.m3u8#中字$https://v6.qdhdcate.com/yyv6/202503/07/0UeQG2Fzxg24/video/index.m3u8
鲁邦三世VS名侦探柯南 剧场版,https://v5.qdhdcate.com/yyv5/202408/19/S4Ycj6JqQ17/video/index.m3u8
狮子王：木法沙传奇,https://v2.qdhdcate.com/yyv2/202501/02/xjffeCggUK19/video/index.m3u8#HD$https://v6.qdhdcate.com/yyv6/202502/19/rPAXV14TWw24/video/index.m3u8
你的颜色,https://v3.qdhdcate.com/yyv3/202502/27/sdL6HW7kSp21/video/index.m3u8
帕丁顿熊3：秘鲁大冒险,https://v4.qdhdcate.com/yyv4/202502/15/rNPHx5irmG24/video/index.m3u8
猎魔人：深渊海妖,https://v4.qdhdcate.com/yyv4/202502/13/0Wb47P8Ags20/video/index.m3u8
刺猬索尼克3,https://v6.qdhdcate.com/yyv6/202501/05/Sw4YqKz1ap20/video/index.m3u8#HD$https://v4.qdhdcate.com/yyv4/202502/01/NmT9uTnTCa23/video/index.m3u8
海绵宝宝：拯救比奇堡,https://v6.qdhdcate.com/yyv6/202502/27/QbHYgh9Est24/video/index.m3u8
蜡笔小新：我们的恐龙日记,https://v2.qdhdcate.com/yyv2/202502/27/Bqasr3Ysqn22/video/index.m3u8#HD国语$https://v6.qdhdcate.com/yyv6/202502/27/vQGww19ZP424/video/index.m3u8
水牛之子,https://v2.qdhdcate.com/yyv2/202501/31/TrP1AhbaNb19/video/index.m3u8
落凡尘,https://v3.qdhdcate.com/yyv3/202501/24/aQJVt5kvPE21/video/index.m3u8#普通话$https://v3.qdhdcate.com/yyv3/202501/24/QVTzKFzkF524/video/index.m3u8
47,https://v5.qdhdcate.com/yyv5/202501/23/9Qx0rD30tM24/video/index.m3u8
江豚·风时舞,https://v5.qdhdcate.com/yyv5/202501/27/vTFY6mdwZk23/video/index.m3u8
海洋奇缘2,https://v4.qdhdcate.com/yyv4/202501/31/zmuc0tyZCu21/video/index.m3u8
指环王：洛汗之战,https://v6.qdhdcate.com/yyv6/202412/28/bZkHXaLDvK20/video/index.m3u8
克劳斯：圣诞节的秘密,https://v5.qdhdcate.com/yyv5/202412/25/u1Q6jHzUHD22/video/index.m3u8#第01集$https://v6.qdhdcate.com/yyv6/202309/06/RwXzAJpbdj1/video/index.m3u8
超级无敌掌门狗：企鹅的复仇,https://v3.qdhdcate.com/yyv3/202501/04/iEGKPJbxpn21/video/index.m3u8
风都侦探剧场版：假面骑士颅骨的肖像,https://v4.qdhdcate.com/yyv4/202412/22/jT21PKGWNr21/video/index.m3u8
数分钟的赞歌,https://v3.qdhdcate.com/yyv3/202412/13/NKKudcvCta20/video/index.m3u8
我独自升级-二次觉醒-,https://v5.qdhdcate.com/yyv5/202412/10/JHf8NKTtnZ19/video/index.m3u8
吞噬星空剧场版 血洛大陆,https://v4.qdhdcate.com/yyv4/202412/07/dK6ShmTAiR21/video/index.m3u8
那年圣诞不一样,https://v3.qdhdcate.com/yyv3/202412/05/qVd7yUF7Z321/video/index.m3u8
赏金猎猪,https://v3.qdhdcate.com/yyv3/202411/30/5WFYnU0hBX20/video/index.m3u8
猫妖小杏,https://v3.qdhdcate.com/yyv3/202412/05/zWs1Haqwib22/video/index.m3u8
剧场版怪化猫,https://v5.qdhdcate.com/yyv5/202408/12/XKAXP5khkj7/video/index.m3u8#HD$https://v4.qdhdcate.com/yyv4/202411/30/gKd20FF3g121/video/index.m3u8
名侦探柯南：百万美元的五棱星,https://v12.qdhdcate.com/yyv12/202409/04/w4ZpfiaVaj8/video/index.m3u8#HD$https://v2.qdhdcate.com/yyv2/202411/27/ZPTQL6exZD23/video/index.m3u8
赛马娘 新时代之扉,https://v2.qdhdcate.com/yyv2/202412/13/X6xXQT6GZG20/video/index.m3u8
蜗牛回忆录,https://v6.qdhdcate.com/yyv6/202411/25/evEMVyQNgH24/video/index.m3u8
失去的,https://v2.qdhdcate.com/yyv2/202411/25/3CNAsfz4jr24/video/index.m3u8
白蛇：浮生,https://v10.qdhdcate.com/yyv10/202408/16/PJu7HMqTGN15/video/index.m3u8#HD$https://v4.qdhdcate.com/yyv4/202410/13/s3XTbR8iyM4/video/index.m3u8
不死者之王 剧场版 圣王国篇,https://v2.qdhdcate.com/yyv2/202411/15/mkEZfA0Nnw23/video/index.m3u8
来自中国的熊猫,https://v2.qdhdcate.com/yyv2/202410/13/85gCe8jnBD10/video/index.m3u8
荒野机器人,https://v6.qdhdcate.com/yyv6/202410/02/diBsfqVtbk12/video/index.m3u8
排球少年！！垃圾场决战,https://v5.qdhdcate.com/yyv5/202406/19/dBxAxsLrae7/video/index.m3u8#中字$https://v4.qdhdcate.com/yyv4/202410/31/uUETEcWjk624/video/index.m3u8
冰雪女王5：融冰之战,https://v4.qdhdcate.com/yyv4/202410/13/UYQiZPzFNx4/video/index.m3u8
寄生魔偶,https://v2.qdhdcate.com/yyv2/202411/05/gAzQkq5KDT21/video/index.m3u8
喜羊羊与灰太狼之守护,https://v8.qdhdcate.com/yyv8/202407/15/DFgCEjVL5Q14/video/index.m3u8#HD$https://v12.qdhdcate.com/yyv12/202410/02/dM4wXxZALu8/video/index.m3u8
魔咒奇缘2024,https://v5.qdhdcate.com/yyv5/202411/22/HKMb2HQSER23/video/index.m3u8
偶像活动剧场版,https://v10.qdhdcate.com/yyv10/202405/13/qGDjrcBRUt15/video/index.m3u8
哆啦A梦：大雄的地球交响乐,https://v12.qdhdcate.com/yyv12/202409/13/xyxmfzn2BM8/video/index.m3u8
残念生物事典 剧场版,https://v5.qdhdcate.com/yyv5/202408/26/zagUpUZzCf7/video/index.m3u8
头文字D新剧场版：觉醒,https://v9.qdhdcate.com/yyv9/202405/20/RNa2C5RuWA18/video/index.m3u8
歌之☆王子殿下剧场版：真爱王国,https://v11.qdhdcate.com/yyv11/202407/19/9i0bAAEaWG3/video/index.m3u8
蜡笔小新：超级美味！B级美食大逃亡！,https://v12.qdhdcate.com/yyv12/202408/29/ZpCwUrw9948/video/index.m3u8
鲁邦三世VS名侦探柯南剧场版粤语,https://v8.qdhdcate.com/yyv8/202408/19/b0nnFMdidC14/video/index.m3u8
福音战士新剧场版：破,https://v1.qdhdcate.com/yyv1/202406/10/CLiipcLnZ41/video/index.m3u8#第01集$https://v6.qdhdcate.com/yyv6/202309/07/60BfvvUgCM1/video/index.m3u8
变形金刚：起源,https://v2.qdhdcate.com/yyv2/202410/23/QJKts8QaBj22/video/index.m3u8
蜡笔小新：超级美味！B级美食大逃亡！国语,https://v5.qdhdcate.com/yyv5/202408/29/K6DzafvbRW7/video/index.m3u8
狐狸打猎人,https://v8.qdhdcate.com/yyv8/202408/27/t8trwuJTWG14/video/index.m3u8
火影忍者剧场版：大激突！幻之地底遗迹,https://v8.qdhdcate.com/yyv8/202408/27/dqnAE2q3rT14/video/index.m3u8
狐狸送葡萄,https://v12.qdhdcate.com/yyv12/202408/27/CgXrE5ncFQ8/video/index.m3u8
狼来了,https://v8.qdhdcate.com/yyv8/202408/27/xwTdR3hmNi14/video/index.m3u8
松鼠理发师,https://v12.qdhdcate.com/yyv12/202408/29/RfnbM5x0SU8/video/index.m3u8
黑神话悟空,https://v10.qdhdcate.com/yyv10/202408/28/ZXQznQbyeg15/video/index.m3u8#HD$https://v8.qdhdcate.com/yyv8/202408/28/PHNsnWKZSy14/video/index.m3u8
蓝色禁区：凪,https://v8.qdhdcate.com/yyv8/202407/14/RVSwrxsJDE14/video/index.m3u8#人工精译$https://v11.qdhdcate.com/yyv11/202407/29/Hk7F5t07323/video/index.m3u8#HD$https://v5.qdhdcate.com/yyv5/202409/01/fJa3mNmsS67/video/index.m3u8
螳螂捕蝉,https://v12.qdhdcate.com/yyv12/202408/29/8JqxRzmd6R8/video/index.m3u8
狐狸列那,https://v9.qdhdcate.com/yyv9/202408/25/ZJrHF1pBFK18/video/index.m3u8
Go！Go！小小车向前冲：科丽茜出发啰,https://v9.qdhdcate.com/yyv9/202408/29/tznv0EenJy18/video/index.m3u8
渔童,https://v11.qdhdcate.com/yyv11/202408/25/Kp2UUnLqRN3/video/index.m3u8
曹冲称象,https://v8.qdhdcate.com/yyv8/202408/27/AjLMpMf15R14/video/index.m3u8
超能小萌怪：从前从前,https://v12.qdhdcate.com/yyv12/202408/29/hubkDFXZtF8/video/index.m3u8
老狼请客,https://v9.qdhdcate.com/yyv9/202408/28/6WNH7q2aPd18/video/index.m3u8
露西的学校,https://v12.qdhdcate.com/yyv12/202408/29/X3imhHJF7F8/video/index.m3u8
绝密战俘营：纳粹精英在美国,https://v8.qdhdcate.com/yyv8/202408/29/ZsfEnE9xHR14/video/index.m3u8
神国的奥秘,https://v9.qdhdcate.com/yyv9/202408/29/qGiHg25Shw18/video/index.m3u8
三只狼,https://v10.qdhdcate.com/yyv10/202408/28/8HG5iFbJbc15/video/index.m3u8
东郭先生,https://v9.qdhdcate.com/yyv9/202408/28/TfhvTb9aAK18/video/index.m3u8
愚人买鞋,https://v5.qdhdcate.com/yyv5/202408/28/fHxY2jdZtX7/video/index.m3u8
鹬蚌相争,https://v10.qdhdcate.com/yyv10/202408/28/Sq3FBfgiuS15/video/index.m3u8
全金属狂潮 Into the Blue,https://v8.qdhdcate.com/yyv8/202408/26/PvCCQ3ZaJt14/video/index.m3u8
帕罗尼秀！万圣特辑！,https://v5.qdhdcate.com/yyv5/202408/29/erfP5zm3tg7/video/index.m3u8
火花计划：发现创新的火种,https://v9.qdhdcate.com/yyv9/202408/29/HrCkt2rvaF18/video/index.m3u8
三个和尚,https://v8.qdhdcate.com/yyv8/202408/26/Xgz9552Z2b14/video/index.m3u8
海盜的通道,https://v8.qdhdcate.com/yyv8/202408/29/Fh8ztPnrED14/video/index.m3u8
你好卡博特：翁法洛斯岛的秘密,https://v5.qdhdcate.com/yyv5/202408/26/4JG07PhR5a7/video/index.m3u8
铁扇公主1941,https://v11.qdhdcate.com/yyv11/202408/25/GctbpPvBp43/video/index.m3u8
雪孩子,https://v12.qdhdcate.com/yyv12/202408/25/FVBsL4u3pP8/video/index.m3u8
西游记之三件宝贝,https://v9.qdhdcate.com/yyv9/202408/25/ze9Tvuzi4118/video/index.m3u8
全金属狂潮 Boy Meets Girl,https://v8.qdhdcate.com/yyv8/202408/26/nWHG9fBnvD14/video/index.m3u8
好猫咪咪,https://v10.qdhdcate.com/yyv10/202408/26/RTp6E5QTSc15/video/index.m3u8
小八戒,https://v12.qdhdcate.com/yyv12/202408/26/gQBihtumpf8/video/index.m3u8
绿洲幻想曲,https://v12.qdhdcate.com/yyv12/202408/27/BpS3keTueK8/video/index.m3u8
