采集_影视解说,#genre#
人生路不熟【影视解说】,https://v10.qdhdcate.com/yyv10/202408/03/FDpDA7eT6p15/video/index.m3u8
反贪风暴2【影视解说】,https://v11.qdhdcate.com/yyv11/202407/25/2kFx8zam9L3/video/index.m3u8
我在时间尽头等你【影视解说】,https://v11.qdhdcate.com/yyv11/202408/03/Zs7kMFVuLw3/video/index.m3u8
反贪风暴3【影视解说】,https://v12.qdhdcate.com/yyv12/202407/25/yyhdeQxJRD8/video/index.m3u8
反贪风暴5：最终章【影视解说】,https://v11.qdhdcate.com/yyv11/202407/25/aXNdNDCE0M3/video/index.m3u8
金刚川【影视解说】,https://v11.qdhdcate.com/yyv11/202407/25/C9s7qARstP3/video/index.m3u8
猛鬼学堂【影视解说】,https://v12.qdhdcate.com/yyv12/202408/03/xb7LQGczci8/video/index.m3u8
建国大业【影视解说】,https://v10.qdhdcate.com/yyv10/202407/25/sZsfYeZjhh15/video/index.m3u8
反贪风暴之加密危机【影视解说】,https://v8.qdhdcate.com/yyv8/202407/25/H2Tx7EHX8814/video/index.m3u8
绝命海拔【影视解说】,https://v11.qdhdcate.com/yyv11/202407/25/Bq2ekTqmSP3/video/index.m3u8
冒牌特工【影视解说】,https://v9.qdhdcate.com/yyv9/202408/03/TchhF49Qcp18/video/index.m3u8
迷魂记【影视解说】,https://v5.qdhdcate.com/yyv5/202408/02/6V9sTTADJ17/video/index.m3u8
辣手保姆2：女王蜂【影视解说】,https://v10.qdhdcate.com/yyv10/202408/02/iairTCD6tT15/video/index.m3u8
换爱四人行【影视解说】,https://v12.qdhdcate.com/yyv12/202408/02/avSVVSGkc98/video/index.m3u8
黑道与家族【影视解说】,https://v9.qdhdcate.com/yyv9/202408/02/QJj4MAXeVj18/video/index.m3u8
风平浪静【影视解说】,https://v9.qdhdcate.com/yyv9/202408/02/FgJynVtBFH18/video/index.m3u8
金币灰黄【影视解说】,https://v10.qdhdcate.com/yyv10/202408/02/K5DbXiB5Dr15/video/index.m3u8
沐浴之王【影视解说】,https://v5.qdhdcate.com/yyv5/202408/02/FyVTKixPR67/video/index.m3u8
男气管制【影视解说】,https://v10.qdhdcate.com/yyv10/202408/02/4jXQ1qnkv515/video/index.m3u8
够胆你就杀了我【影视解说】,https://v11.qdhdcate.com/yyv11/202408/02/2h4H0vsCYV3/video/index.m3u8
肥龙过江【影视解说】,https://v10.qdhdcate.com/yyv10/202408/02/XdwqVxKRW515/video/index.m3u8
买凶拍人【影视解说】,https://v9.qdhdcate.com/yyv9/202408/02/js62LhCXPp18/video/index.m3u8
黑匣子【影视解说】,https://v5.qdhdcate.com/yyv5/202408/02/UkK2upDUen7/video/index.m3u8
倒霉爱神【影视解说】,https://v9.qdhdcate.com/yyv9/202408/02/XGpEEsC6Q218/video/index.m3u8
沉睡烈犬【影视解说】,https://v11.qdhdcate.com/yyv11/202408/02/LYZLYiQTZT3/video/index.m3u8
倒数救援战【影视解说】,https://v5.qdhdcate.com/yyv5/202408/02/VtyyLuZ11U7/video/index.m3u8
大赢家【影视解说】,https://v9.qdhdcate.com/yyv9/202408/02/qcw34WiJ3T18/video/index.m3u8
超级的我【影视解说】,https://v9.qdhdcate.com/yyv9/202408/02/303prcgn2k18/video/index.m3u8
大内密探灵灵狗【影视解说】,https://v11.qdhdcate.com/yyv11/202408/02/v7YXzYq6X53/video/index.m3u8
成本【影视解说】,https://v10.qdhdcate.com/yyv10/202408/02/iEZpE0N6W815/video/index.m3u8
打开门【影视解说】,https://v9.qdhdcate.com/yyv9/202408/02/sWg9iRbfR618/video/index.m3u8
坏头发【影视解说】,https://v12.qdhdcate.com/yyv12/202408/02/JDwqxxNWpf8/video/index.m3u8
招魂3【影视解说】,https://v10.qdhdcate.com/yyv10/202408/02/ZpjCHuSYst15/video/index.m3u8
爱猫人【影视解说】,https://v11.qdhdcate.com/yyv11/202408/02/ErPWY6fRew3/video/index.m3u8
夜曲【影视解说】,https://v5.qdhdcate.com/yyv5/202408/02/uicUnsn2Rz7/video/index.m3u8
一切为了杰克森【影视解说】,https://v10.qdhdcate.com/yyv10/202408/02/0N9xnVe2Rq15/video/index.m3u8
不夜城【影视解说】,https://v9.qdhdcate.com/yyv9/202408/02/DYAjVZJd6Q18/video/index.m3u8
致命感应【影视解说】,https://v11.qdhdcate.com/yyv11/202408/02/yZBuaJUb7j3/video/index.m3u8
真相背后【影视解说】,https://v11.qdhdcate.com/yyv11/202408/02/k2R0uzqBCT3/video/index.m3u8
127小时【影视解说】,https://v8.qdhdcate.com/yyv8/202408/02/HanM3T5DXp14/video/index.m3u8
爱与怪物【影视解说】,https://v5.qdhdcate.com/yyv5/202408/02/WHcPFcjRn97/video/index.m3u8
文明冲击【影视解说】,https://v9.qdhdcate.com/yyv9/202408/02/6Q7PYXgV3718/video/index.m3u8
血战墓碑镇【影视解说】,https://v8.qdhdcate.com/yyv8/202408/02/7UZ4ra45d114/video/index.m3u8
五音不全【影视解说】,https://v10.qdhdcate.com/yyv10/202408/02/jhUUW3UwR015/video/index.m3u8
邪恶之眼【影视解说】,https://v10.qdhdcate.com/yyv10/202408/02/6a35gTyu7815/video/index.m3u8
童童的风铃密室【影视解说】,https://v11.qdhdcate.com/yyv11/202408/02/wqBs9aWSaC3/video/index.m3u8
亡命30英里【影视解说】,https://v12.qdhdcate.com/yyv12/202408/02/iNn4ZN6qQx8/video/index.m3u8
逃离食人族【影视解说】,https://v9.qdhdcate.com/yyv9/202408/02/pq0xJgHMvd18/video/index.m3u8
索命咒【影视解说】,https://v8.qdhdcate.com/yyv8/202408/02/knjmBXcBLZ14/video/index.m3u8
停尸房收藏【影视解说】,https://v9.qdhdcate.com/yyv9/202408/02/fDcGHf5Ggg18/video/index.m3u8
陷阱：致命的诱惑【影视解说】,https://v10.qdhdcate.com/yyv10/202407/24/6LWyQ2efKN15/video/index.m3u8
越界【影视解说】,https://v9.qdhdcate.com/yyv9/202408/02/seuHWzQAaQ18/video/index.m3u8
老男孩猛龙过江【影视解说】,https://v10.qdhdcate.com/yyv10/202407/25/QLTPcPixxH15/video/index.m3u8
暮光之城4：破晓(上)【影视解说】,https://v10.qdhdcate.com/yyv10/202407/25/m13NHrF10Q15/video/index.m3u8
亮剑：决战鬼哭谷【影视解说】,https://v8.qdhdcate.com/yyv8/202407/25/zxW5tZ9eT714/video/index.m3u8
暮光之城3：月食【影视解说】,https://v9.qdhdcate.com/yyv9/202407/25/4R9V4QbtV018/video/index.m3u8
暮光之城2：新月【影视解说】,https://v8.qdhdcate.com/yyv8/202407/25/adSWefti2014/video/index.m3u8
暮光之城4：破晓(下)【影视解说】,https://v8.qdhdcate.com/yyv8/202407/25/8XqNYEMPJS14/video/index.m3u8
来电狂响【影视解说】,https://v12.qdhdcate.com/yyv12/202407/25/APUJrkinUq8/video/index.m3u8
危险游戏【影视解说】,https://v11.qdhdcate.com/yyv11/202407/24/sGc2xjYbUF3/video/index.m3u8
死魂曲【影视解说】,https://v11.qdhdcate.com/yyv11/202408/01/79vnN6FUTx3/video/index.m3u8
热血青春【影视解说】,https://v10.qdhdcate.com/yyv10/202407/25/kX6KxUDyq815/video/index.m3u8
地狱屋3：鬼火之湖【影视解说】,https://v5.qdhdcate.com/yyv5/202407/31/WnMMiQZnRP7/video/index.m3u8
致命伤痕【影视解说】,https://v10.qdhdcate.com/yyv10/202407/31/myqX7mynT815/video/index.m3u8
英雄主义2【影视解说】,https://v11.qdhdcate.com/yyv11/202407/31/fQENMD7NcD3/video/index.m3u8
致命邻居【影视解说】,https://v9.qdhdcate.com/yyv9/202407/31/XKw44gJUrK18/video/index.m3u8
追踪【影视解说】,https://v11.qdhdcate.com/yyv11/202407/31/FuHAMbSiw63/video/index.m3u8
蜘蛛头【影视解说】,https://v10.qdhdcate.com/yyv10/202407/31/0Vss3mZGDe15/video/index.m3u8
源生罪【影视解说】,https://v10.qdhdcate.com/yyv10/202407/31/FjGPKmegWh15/video/index.m3u8
永安镇故事集【影视解说】,https://v5.qdhdcate.com/yyv5/202407/31/bhd5QAQA7B7/video/index.m3u8
宠物坟场2【影视解说】,https://v12.qdhdcate.com/yyv12/202407/31/wbbs5c6cn18/video/index.m3u8
隐藏杀手【影视解说】,https://v8.qdhdcate.com/yyv8/202407/31/h6319rzHCY14/video/index.m3u8
一级指控【影视解说】,https://v10.qdhdcate.com/yyv10/202407/30/ZVFN9sQ4Mx15/video/index.m3u8
阳光劫匪【影视解说】,https://v9.qdhdcate.com/yyv9/202407/30/DktUuCCDAy18/video/index.m3u8
血腥地狱【影视解说】,https://v12.qdhdcate.com/yyv12/202407/30/cWzwftMFHY8/video/index.m3u8
阴羚【影视解说】,https://v5.qdhdcate.com/yyv5/202407/30/aChZF9upzq7/video/index.m3u8
雪山惊魂3【影视解说】,https://v9.qdhdcate.com/yyv9/202407/30/HxfL0fcB0a18/video/index.m3u8
雪盲【影视解说】,https://v5.qdhdcate.com/yyv5/202407/30/CuG8EbZ4wb7/video/index.m3u8
王牌特工：源起【影视解说】,https://v12.qdhdcate.com/yyv12/202407/30/vV7gciwc0x8/video/index.m3u8
野生狼性【影视解说】,https://v11.qdhdcate.com/yyv11/202407/30/mVqjhMZd143/video/index.m3u8
野性地带【影视解说】,https://v12.qdhdcate.com/yyv12/202407/30/ZCwxTaQ02Z8/video/index.m3u8
威尼斯惊魂夜【影视解说】,https://v10.qdhdcate.com/yyv10/202407/30/J0ewEUvLL015/video/index.m3u8
舞台惊魂【影视解说】,https://v10.qdhdcate.com/yyv10/202407/30/Kg5QURtAVc15/video/index.m3u8
时间裂缝【影视解说】,https://v5.qdhdcate.com/yyv5/202407/30/Fr0D10fwZX7/video/index.m3u8
天地逃生【影视解说】,https://v12.qdhdcate.com/yyv12/202407/30/ED1xT4eRky8/video/index.m3u8
猩红山峰【影视解说】,https://v8.qdhdcate.com/yyv8/202407/30/2cRTsU7xu914/video/index.m3u8
甜蜜的家【影视解说】,https://v10.qdhdcate.com/yyv10/202407/30/qEBhrjFyrP15/video/index.m3u8
雪山惊魂【影视解说】,https://v8.qdhdcate.com/yyv8/202407/30/ubs6M3rXv514/video/index.m3u8
铁道英雄【影视解说】,https://v12.qdhdcate.com/yyv12/202407/30/0vUSfXT4xp8/video/index.m3u8
搜索者【影视解说】,https://v8.qdhdcate.com/yyv8/202407/30/px0jhydLJ814/video/index.m3u8
微笑杀神【影视解说】,https://v11.qdhdcate.com/yyv11/202407/30/aRxb1gfXZp3/video/index.m3u8
我说你做【影视解说】,https://v9.qdhdcate.com/yyv9/202407/30/HeZ1bWsMUz18/video/index.m3u8
闪灵战士【影视解说】,https://v5.qdhdcate.com/yyv5/202407/30/w2zdxrqSJY7/video/index.m3u8
纨绔子弟电影版【影视解说】,https://v8.qdhdcate.com/yyv8/202407/30/13wfBn0mXA14/video/index.m3u8
丧尸未逝【影视解说】,https://v9.qdhdcate.com/yyv9/202407/30/MmX1sAZTn318/video/index.m3u8
人类清除计划5【影视解说】,https://v11.qdhdcate.com/yyv11/202407/30/A8Kkyh5XU23/video/index.m3u8
人类清除计划4【影视解说】,https://v9.qdhdcate.com/yyv9/202407/30/1y9mTWS1md18/video/index.m3u8
透明人2【影视解说】,https://v9.qdhdcate.com/yyv9/202407/30/803zRnmPsM18/video/index.m3u8
入侵隐私【影视解说】,https://v9.qdhdcate.com/yyv9/202407/30/dXaJh0yCi818/video/index.m3u8
失踪的女人【影视解说】,https://v11.qdhdcate.com/yyv11/202407/30/Xajb1gFGtt3/video/index.m3u8
人类清除计划3【影视解说】,https://v11.qdhdcate.com/yyv11/202407/30/K90KrsJJwV3/video/index.m3u8
人狼大战【影视解说】,https://v11.qdhdcate.com/yyv11/202407/30/y6KiyxAeVy3/video/index.m3u8
零号嫌疑犯【影视解说】,https://v10.qdhdcate.com/yyv10/202407/30/06M4MGikii15/video/index.m3u8
人类清除计划【影视解说】,https://v5.qdhdcate.com/yyv5/202407/30/3UTex2d87j7/video/index.m3u8
摩洛克【影视解说】,https://v10.qdhdcate.com/yyv10/202407/30/FkakqWddt515/video/index.m3u8
灵动：鬼影实录4【影视解说】,https://v9.qdhdcate.com/yyv9/202407/30/u03f2vAQLs18/video/index.m3u8
前任3：再见前任【影视解说】,https://v9.qdhdcate.com/yyv9/202407/24/3zee3J8zSj18/video/index.m3u8
猛鬼夜惊魂【影视解说】,https://v5.qdhdcate.com/yyv5/202407/30/mjT1yTjLSF7/video/index.m3u8
摩托骑士【影视解说】,https://v10.qdhdcate.com/yyv10/202407/30/Hs2iwikV7N15/video/index.m3u8
魔域煞星【影视解说】,https://v12.qdhdcate.com/yyv12/202407/30/Pp3Ee6Dj5y8/video/index.m3u8
前任4：英年早婚【影视解说】,https://v12.qdhdcate.com/yyv12/202407/24/wWrY7Ng3VY8/video/index.m3u8
悲伤逆流成河【影视解说】,https://v12.qdhdcate.com/yyv12/202407/25/W23vQR6saU8/video/index.m3u8
