喜剧片,#genre#
痴鸡小队,https://v14.qdhdcate.com/yyv14/202508/18/rKjfUANmZA23/video/index.m3u8
野蛮部队,https://v14.qdhdcate.com/yyv14/202508/18/aHKfU8BkkU24/video/index.m3u8
贪婪的人,https://v14.qdhdcate.com/yyv14/202508/18/iRW7KizXZ923/video/index.m3u8
杀戮南瓜怪,https://v14.qdhdcate.com/yyv14/202508/17/KuKckwC0GS24/video/index.m3u8
三见钟情,https://v14.qdhdcate.com/yyv14/202508/17/L9BkZjjWJp22/video/index.m3u8
奇遇HDTS预览版,https://v14.qdhdcate.com/yyv14/202508/15/5tWLNRSqf720/video/index.m3u8
点心,https://v14.qdhdcate.com/yyv14/202508/16/zWbiiNwJhS21/video/index.m3u8
丧湿,https://v13.qdhdcate.com/yyv13/202508/17/PWMmxKLwjR19/video/index.m3u8
倾听者,https://v13.qdhdcate.com/yyv13/202508/17/yw8ijqekXk23/video/index.m3u8
大哥大,https://v14.qdhdcate.com/yyv14/202508/16/DwK9ypsZcz24/video/index.m3u8
魔法蓝精灵,https://v13.qdhdcate.com/yyv13/202508/15/Qt1NuW2g6h20/video/index.m3u8
蟑螂总动员,https://v14.qdhdcate.com/yyv14/202508/18/LaX2QsxQ4y20/video/index.m3u8
侦探事务所23：去死吧混蛋们！,https://v13.qdhdcate.com/yyv13/202508/15/MASEdyMH7m19/video/index.m3u8
当阳光吻上彩虹,https://v13.qdhdcate.com/yyv13/202508/15/4fNGsSm4tA24/video/index.m3u8
爱丁顿,https://v13.qdhdcate.com/yyv13/202508/13/SxiUh3yq5v19/video/index.m3u8
第二幕,https://v14.qdhdcate.com/yyv14/202508/15/3fYdJHNTvU21/video/index.m3u8
雄狗狗大冒险,https://v14.qdhdcate.com/yyv14/202508/14/ytfjhxmrmx22/video/index.m3u8
你无法选择自己的家人国语,https://v13.qdhdcate.com/yyv13/202508/12/AwQXYpvrrs24/video/index.m3u8
完美无缺,https://v13.qdhdcate.com/yyv13/202508/13/FJGYniKF9e20/video/index.m3u8
喜宴(新版),https://v13.qdhdcate.com/yyv13/202508/14/2A9TfpSEKJ20/video/index.m3u8
你无法选择自己的家人,https://v13.qdhdcate.com/yyv13/202508/12/GcaXhPg4dZ19/video/index.m3u8
莎拉·丝沃曼：生离笑别,https://v14.qdhdcate.com/yyv14/202508/12/sVPUUrfEx621/video/index.m3u8
爱的消失魔咒,https://v14.qdhdcate.com/yyv14/202508/13/eX6YqhrwLE19/video/index.m3u8
妈妈不在家：亲家不计较,https://v13.qdhdcate.com/yyv13/202508/11/F3R45jfJUN21/video/index.m3u8
极品闺蜜2019国语,https://v13.qdhdcate.com/yyv13/202508/11/9fLZMqLAwr23/video/index.m3u8
读书amp;喝酒,https://v14.qdhdcate.com/yyv14/202508/10/QGmXKVtJHi20/video/index.m3u8
新扎师兄追女仔,https://v14.qdhdcate.com/yyv14/202508/08/HN5xcp7aUS21/video/index.m3u8
白头神探：智斗灭世狂人,https://v13.qdhdcate.com/yyv13/202508/08/zWeKvGu4BG19/video/index.m3u8
钟点新娘,https://v14.qdhdcate.com/yyv14/202508/08/rJM124inxd21/video/index.m3u8
黄沙漫天,https://v14.qdhdcate.com/yyv14/202508/11/wCSWNCnfjp24/video/index.m3u8
极品闺蜜2019粤语,https://v13.qdhdcate.com/yyv13/202508/11/dYDrcfJbCn24/video/index.m3u8
银行妙探,https://v13.qdhdcate.com/yyv13/202508/08/hBX0BJR51x24/video/index.m3u8
两个女人2025,https://v14.qdhdcate.com/yyv14/202508/06/Rn8AQDZX9d23/video/index.m3u8
人肉机器：蛊毒,https://v14.qdhdcate.com/yyv14/202508/06/a3fMbhbWTr23/video/index.m3u8
精灵奇缘,https://v14.qdhdcate.com/yyv14/202508/06/UUE4GrdVFD23/video/index.m3u8
戏台,https://v14.qdhdcate.com/yyv14/202508/06/pPJ1MraGiH22/video/index.m3u8
长安的荔枝,https://v13.qdhdcate.com/yyv13/202508/06/Dff7bUeRMp22/video/index.m3u8#第01集$https://v14.qdhdcate.com/yyv14/202506/07/Aeisdw7NXW20/video/index.m3u8#第02集$https://v13.qdhdcate.com/yyv13/202506/07/GSiWtcAJq422/video/index.m3u8#第03集$https://v13.qdhdcate.com/yyv13/202506/07/NHrd1SZjBY24/video/index.m3u8#第04集$https://v13.qdhdcate.com/yyv13/202506/08/UV0EV0rUUg19/video/index.m3u8#第05集$https://v14.qdhdcate.com/yyv14/202506/08/CUQv2NaKVN20/video/index.m3u8#第06集$https://v13.qdhdcate.com/yyv13/202506/08/GGtUcTs7m823/video/index.m3u8#第07集$https://v13.qdhdcate.com/yyv13/202506/09/nkQQB5MpLW19/video/index.m3u8#第08集$https://v14.qdhdcate.com/yyv14/202506/09/LsJ4wAsnct22/video/index.m3u8#第09集$https://v13.qdhdcate.com/yyv13/202506/10/uwNyacVdhS19/video/index.m3u8#第10集$https://v13.qdhdcate.com/yyv13/202506/10/CEw24MKfY521/video/index.m3u8#第11集$https://v14.qdhdcate.com/yyv14/202506/11/hCYUM8yD4C24/video/index.m3u8#第12集$https://v13.qdhdcate.com/yyv13/202506/11/kvg3ZTPKT924/video/index.m3u8#第13集$https://v14.qdhdcate.com/yyv14/202506/12/kvPZT5J0tF22/video/index.m3u8#第14集$https://v13.qdhdcate.com/yyv13/202506/12/zysNzrFF9C20/video/index.m3u8#第15集$https://v14.qdhdcate.com/yyv14/202506/13/W8cfWzRgEr24/video/index.m3u8#第16集$https://v14.qdhdcate.com/yyv14/202506/13/g8pxKX3VZ622/video/index.m3u8#第17集$https://v14.qdhdcate.com/yyv14/202506/14/hkA2c9nxJe23/video/index.m3u8#第18集$https://v14.qdhdcate.com/yyv14/202506/14/qwNMFX2Jby22/video/index.m3u8#第19集$https://v13.qdhdcate.com/yyv13/202506/15/hyqa1san3L23/video/index.m3u8#第20集$https://v14.qdhdcate.com/yyv14/202506/15/1dhVHppHhT22/video/index.m3u8#第21集$https://v13.qdhdcate.com/yyv13/202506/16/rp9ictqxpa20/video/index.m3u8#第22集$https://v14.qdhdcate.com/yyv14/202506/16/LW2T6ehcsP24/video/index.m3u8#第23集$https://v14.qdhdcate.com/yyv14/202506/17/0bLkWBQaSz23/video/index.m3u8#第24集$https://v14.qdhdcate.com/yyv14/202506/17/VBC7SwNhxk22/video/index.m3u8#第25集$https://v13.qdhdcate.com/yyv13/202506/18/gQhguapfQk21/video/index.m3u8#第26集$https://v14.qdhdcate.com/yyv14/202506/18/p3s6V69zhX19/video/index.m3u8#第27集$https://v13.qdhdcate.com/yyv13/202506/19/Bgdpc6p5Mi23/video/index.m3u8#第28集$https://v14.qdhdcate.com/yyv14/202506/19/R3RPm5ewC024/video/index.m3u8#第29集$https://v14.qdhdcate.com/yyv14/202506/20/Ut8XTEwjNB24/video/index.m3u8#第30集$https://v13.qdhdcate.com/yyv13/202506/21/hUtXunhRRL24/video/index.m3u8#第31集$https://v14.qdhdcate.com/yyv14/202506/21/G1wMjAX5ew20/video/index.m3u8#第32集$https://v13.qdhdcate.com/yyv13/202506/21/yBzAdY6Ly321/video/index.m3u8#第33集$https://v13.qdhdcate.com/yyv13/202506/21/MTu9jjNnZ020/video/index.m3u8#第34集$https://v14.qdhdcate.com/yyv14/202506/21/5bmNUSirrq21/video/index.m3u8#第35集$https://v13.qdhdcate.com/yyv13/202506/21/ukzapYX32a24/video/index.m3u8
赤羽骨子的亲卫队,https://v14.qdhdcate.com/yyv14/202508/02/YU42AsR53024/video/index.m3u8
卧底肥妈3：绝地奶爸,https://v13.qdhdcate.com/yyv13/202507/31/xjJTq8BJSF19/video/index.m3u8
疯狂香港富豪,https://v13.qdhdcate.com/yyv13/202508/03/whhHhZS7fu24/video/index.m3u8
意外收获,https://v13.qdhdcate.com/yyv13/202508/06/efi5cvzrT122/video/index.m3u8
我的老婆是大佬2,https://v13.qdhdcate.com/yyv13/202507/31/DwgKH1G0dd23/video/index.m3u8
地狱旅馆,https://v14.qdhdcate.com/yyv14/202508/03/vfwU8Wmy9H22/video/index.m3u8#第01集$https://v14.qdhdcate.com/yyv14/202506/18/rmigLH8gAM21/video/index.m3u8#第02集$https://v14.qdhdcate.com/yyv14/202506/20/0PM4zXpkhC22/video/index.m3u8#第03集$https://v13.qdhdcate.com/yyv13/202506/25/hw9pynDZxa22/video/index.m3u8#第04集$https://v14.qdhdcate.com/yyv14/202507/04/0qHgd9Dv4i19/video/index.m3u8#第05集$https://v13.qdhdcate.com/yyv13/202507/08/99PvfN92AH24/video/index.m3u8#第06集$https://v14.qdhdcate.com/yyv14/202507/16/fvNxbT2KSB24/video/index.m3u8#第07集$https://v13.qdhdcate.com/yyv13/202507/22/a04Vv9wggy19/video/index.m3u8#第08集$https://v14.qdhdcate.com/yyv14/202507/29/hpAzgpjyfZ23/video/index.m3u8
无能为力,https://v13.qdhdcate.com/yyv13/202507/31/DapTvbwUR624/video/index.m3u8
神秘约会,https://v14.qdhdcate.com/yyv14/202507/30/QNPRJHG26x23/video/index.m3u8
卧底肥妈3：绝地奶爸国语,https://v14.qdhdcate.com/yyv14/202507/31/Sd8D3MWhvp23/video/index.m3u8
突然发财,https://v13.qdhdcate.com/yyv13/202507/30/9X0ZzCwgtj20/video/index.m3u8
猛鬼电王,https://v13.qdhdcate.com/yyv13/202507/28/WbdZeuP7gM22/video/index.m3u8
两男一女三逃犯,https://v14.qdhdcate.com/yyv14/202507/28/w8pnrL5q2E22/video/index.m3u8
魔茧,https://v14.qdhdcate.com/yyv14/202507/28/Zf6n5uBnB621/video/index.m3u8
两男一女三逃犯国语,https://v13.qdhdcate.com/yyv13/202507/28/9cNr251kXu19/video/index.m3u8
人间一天,https://v13.qdhdcate.com/yyv13/202507/29/zTXqDZ7c7D23/video/index.m3u8
穆卡德拉特,https://v14.qdhdcate.com/yyv14/202507/28/KWtYpX4yxL22/video/index.m3u8
小魔星,https://v13.qdhdcate.com/yyv13/202507/26/LdPV3nASSE19/video/index.m3u8
追讨者,https://v14.qdhdcate.com/yyv14/202507/26/4rUpt6aKc021/video/index.m3u8
一亲芳泽,https://v13.qdhdcate.com/yyv13/202507/26/F6jwhL7gCb23/video/index.m3u8
新郎向后跑,https://v14.qdhdcate.com/yyv14/202507/26/TrEMFfU1Dx23/video/index.m3u8
窈窕疯人院,https://v13.qdhdcate.com/yyv13/202507/26/M4RZhaVSC324/video/index.m3u8
幽灵一族,https://v13.qdhdcate.com/yyv13/202507/26/EPdeieU9Kp21/video/index.m3u8
冥婚红包,https://v13.qdhdcate.com/yyv13/202506/10/7Z20U3VBZ823/video/index.m3u8#HD$https://v13.qdhdcate.com/yyv13/202507/25/5qi9Ce1gxt21/video/index.m3u8
尼姆岛,https://v13.qdhdcate.com/yyv13/202507/25/0b2DR87pzA22/video/index.m3u8
整九码,https://v14.qdhdcate.com/yyv14/202507/26/TS3wS5SGQC22/video/index.m3u8
小熊成军,https://v14.qdhdcate.com/yyv14/202507/26/d1ZPakcjMB19/video/index.m3u8
这位壮士,https://v13.qdhdcate.com/yyv13/202507/23/KqdXYA6Gjf21/video/index.m3u8
非标准恋爱,https://v14.qdhdcate.com/yyv14/202507/20/Vf2cMS72LW24/video/index.m3u8
低糖国语,https://v13.qdhdcate.com/yyv13/202507/19/3xAFhkfnYg22/video/index.m3u8
物质主义者,https://v14.qdhdcate.com/yyv14/202507/24/cfUVmbSV8J23/video/index.m3u8
巴黎美人鱼,https://v14.qdhdcate.com/yyv14/202507/19/zu0WLBXVGp20/video/index.m3u8
断联,https://v13.qdhdcate.com/yyv13/202507/19/8X4U5eqLHn19/video/index.m3u8
歌声俪影,https://v14.qdhdcate.com/yyv14/202507/22/NhH2HXQSRk22/video/index.m3u8
柏婷娜小姐国语,https://v14.qdhdcate.com/yyv14/202507/19/JxZj5X0cZT19/video/index.m3u8
低糖,https://v14.qdhdcate.com/yyv14/202507/19/CVzFS5emrc23/video/index.m3u8
飞天万能车,https://v14.qdhdcate.com/yyv14/202507/22/kczgfYkuSs20/video/index.m3u8
大鸟和小鸟,https://v14.qdhdcate.com/yyv14/202507/19/AQ1y3A9R2A21/video/index.m3u8
柏婷娜小姐,https://v13.qdhdcate.com/yyv13/202507/19/AHbnGnyZzp20/video/index.m3u8
双面伴娘,https://v14.qdhdcate.com/yyv14/202507/18/EAZ7ZnY7E822/video/index.m3u8
巴塞罗那，夏日黄昏,https://v13.qdhdcate.com/yyv13/202507/16/kSi6GKLKtU22/video/index.m3u8
抱得美人归,https://v14.qdhdcate.com/yyv14/202507/16/SrF4eYptep19/video/index.m3u8
地球上的星星2,https://v13.qdhdcate.com/yyv13/202507/18/k6prar3RjZ19/video/index.m3u8
爱丽舍宫的女大厨,https://v14.qdhdcate.com/yyv14/202507/16/GTEWwahWjq19/video/index.m3u8
爱情与友谊,https://v14.qdhdcate.com/yyv14/202507/16/sn5LwaUbYv19/video/index.m3u8
颤栗时刻,https://v14.qdhdcate.com/yyv14/202507/16/Au3qDv22WY19/video/index.m3u8
凹凸双雄,https://v13.qdhdcate.com/yyv13/202507/12/U9MA0hg4VJ22/video/index.m3u8
烈焰豪拳,https://v13.qdhdcate.com/yyv13/202507/07/gdxhUsnffe19/video/index.m3u8
绑架公司,https://v13.qdhdcate.com/yyv13/202507/06/8wPbYsf1ye20/video/index.m3u8
精灵鬼,https://v13.qdhdcate.com/yyv13/202507/06/CUzrieBB8R20/video/index.m3u8
分秒不差,https://v14.qdhdcate.com/yyv14/202507/06/DaH9Sdg3Rs19/video/index.m3u8
梦幻飞船,https://v13.qdhdcate.com/yyv13/202507/05/YEdfD1EnLp20/video/index.m3u8
我，我自己和虚空,https://v14.qdhdcate.com/yyv14/202507/06/BETqbB33AX21/video/index.m3u8
丧尸狂潮,https://v13.qdhdcate.com/yyv13/202507/01/SQtnMiP41j21/video/index.m3u8
影评人：恶魔片场历险记,https://v14.qdhdcate.com/yyv14/202507/03/gaWAYyMaYq23/video/index.m3u8
丑态百出,https://v13.qdhdcate.com/yyv13/202507/05/9WryE385Hj22/video/index.m3u8
惊恐超能力,https://v13.qdhdcate.com/yyv13/202507/01/njm2E2CQXP20/video/index.m3u8
速度超越激情,https://v14.qdhdcate.com/yyv14/202506/30/hWB7amUTJG21/video/index.m3u8
非常交易,https://v13.qdhdcate.com/yyv13/202506/21/XgPrSaWnPS20/video/index.m3u8
我为毛毛虫停车,https://v14.qdhdcate.com/yyv14/202507/01/pxWXv0Ker921/video/index.m3u8
四个母亲,https://v14.qdhdcate.com/yyv14/202506/21/v3kuHyxzeE23/video/index.m3u8
不寻常的战场,https://v14.qdhdcate.com/yyv14/202506/19/yYRkv5D7u120/video/index.m3u8
父亲只有一个 4,https://v14.qdhdcate.com/yyv14/202506/19/Zqkb4CDJXK21/video/index.m3u8
圣哥传电影版～圣人VS恶魔军团～,https://v13.qdhdcate.com/yyv13/202506/19/y2zdngXd5Z19/video/index.m3u8
午夜姐妹,https://v13.qdhdcate.com/yyv13/202506/19/nVM6Y7qvN721/video/index.m3u8
彼生时刻,https://v14.qdhdcate.com/yyv14/202507/05/NGBiMsQfzT24/video/index.m3u8
即兴卧底,https://v13.qdhdcate.com/yyv13/202506/14/t5TvPeSmx721/video/index.m3u8
干脆杀了他算了,https://v14.qdhdcate.com/yyv14/202506/14/tjdfsfBVjU22/video/index.m3u8
邻人友谊,https://v13.qdhdcate.com/yyv13/202506/14/VBbyBT1u7E20/video/index.m3u8
裁缝的抉择,https://v14.qdhdcate.com/yyv14/202506/14/qimU9q09wF23/video/index.m3u8
Horia,https://v13.qdhdcate.com/yyv13/202506/11/6cRDcMPfAK24/video/index.m3u8
罗宾汉2025,https://v13.qdhdcate.com/yyv13/202506/14/BcbWc3vhyK23/video/index.m3u8
冲·撞,https://v14.qdhdcate.com/yyv14/202506/11/tNYN2EtUAU19/video/index.m3u8
Airplane2025,https://v14.qdhdcate.com/yyv14/202506/11/xv067z2RZX23/video/index.m3u8
我的野蛮同学粤语,https://v14.qdhdcate.com/yyv14/202506/02/wBJwMHXx9E24/video/index.m3u8
抓住她们,https://v13.qdhdcate.com/yyv13/202505/31/UdGQnhMz7V19/video/index.m3u8
新·驯龙高手,https://v13.qdhdcate.com/yyv13/202506/10/Vyt5ysD5z523/video/index.m3u8
来拍怪兽电影吧！,https://v13.qdhdcate.com/yyv13/202505/31/0d1kTwEDQr22/video/index.m3u8
盲人假期,https://v13.qdhdcate.com/yyv13/202505/29/ydh0uh2FMr22/video/index.m3u8
循环星期一,https://v4.qdhdcate.com/yyv4/202505/27/sJPgdEdQ6f22/video/index.m3u8
冲锋陷阵粤语,https://v13.qdhdcate.com/yyv13/202505/28/fpZ2AE2utS19/video/index.m3u8
室井慎次不败之人,https://v6.qdhdcate.com/yyv6/202505/20/JTwXJtXvZA24/video/index.m3u8
卧底巨星粤语,https://v6.qdhdcate.com/yyv6/202505/25/mFZU6zZhx023/video/index.m3u8
星际宝贝史迪奇,https://v4.qdhdcate.com/yyv4/202505/23/ZhRBb6maEc24/video/index.m3u8
速度有激情,https://v5.qdhdcate.com/yyv5/202505/20/YrrfbAAM7w20/video/index.m3u8
未请自来,https://v5.qdhdcate.com/yyv5/202505/20/4di6qL3Btk24/video/index.m3u8
这个夏天有异性粤语,https://v4.qdhdcate.com/yyv4/202505/25/YxLZTPm04E19/video/index.m3u8
三人世界粤语,https://v6.qdhdcate.com/yyv6/202505/04/2N4taSpdFx20/video/index.m3u8
特警新人类国语,https://v6.qdhdcate.com/yyv6/202505/10/fc0b0we6gH21/video/index.m3u8
双子神偷粤语,https://v5.qdhdcate.com/yyv5/202505/12/UGPjc0aRaL23/video/index.m3u8
三对鸳鸯一张床国语,https://v6.qdhdcate.com/yyv6/202505/04/0NNFPdF8Kv19/video/index.m3u8
见习黑玫瑰粤语,https://v4.qdhdcate.com/yyv4/202505/12/59581STRBu24/video/index.m3u8
特警新人类粤语,https://v6.qdhdcate.com/yyv6/202505/10/fLDaaKeHL620/video/index.m3u8
69式夏天,https://v6.qdhdcate.com/yyv6/202505/11/ZDjT45a0b723/video/index.m3u8
根本停不下来,https://v6.qdhdcate.com/yyv6/202505/11/CXgertNr4M24/video/index.m3u8
关只熊什么事,https://v5.qdhdcate.com/yyv5/202505/12/Pu4khCKWj520/video/index.m3u8
印度好男孩,https://v6.qdhdcate.com/yyv6/202505/11/iSQJkmsg5M23/video/index.m3u8
三人做世界粤语,https://v5.qdhdcate.com/yyv5/202505/04/eEVJD8YzWD22/video/index.m3u8
人吓人国语,https://v6.qdhdcate.com/yyv6/202505/04/fC9vWd8rPS24/video/index.m3u8
三人新世界国语,https://v4.qdhdcate.com/yyv4/202505/04/QqCrvhc39A24/video/index.m3u8
三人新世界粤语,https://v4.qdhdcate.com/yyv4/202505/04/Kczpykc2mS19/video/index.m3u8
上天救命国语,https://v5.qdhdcate.com/yyv5/202505/04/CzgYuPKrtD19/video/index.m3u8
上天救命粤语,https://v4.qdhdcate.com/yyv4/202505/04/dQCKDiCm3V21/video/index.m3u8
瓦利斯岛的歌谣,https://v6.qdhdcate.com/yyv6/202505/09/MttFKC7dXb21/video/index.m3u8
人吓人粤语,https://v4.qdhdcate.com/yyv4/202505/04/Lzc5NTyhM423/video/index.m3u8
射雕英雄传之东成西就粤语2,https://v6.qdhdcate.com/yyv6/202505/08/9YXP7hHHH422/video/index.m3u8
三人做世界国语,https://v5.qdhdcate.com/yyv5/202505/04/AfLuUWw6Si20/video/index.m3u8
半斤百两,https://v6.qdhdcate.com/yyv6/202505/05/Sr9p6bmzms24/video/index.m3u8
烂戏真情,https://v5.qdhdcate.com/yyv5/202505/03/uwNr4vACpm22/video/index.m3u8
脂粉双雄粤语,https://v4.qdhdcate.com/yyv4/202505/07/rpUTh2htcg19/video/index.m3u8
超级望望,https://v6.qdhdcate.com/yyv6/202505/07/5dr59JwkJS21/video/index.m3u8
成年人的友谊,https://v5.qdhdcate.com/yyv5/202505/03/sL3FUuzzYk23/video/index.m3u8
九个女仔一只鬼粤语,https://v6.qdhdcate.com/yyv6/202505/05/p1jngWJuq220/video/index.m3u8
泣船威利,https://v6.qdhdcate.com/yyv6/202505/03/s2DdhCqFrm20/video/index.m3u8
“爸”气外露,https://v6.qdhdcate.com/yyv6/202504/30/EgULEwqbLR24/video/index.m3u8
唐探1900,https://v3.qdhdcate.com/yyv3/202501/30/y7CnTn0V6b21/video/index.m3u8#HD$https://v6.qdhdcate.com/yyv6/202504/30/Lnzd1VsEkL20/video/index.m3u8
再帮个小忙,https://v6.qdhdcate.com/yyv6/202505/02/44nLNg6yK319/video/index.m3u8
陈翔六点半之疯狂代号,https://v6.qdhdcate.com/yyv6/202504/25/AmJBWMgcxY22/video/index.m3u8
黄飞鸿之铁鸡斗蜈蚣粤语,https://v4.qdhdcate.com/yyv4/202504/05/MyCHCbPg1R21/video/index.m3u8
玩命夏日,https://v4.qdhdcate.com/yyv4/202504/23/4bBBfLVUkV21/video/index.m3u8
流氓驱魔师,https://v6.qdhdcate.com/yyv6/202504/27/87GYZ5EsgV21/video/index.m3u8
导演你有病,https://v5.qdhdcate.com/yyv5/202504/23/YrEQHbffee23/video/index.m3u8
无面俾粤语,https://v4.qdhdcate.com/yyv4/202504/24/pXJBGe7R3h22/video/index.m3u8
黑心鬼粤语,https://v5.qdhdcate.com/yyv5/202504/10/XcKdJBcJDU19/video/index.m3u8
一个决定写连环杀手的作家的浅薄故事,https://v4.qdhdcate.com/yyv4/202504/23/MsnPErVaxS24/video/index.m3u8
绰号,https://v4.qdhdcate.com/yyv4/202504/29/J1E8ZVyVEx20/video/index.m3u8
黑心鬼国语,https://v4.qdhdcate.com/yyv4/202504/10/RjcxBcgbvd20/video/index.m3u8
花田喜事粤语,https://v6.qdhdcate.com/yyv6/202504/10/hhCxuQvgKN21/video/index.m3u8
阖家辣国语,https://v6.qdhdcate.com/yyv6/202504/10/b1ZBbUKMS023/video/index.m3u8
铁板烧粤语,https://v4.qdhdcate.com/yyv4/202504/06/Ff9tGggVDE24/video/index.m3u8
花田喜事国语,https://v6.qdhdcate.com/yyv6/202504/10/2pfDAbt2kL22/video/index.m3u8
阖家辣粤语,https://v6.qdhdcate.com/yyv6/202504/10/P70ADVxgTq21/video/index.m3u8
鹿鼎记粤语,https://v6.qdhdcate.com/yyv6/202504/06/UBk4FAWJTN23/video/index.m3u8
乌龙大家庭粤语,https://v4.qdhdcate.com/yyv4/202504/12/ZpuSyVk6S523/video/index.m3u8
流氓医生粤语,https://v6.qdhdcate.com/yyv6/202504/11/je5Yg6F73Y23/video/index.m3u8
情迷大话王粤语,https://v6.qdhdcate.com/yyv6/202504/13/rPqDa8i9zr19/video/index.m3u8
还是觉得你最好2粤语,https://v5.qdhdcate.com/yyv5/202504/10/ysUXebS5X921/video/index.m3u8
爸不得找到你,https://v5.qdhdcate.com/yyv5/202504/13/rx8jhcFafL24/video/index.m3u8
马勒冈的超级男孩,https://v6.qdhdcate.com/yyv6/202504/13/McfGrPbNzU24/video/index.m3u8
维拉和其他人的快乐,https://v5.qdhdcate.com/yyv5/202504/13/2GWAB4qxkY21/video/index.m3u8
无痛凯恩,https://v6.qdhdcate.com/yyv6/202504/10/x4jjeuhEsK21/video/index.m3u8
最佳损友闯情关粤语,https://v4.qdhdcate.com/yyv4/202504/06/8LZYMt39Yu20/video/index.m3u8
不要问我从哪里来,https://v4.qdhdcate.com/yyv4/202503/26/VCjQXTEKKE20/video/index.m3u8
