动作片,#genre#
奥密克戎杀手,https://v13.qdhdcate.com/yyv13/202508/25/UuRkavCasc23/video/index.m3u8
肮脏游戏,https://v14.qdhdcate.com/yyv14/202508/22/vEGHaKX5Lx20/video/index.m3u8
温泉鲨,https://v13.qdhdcate.com/yyv13/202508/22/srnG5S3edc23/video/index.m3u8
回路战场,https://v13.qdhdcate.com/yyv13/202508/22/RkWFBLBZnf24/video/index.m3u8
假面骑士TheNext,https://v14.qdhdcate.com/yyv14/202508/22/yRAW2MWuwW21/video/index.m3u8
F1：狂飙飞车,https://v14.qdhdcate.com/yyv14/202507/18/rEyC4M3Fvj23/video/index.m3u8#动作片$https://v14.qdhdcate.com/yyv14/202508/21/SAM40VBaK422/video/index.m3u8
假面骑士1号,https://v14.qdhdcate.com/yyv14/202508/22/WnYbL7aKCb24/video/index.m3u8
浪漫暴力,https://v14.qdhdcate.com/yyv14/202508/19/cDRHfkXd4020/video/index.m3u8
亚美利加纳2023,https://v14.qdhdcate.com/yyv14/202508/20/ZJs6ymD3tD23/video/index.m3u8
碟中谍8：最终清算,https://v5.qdhdcate.com/yyv5/202505/23/9CXYrcX3Vg21/video/index.m3u8#HD$https://v13.qdhdcate.com/yyv13/202508/18/cfSmHwASdU23/video/index.m3u8
ByAnyName,https://v14.qdhdcate.com/yyv14/202508/19/F5eNx87T2P22/video/index.m3u8
时光遗忘之地,https://v13.qdhdcate.com/yyv13/202508/17/prjBbMLMuG22/video/index.m3u8
午时三刻,https://v13.qdhdcate.com/yyv13/202508/14/KKBJgPDPCG19/video/index.m3u8
超人,https://v10.qdhdcate.com/yyv10/202408/19/RSq4wbvk6q15/video/index.m3u8#中字$https://v13.qdhdcate.com/yyv13/202508/15/sxXK1MrNNp19/video/index.m3u8
巨鲨浪潮,https://v14.qdhdcate.com/yyv14/202508/15/XYfnAVzUc620/video/index.m3u8
侠胆医心之危机重重,https://v13.qdhdcate.com/yyv13/202508/14/zzx7wBpLaR19/video/index.m3u8
杀婴者,https://v14.qdhdcate.com/yyv14/202508/13/pWZwkGCrbs20/video/index.m3u8
明日时代,https://v13.qdhdcate.com/yyv13/202508/12/fKi2v5DWNM20/video/index.m3u8
暗杀1932,https://v13.qdhdcate.com/yyv13/202508/13/8xB5Nt4pUU20/video/index.m3u8
怒火营救,https://v13.qdhdcate.com/yyv13/202508/12/Y6nZ2mucgL22/video/index.m3u8
录刀人,https://v14.qdhdcate.com/yyv14/202508/11/SqAgmq22fU23/video/index.m3u8
生死剑侠,https://v14.qdhdcate.com/yyv14/202508/12/rQ7QK5jkaR24/video/index.m3u8
生死危机,https://v14.qdhdcate.com/yyv14/202508/21/7cVrbckWW322/video/index.m3u8
楚幽秘境,https://v14.qdhdcate.com/yyv14/202508/08/t9UyNGGQEi19/video/index.m3u8
地狱男爵：歪曲人,https://v14.qdhdcate.com/yyv14/202508/09/njXLk00REc19/video/index.m3u8
神奇4侠：初露锋芒,https://v13.qdhdcate.com/yyv13/202507/26/Yksxr76dbr23/video/index.m3u8#HD$https://v13.qdhdcate.com/yyv13/202508/11/jk1wTHia2D23/video/index.m3u8
空白记忆,https://v14.qdhdcate.com/yyv14/202508/06/eBkuymLAXB21/video/index.m3u8
侏罗纪世界：重生,https://v14.qdhdcate.com/yyv14/202507/05/nttE8KzDDQ22/video/index.m3u8#HD$https://v13.qdhdcate.com/yyv13/202508/05/Fk0Xdhu1KJ20/video/index.m3u8
盲水,https://v14.qdhdcate.com/yyv14/202508/06/3CPL5SfQ1z22/video/index.m3u8
女王神剑2025,https://v14.qdhdcate.com/yyv14/202508/06/RGYjBQAkP624/video/index.m3u8
冲撞,https://v13.qdhdcate.com/yyv13/202508/02/Kb8kzrDZbv19/video/index.m3u8
疯狂的佛牌,https://v14.qdhdcate.com/yyv14/202508/06/Ns8mtQ86MB21/video/index.m3u8
最后的快枪手,https://v14.qdhdcate.com/yyv14/202508/06/5PfPbxJKuF22/video/index.m3u8
鬼追人3,https://v13.qdhdcate.com/yyv13/202508/03/TD6eHnvkmW23/video/index.m3u8
麻烦人,https://v14.qdhdcate.com/yyv14/202508/06/bvvsASUGAe22/video/index.m3u8
恶痕,https://v13.qdhdcate.com/yyv13/202508/06/ZaH89apDSZ21/video/index.m3u8
鬼计双雄,https://v14.qdhdcate.com/yyv14/202508/03/nLLF5uFBn621/video/index.m3u8
外星人启示录,https://v14.qdhdcate.com/yyv14/202507/31/TrPNNJedhJ19/video/index.m3u8
死亡扳机,https://v13.qdhdcate.com/yyv13/202507/30/3Hxg6KX2ss23/video/index.m3u8
山寨大黄蜂,https://v14.qdhdcate.com/yyv14/202507/30/Vpmwe8Buwe24/video/index.m3u8
逆岭,https://v13.qdhdcate.com/yyv13/202507/29/UZVvu2U9v322/video/index.m3u8
战车,https://v13.qdhdcate.com/yyv13/202507/26/5Ci5s9xaab19/video/index.m3u8
美国正在下沉,https://v14.qdhdcate.com/yyv14/202507/28/BKbfaXCByD20/video/index.m3u8
亡命大捕头,https://v14.qdhdcate.com/yyv14/202507/26/xeG80sQPDL19/video/index.m3u8
天才除草人,https://v13.qdhdcate.com/yyv13/202507/26/6z6sNq3EK021/video/index.m3u8
网络惊魂,https://v14.qdhdcate.com/yyv14/202507/26/mXzjtrQNnC23/video/index.m3u8
现代黑社会：杀手与太,https://v13.qdhdcate.com/yyv13/202507/26/KiiZA3Cz4Y20/video/index.m3u8
德瓦：恶警再临,https://v14.qdhdcate.com/yyv14/202507/19/qSn7YawtFc21/video/index.m3u8
太空杀路,https://v14.qdhdcate.com/yyv14/202507/26/DbVVBr8u1520/video/index.m3u8
暗夜守护者,https://v13.qdhdcate.com/yyv13/202507/19/87KNfzuLSQ23/video/index.m3u8
镇上的新暴徒,https://v13.qdhdcate.com/yyv13/202507/06/89EBk9fYYh19/video/index.m3u8
白雪公主与七武士,https://v14.qdhdcate.com/yyv14/202507/19/um8HjPtRyy19/video/index.m3u8
拳途救赎,https://v13.qdhdcate.com/yyv13/202507/07/sKtzTW9S2Q21/video/index.m3u8
赴汤蹈火2025,https://v13.qdhdcate.com/yyv13/202507/11/VM9nLfF5P522/video/index.m3u8
猎狐·行动,https://v13.qdhdcate.com/yyv13/202507/11/JfcD2L8TrQ19/video/index.m3u8
反抗者罗宾汉,https://v13.qdhdcate.com/yyv13/202507/22/w779Li3eTZ23/video/index.m3u8
红丝行动,https://v13.qdhdcate.com/yyv13/202507/06/7S8PRANUCe20/video/index.m3u8
疾速追杀：芭蕾杀姬,https://v14.qdhdcate.com/yyv14/202506/10/NaDv02j8Kc20/video/index.m3u8#HD$https://v14.qdhdcate.com/yyv14/202507/02/8PdELzSXdb19/video/index.m3u8
冰路营救2,https://v14.qdhdcate.com/yyv14/202507/02/mRfVuCKXki22/video/index.m3u8
插翅难逃2025,https://v14.qdhdcate.com/yyv14/202507/05/3L86zyW4M823/video/index.m3u8
国家元首,https://v13.qdhdcate.com/yyv13/202507/02/iFTzskpAMZ24/video/index.m3u8
大侦探福尔摩斯,https://v1.qdhdcate.com/yyv1/202308/19/A0GFAAayXz2/video/index.m3u8#HD$https://v14.qdhdcate.com/yyv14/202506/22/t8kE02q0JX19/video/index.m3u8
逆战粤语,https://v13.qdhdcate.com/yyv13/202506/26/RUWyRYFwLn23/video/index.m3u8
永生守卫2,https://v13.qdhdcate.com/yyv13/202507/02/9WHJ7wickE19/video/index.m3u8
腓尼基计划,https://v13.qdhdcate.com/yyv13/202506/24/JuvLSFyt1E23/video/index.m3u8
室町无赖,https://v13.qdhdcate.com/yyv13/202506/24/ci32ayQDbx20/video/index.m3u8
雷霆特攻队,https://v14.qdhdcate.com/yyv14/202507/01/cJajv6gW8A24/video/index.m3u8
最后的小屋,https://v14.qdhdcate.com/yyv14/202506/19/S01eryWD9222/video/index.m3u8
扫毒风暴,https://v13.qdhdcate.com/yyv13/202506/10/FmaGvWtgYy24/video/index.m3u8
六天2025,https://v14.qdhdcate.com/yyv14/202506/19/hDZHubABAQ19/video/index.m3u8
破果,https://v13.qdhdcate.com/yyv13/202506/14/27V5TjR7PF23/video/index.m3u8
绝对自治权,https://v14.qdhdcate.com/yyv14/202506/19/26bGpzZcDE24/video/index.m3u8
坚守阵地,https://v14.qdhdcate.com/yyv14/202506/14/dU2n1JAUqN23/video/index.m3u8
谍网追凶,https://v14.qdhdcate.com/yyv14/202506/10/67x4mZKthZ19/video/index.m3u8
极寒潜袭,https://v14.qdhdcate.com/yyv14/202506/19/UZJzEfYZJ623/video/index.m3u8
暴力苏醒,https://v13.qdhdcate.com/yyv13/202506/11/brSiswLTHU24/video/index.m3u8
迪亚波罗的复仇,https://v13.qdhdcate.com/yyv13/202506/14/aeH4YPapxz21/video/index.m3u8
枪王之王粤语,https://v13.qdhdcate.com/yyv13/202506/07/eJGrQ1Ap7Z22/video/index.m3u8
救赎一击,https://v13.qdhdcate.com/yyv13/202506/06/sqTJSLqBSe19/video/index.m3u8
冲锋陷阵,https://v1.qdhdcate.com/yyv1/202308/19/zCrfG2raUn2/video/index.m3u8#HD$https://v13.qdhdcate.com/yyv13/202505/28/KCccFXbYVP24/video/index.m3u8
无敌贾特,https://v13.qdhdcate.com/yyv13/202506/06/Q87pNNK3qu22/video/index.m3u8
幽冥部队,https://v14.qdhdcate.com/yyv14/202506/03/Y08vvCS8Ks19/video/index.m3u8
花旗少林国语,https://v6.qdhdcate.com/yyv6/202505/23/r7VzgfMLxH23/video/index.m3u8
超乎常人2025,https://v6.qdhdcate.com/yyv6/202505/20/hMn89JJ64p23/video/index.m3u8
蓝魔,https://v4.qdhdcate.com/yyv4/202505/20/KUQMvQJ27n19/video/index.m3u8
花旗少林粤语,https://v5.qdhdcate.com/yyv5/202505/23/k61t61YFBi23/video/index.m3u8
谋杀干预组3,https://v13.qdhdcate.com/yyv13/202505/31/cYva4KzXtk23/video/index.m3u8
三德和尚与舂米六粤语,https://v4.qdhdcate.com/yyv4/202505/04/nYj4PLReKX19/video/index.m3u8
阿炯：维贾扬蒂之子,https://v5.qdhdcate.com/yyv5/202505/20/Z5xvyHJvJY22/video/index.m3u8
雪中血刀行,https://v4.qdhdcate.com/yyv4/202505/20/EiChZNp48q23/video/index.m3u8
种子,https://v5.qdhdcate.com/yyv5/202505/09/qdQL265Sfi22/video/index.m3u8
蛇女2025,https://v5.qdhdcate.com/yyv5/202505/09/ShhKrbXd2V19/video/index.m3u8
善恶边缘：暗黑交锋,https://v5.qdhdcate.com/yyv5/202505/09/yWCRZ6jC7619/video/index.m3u8
蚁型危机,https://v6.qdhdcate.com/yyv6/202505/16/JQ9YfntkvL23/video/index.m3u8
三德和尚与舂米六国语,https://v4.qdhdcate.com/yyv4/202505/04/0bEXF2iskY22/video/index.m3u8
三闯少林粤语,https://v4.qdhdcate.com/yyv4/202505/04/LdhVqkn5hg23/video/index.m3u8
铁驭神兵,https://v5.qdhdcate.com/yyv5/202505/09/bDY6HNxSwy23/video/index.m3u8
矛盾效应,https://v5.qdhdcate.com/yyv5/202504/30/ihEbBAwGpC20/video/index.m3u8
命悬一枪,https://v4.qdhdcate.com/yyv4/202505/03/sd4JKRRfkE22/video/index.m3u8
终极武装,https://v6.qdhdcate.com/yyv6/202504/30/htW0aHBK5y24/video/index.m3u8
蛇岛求生,https://v5.qdhdcate.com/yyv5/202505/07/s6qUh5hSMz19/video/index.m3u8
斗破苍穹4：逃亡,https://v4.qdhdcate.com/yyv4/202504/26/usaaaWjp8Z20/video/index.m3u8
盲杀,https://v6.qdhdcate.com/yyv6/202504/29/0sCc4Siscj21/video/index.m3u8
轰天皇家将国语,https://v6.qdhdcate.com/yyv6/202504/10/h44BLKZQTi23/video/index.m3u8
清算日2025,https://v4.qdhdcate.com/yyv4/202504/30/YyFhiqyJN019/video/index.m3u8
画皮之阴阳法王粤语,https://v6.qdhdcate.com/yyv6/202504/10/A0cTm39Q0g19/video/index.m3u8
新干线惊爆倒数,https://v6.qdhdcate.com/yyv6/202504/23/D0Y18URBSR20/video/index.m3u8
枪手2025,https://v5.qdhdcate.com/yyv5/202504/13/ZEmJr90jhj20/video/index.m3u8
轰天皇家将粤语,https://v4.qdhdcate.com/yyv4/202504/10/SLUmLm2w5124/video/index.m3u8
铁血骑警国语,https://v5.qdhdcate.com/yyv5/202504/06/zwZf2SKatj23/video/index.m3u8
铁血骑警粤语,https://v4.qdhdcate.com/yyv4/202504/06/6FpaiQtNLn23/video/index.m3u8
甜蜜之家：重生,https://v5.qdhdcate.com/yyv5/202504/13/tgCNaC1dXq23/video/index.m3u8
魔警粤语,https://v4.qdhdcate.com/yyv4/202504/06/XFNsjxdGEU19/video/index.m3u8
魔警国语,https://v6.qdhdcate.com/yyv6/202504/06/ZYn3mvK93p23/video/index.m3u8
黄飞鸿之西域雄狮粤语,https://v6.qdhdcate.com/yyv6/202504/10/cVWHfCmc8w23/video/index.m3u8
力王国语,https://v5.qdhdcate.com/yyv5/202504/06/F3ekiKRPGV23/video/index.m3u8
G20峰会,https://v4.qdhdcate.com/yyv4/202504/10/WSXjRxSf5c24/video/index.m3u8
百家拳之跤神佟忠义,https://v4.qdhdcate.com/yyv4/202503/26/FJ6KxGi0j321/video/index.m3u8
绣衣使·西汉迷案,https://v4.qdhdcate.com/yyv4/202504/10/8SCR4yQkrk24/video/index.m3u8
卫斯理传奇国语,https://v5.qdhdcate.com/yyv5/202504/06/v2939DybVa24/video/index.m3u8
卫斯理传奇粤语,https://v5.qdhdcate.com/yyv5/202504/06/QcFjGbfUr322/video/index.m3u8
尖峰对决,https://v5.qdhdcate.com/yyv5/202504/06/J0ea58eEVv20/video/index.m3u8
火线追凶2之夺命书院,https://v2.qdhdcate.com/yyv2/202503/26/PPEcwGdkb321/video/index.m3u8
东方三侠国语,https://v4.qdhdcate.com/yyv4/202504/04/ZEAjHHrFE223/video/index.m3u8
东方三侠粤语,https://v4.qdhdcate.com/yyv4/202504/04/BZFysMZpz924/video/index.m3u8
制暴：无限杀机,https://v6.qdhdcate.com/yyv6/202504/03/RZM6jdJTGr21/video/index.m3u8#HD$https://v6.qdhdcate.com/yyv6/202504/05/EaCs4TCPbC22/video/index.m3u8
在失落之地,https://v6.qdhdcate.com/yyv6/202504/08/0ifiMyRL0j19/video/index.m3u8
9413粤语,https://v6.qdhdcate.com/yyv6/202504/02/BiBDbGs94a19/video/index.m3u8
精武风云·陈真国语,https://v6.qdhdcate.com/yyv6/202504/03/38n9QJ92b324/video/index.m3u8
变节：潜罪犯粤语,https://v6.qdhdcate.com/yyv6/202504/04/4yzgz13civ19/video/index.m3u8
劫车王,https://v6.qdhdcate.com/yyv6/202503/31/EeQEy4TTNN20/video/index.m3u8
9413国语,https://v5.qdhdcate.com/yyv5/202504/02/ijppY3prap23/video/index.m3u8
大脚印,https://v3.qdhdcate.com/yyv3/202503/26/xws93MisBg21/video/index.m3u8
魑魅魍魉2024,https://v5.qdhdcate.com/yyv5/202503/31/dDRnUcbpUu19/video/index.m3u8
精武风云·陈真粤语,https://v6.qdhdcate.com/yyv6/202504/03/esQrNMjgGX23/video/index.m3u8
变节：潜罪犯国语,https://v5.qdhdcate.com/yyv5/202504/04/rpKGt0pndr20/video/index.m3u8
KA,https://v5.qdhdcate.com/yyv5/202504/01/41EkwAUdSN23/video/index.m3u8
忠义侠女,https://v3.qdhdcate.com/yyv3/202503/26/yP0riDs7Wy21/video/index.m3u8
德瓦,https://v3.qdhdcate.com/yyv3/202503/29/b8KLrvdMzx22/video/index.m3u8
惊天大营救,https://v2.qdhdcate.com/yyv2/202503/26/nu8aVxAc9b21/video/index.m3u8
野蛮特工,https://v6.qdhdcate.com/yyv6/202503/28/tRkKpDkLgw24/video/index.m3u8
婴儿入侵,https://v6.qdhdcate.com/yyv6/202503/28/cukazbetLP20/video/index.m3u8
武替道,https://v4.qdhdcate.com/yyv4/202503/24/6F16d8gzHn19/video/index.m3u8
战毒,https://v6.qdhdcate.com/yyv6/202503/12/EiEM6a9YtH20/video/index.m3u8
证明,https://v3.qdhdcate.com/yyv3/202503/12/zYnNcJaahm21/video/index.m3u8
西游降魔篇之快活城,https://v3.qdhdcate.com/yyv3/202503/22/E7iecNyyfc22/video/index.m3u8
罪恶清除工,https://v6.qdhdcate.com/yyv6/202503/22/BkagjN5Rh322/video/index.m3u8
豹子头林冲,https://v5.qdhdcate.com/yyv5/202503/08/uPDXUJGHFv23/video/index.m3u8
套现2：大赌客,https://v5.qdhdcate.com/yyv5/202503/15/GT0g7NJDzm22/video/index.m3u8
伴郎2025,https://v3.qdhdcate.com/yyv3/202503/15/V2mXsvPbfr23/video/index.m3u8
法特赫,https://v3.qdhdcate.com/yyv3/202503/14/twLcGZ2gzp24/video/index.m3u8
杀人蜂入侵,https://v6.qdhdcate.com/yyv6/202503/12/u6KT3DT0p920/video/index.m3u8
南北雄狮,https://v4.qdhdcate.com/yyv4/202503/12/T6AYZRRF7e21/video/index.m3u8
断层线,https://v4.qdhdcate.com/yyv4/202503/14/r0usMyh61D21/video/index.m3u8
回声8号,https://v2.qdhdcate.com/yyv2/202503/14/mRYXzpRAG919/video/index.m3u8
美式尖叫,https://v3.qdhdcate.com/yyv3/202503/15/57AfEZ9KB319/video/index.m3u8
身份,https://v6.qdhdcate.com/yyv6/202503/19/A5DrtY5cvg24/video/index.m3u8
八仙传之曹国舅鸣冤,https://v2.qdhdcate.com/yyv2/202503/12/3mj4ffFBLN23/video/index.m3u8
极限惊魂夜,https://v5.qdhdcate.com/yyv5/202503/12/GDXtrZ8Ckh20/video/index.m3u8
船长,https://v6.qdhdcate.com/yyv6/202503/12/2WsrzEVtnW20/video/index.m3u8
九州千秋令,https://v6.qdhdcate.com/yyv6/202503/07/PMn48RhEZx19/video/index.m3u8
大漠孤侠2025,https://v2.qdhdcate.com/yyv2/202503/09/uuDRhRAm3Z23/video/index.m3u8
坚毅奇兵,https://v3.qdhdcate.com/yyv3/202503/06/mSm6qhjWnk21/video/index.m3u8
猎豹行动,https://v6.qdhdcate.com/yyv6/202502/24/ZFbihPMSXg22/video/index.m3u8
峨眉功夫,https://v6.qdhdcate.com/yyv6/202503/09/iNt3GfJSPy24/video/index.m3u8
羔羊医生粤语,https://v2.qdhdcate.com/yyv2/202502/24/8A34B6iCkB19/video/index.m3u8
忍者太保之胭脂劫,https://v3.qdhdcate.com/yyv3/202502/24/57zPYPXXBb24/video/index.m3u8
三打祝家荘(上集)粤语,https://v3.qdhdcate.com/yyv3/202502/24/hPpZvP4yCX22/video/index.m3u8
飞速追杀,https://v4.qdhdcate.com/yyv4/202503/03/0w5jaznY7m20/video/index.m3u8
家族命运之战,https://v2.qdhdcate.com/yyv2/202503/03/f5ikSEijzg19/video/index.m3u8
第一类型危险粤语,https://v5.qdhdcate.com/yyv5/202502/24/tTvG8CJNeK19/video/index.m3u8
蝶变,https://v6.qdhdcate.com/yyv6/202502/24/s8dbMBF8ez19/video/index.m3u8
苍月,https://v5.qdhdcate.com/yyv5/202503/01/RZ7Xcqka5719/video/index.m3u8
边境奇袭,https://v2.qdhdcate.com/yyv2/202503/03/bH0H4s8BH919/video/index.m3u8
蝶变粤语,https://v5.qdhdcate.com/yyv5/202502/24/n9LZwUn2HC19/video/index.m3u8
血影红灯粤语,https://v6.qdhdcate.com/yyv6/202502/24/hVgssJRqNq22/video/index.m3u8
蛇头人,https://v4.qdhdcate.com/yyv4/202502/24/QryvBEvgCE24/video/index.m3u8
向异域挑战粤语,https://v6.qdhdcate.com/yyv6/202502/24/NJbvMXvLgs23/video/index.m3u8
刺客公会,https://v4.qdhdcate.com/yyv4/202502/27/vxZ1haqFWm23/video/index.m3u8
逆途,https://v6.qdhdcate.com/yyv6/202502/27/p38h1XDZiM21/video/index.m3u8
鬼城杀,https://v3.qdhdcate.com/yyv3/202502/27/SXwCwRndPY20/video/index.m3u8
奇门机关卷,https://v3.qdhdcate.com/yyv3/202502/23/cD5LRTDWPs21/video/index.m3u8
生死排爆2025,https://v4.qdhdcate.com/yyv4/202502/26/GzQ8mnJMAh19/video/index.m3u8
天马星空,https://v6.qdhdcate.com/yyv6/202502/23/MF6r7ZDjMy20/video/index.m3u8
归来的玩命警探,https://v5.qdhdcate.com/yyv5/202502/23/87XLaq88NP24/video/index.m3u8
特警荣耀,https://v5.qdhdcate.com/yyv5/202502/23/VeH8jJiykf21/video/index.m3u8
亡命之徒2025,https://v2.qdhdcate.com/yyv2/202502/23/x89F5MnmfJ22/video/index.m3u8
将死,https://v2.qdhdcate.com/yyv2/202502/19/d1YQA5hxcP20/video/index.m3u8
特工同盟,https://v4.qdhdcate.com/yyv4/202502/22/rnZj0cg4Bv19/video/index.m3u8
青蛇缘起,https://v3.qdhdcate.com/yyv3/202502/13/Efty8kpAYr23/video/index.m3u8
谍徒迷局,https://v6.qdhdcate.com/yyv6/202502/14/iLXeg2tcaJ22/video/index.m3u8
引以为戒2,https://v4.qdhdcate.com/yyv4/202502/10/rcJkBLSEQc21/video/index.m3u8
美国队长4,https://v2.qdhdcate.com/yyv2/202502/14/iz8MFQ9VNU22/video/index.m3u8
改日再战,https://v3.qdhdcate.com/yyv3/202502/10/CqFVY7gb6J19/video/index.m3u8
十一人的贼军,https://v4.qdhdcate.com/yyv4/202502/14/cr8GN1h5wX24/video/index.m3u8
亚刻奥特曼大电影：超次元大决战！光与暗的亚刻,https://v4.qdhdcate.com/yyv4/202502/22/twEMLMJbBD20/video/index.m3u8
封神第二部：战火西岐,https://v5.qdhdcate.com/yyv5/202501/30/0h04LDkaNV24/video/index.m3u8
蛟龙行动,https://v6.qdhdcate.com/yyv6/202502/03/hxpL3PWiX624/video/index.m3u8
无间猎冰,https://v4.qdhdcate.com/yyv4/202502/01/bDytFha4kk20/video/index.m3u8
家园2024,https://v3.qdhdcate.com/yyv3/202502/05/1zGcJBT7mH20/video/index.m3u8
断毒,https://v2.qdhdcate.com/yyv2/202501/30/pvMJ76Qrmw24/video/index.m3u8
多拉特行动,https://v2.qdhdcate.com/yyv2/202502/04/zP5Sfg6yNe21/video/index.m3u8
谍与蝶2025,https://v4.qdhdcate.com/yyv4/202502/01/ZwaYdzLRi621/video/index.m3u8
射雕英雄传：侠之大者,https://v2.qdhdcate.com/yyv2/202501/31/RQfQ1AajZe19/video/index.m3u8
黑手党战争,https://v5.qdhdcate.com/yyv5/202502/05/5YeyNg80fc21/video/index.m3u8
峡谷2025,https://v4.qdhdcate.com/yyv4/202502/14/k8twzuj2wN22/video/index.m3u8
木乃伊狂鲨,https://v6.qdhdcate.com/yyv6/202501/30/cEZ01sqDGc24/video/index.m3u8
黄沙渡,https://v4.qdhdcate.com/yyv4/202501/19/fE9y06utXx21/video/index.m3u8
柯村风云2025,https://v5.qdhdcate.com/yyv5/202501/25/vCPbJDcmDs24/video/index.m3u8
狙击精英:背水一战,https://v5.qdhdcate.com/yyv5/202501/23/YHu6dUzCwE22/video/index.m3u8
别碰脏钱,https://v4.qdhdcate.com/yyv4/202501/24/dwNKejyRKM21/video/index.m3u8
大奉打更人之世间无我这般人,https://v6.qdhdcate.com/yyv6/202501/29/kG2VuU0XFA23/video/index.m3u8
杀手游戏,https://v2.qdhdcate.com/yyv2/202501/24/mxWp5wFSC623/video/index.m3u8
笑傲江湖2025,https://v5.qdhdcate.com/yyv5/202501/28/UU33hEehDC22/video/index.m3u8#HD国语$https://v3.qdhdcate.com/yyv3/202501/28/HQvBjivFGV20/video/index.m3u8
神雕侠侣：问世间,https://v6.qdhdcate.com/yyv6/202501/22/NrZPkR7JJd24/video/index.m3u8
解放：第二部,https://v4.qdhdcate.com/yyv4/202501/23/r8V7CMS9wF23/video/index.m3u8
步枪俱乐部,https://v3.qdhdcate.com/yyv3/202501/18/2rYDXtqbCc21/video/index.m3u8
警报战,https://v6.qdhdcate.com/yyv6/202501/18/U96SYJhuvL24/video/index.m3u8
荣耀之谁与争锋,https://v3.qdhdcate.com/yyv3/202501/17/iAE4udxvHd20/video/index.m3u8
重返侏罗纪2025,https://v6.qdhdcate.com/yyv6/202501/17/Tz8hQxX5zR24/video/index.m3u8
