4K电影,#genre#
龙虎少年队,https://v10.qdhdcate.com/yyv10/202312/17/DgV1NyETMV2/video/index.m3u8
泰迪熊,https://v10.qdhdcate.com/yyv10/202312/19/vGBtV5qNtL2/video/index.m3u8
瞬息全宇宙,https://v10.qdhdcate.com/yyv10/202312/22/sqGeV1b1he2/video/index.m3u8
小丑回魂,https://v10.qdhdcate.com/yyv10/202312/18/Pb1Np919J92/video/index.m3u8
海扁王,https://v10.qdhdcate.com/yyv10/202312/16/pMD4RJb1HJ2/video/index.m3u8
奇异博士2：疯狂多元宇宙,https://v10.qdhdcate.com/yyv10/202312/23/FifvUQFCg52/video/index.m3u8
超感猎杀：圣诞特别篇,https://v10.qdhdcate.com/yyv10/202312/28/1T0uHwpb3X2/video/index.m3u8
勇士,https://v10.qdhdcate.com/yyv10/202312/21/HAf9DSaPKV2/video/index.m3u8
多哥,https://v10.qdhdcate.com/yyv10/202312/27/KdN988PssG2/video/index.m3u8
美国精神病人,https://v10.qdhdcate.com/yyv10/202312/11/3kRVYETi3p2/video/index.m3u8
飓风营救,https://v10.qdhdcate.com/yyv10/202312/11/fGnsq0CLLm2/video/index.m3u8
好莱坞往事,https://v10.qdhdcate.com/yyv10/202312/07/XJyLUEfMa72/video/index.m3u8
全金属外壳,https://v10.qdhdcate.com/yyv10/202312/10/HeCPEaeYTU2/video/index.m3u8
第五元素,https://v10.qdhdcate.com/yyv10/202312/20/HJbtFwvBHR2/video/index.m3u8
壮志凌云2：独行侠,https://v10.qdhdcate.com/yyv10/202312/14/M7nYVugAUF2/video/index.m3u8
出租车司机,https://v10.qdhdcate.com/yyv10/202312/03/1hgyLYfsfd2/video/index.m3u8
解禁男女,https://v10.qdhdcate.com/yyv10/202311/25/J3aL6wUUHe2/video/index.m3u8
发条橙,https://v10.qdhdcate.com/yyv10/202312/06/2t2x7S52KZ2/video/index.m3u8
杀手,https://v10.qdhdcate.com/yyv10/202311/24/6hZ9bVx5gZ2/video/index.m3u8
泰坦尼克号,https://v10.qdhdcate.com/yyv10/202311/29/NL00x5FzWa2/video/index.m3u8
梦之安魂曲,https://v10.qdhdcate.com/yyv10/202312/05/1mknF484pw2/video/index.m3u8
神弃之地,https://v10.qdhdcate.com/yyv10/202311/22/vx0xhBCNrP2/video/index.m3u8
敢死队4：最终章,https://v10.qdhdcate.com/yyv10/202311/20/4m5gtWUKkW2/video/index.m3u8
电锯惊魂,https://v10.qdhdcate.com/yyv10/202311/13/kQg03fST522/video/index.m3u8
幽灵公主,https://v10.qdhdcate.com/yyv10/202311/16/LcNG6XKGuy2/video/index.m3u8
奥本海默,https://v10.qdhdcate.com/yyv10/202311/17/BTpU1hHsfV2/video/index.m3u8
重庆森林,https://v10.qdhdcate.com/yyv10/202311/12/ngGDRbMxi72/video/index.m3u8
杀人回忆,https://v10.qdhdcate.com/yyv10/202311/11/gJujWhWbsR2/video/index.m3u8
末路狂花,https://v10.qdhdcate.com/yyv10/202311/16/87h4k9LCbz2/video/index.m3u8
华尔街之狼,https://v10.qdhdcate.com/yyv10/202311/27/pT209fvHW32/video/index.m3u8
玉蒲团之偷情宝鉴,https://v10.qdhdcate.com/yyv10/202311/17/Ujw9P1g8N32/video/index.m3u8
春光乍泄,https://v10.qdhdcate.com/yyv10/202311/10/yJ5RXgF8iX2/video/index.m3u8
请以你的名字呼唤我,https://v10.qdhdcate.com/yyv10/202311/11/NgeaTg44dU2/video/index.m3u8
V字仇杀队,https://v10.qdhdcate.com/yyv10/202311/30/9fTxGdL5jf2/video/index.m3u8
搏击俱乐部,https://v10.qdhdcate.com/yyv10/202311/10/0wxMLX4EbA2/video/index.m3u8
龙猫,https://v10.qdhdcate.com/yyv10/202311/10/AHg4a5xmFX2/video/index.m3u8
千与千寻,https://v10.qdhdcate.com/yyv10/202311/10/sqqtHbubZ52/video/index.m3u8
小丑,https://v10.qdhdcate.com/yyv10/202311/09/2QqhQpynYF2/video/index.m3u8
沉默的羔羊,https://v10.qdhdcate.com/yyv10/202311/08/Wb7HSAP4Jx2/video/index.m3u8
阿凡达：水之道,https://v10.qdhdcate.com/yyv10/202311/08/JcgeRvT7tR2/video/index.m3u8
疯狂动物城,https://v6.qdhdcate.com/yyv6/202311/07/NaQrgrybEA1/video/index.m3u8
招魂,https://v10.qdhdcate.com/yyv10/202311/08/g3EuqrW9F32/video/index.m3u8
寄生虫,https://v10.qdhdcate.com/yyv10/202311/10/1EUqZ7d0gk2/video/index.m3u8
崖上的波妞,https://v6.qdhdcate.com/yyv6/202311/06/JHCfL7dV9S1/video/index.m3u8
王牌贱谍：格林斯比,https://v10.qdhdcate.com/yyv10/202311/09/tYCUnPWwJ12/video/index.m3u8
疾速追杀4,https://v10.qdhdcate.com/yyv10/202311/09/cXP9ggccWJ2/video/index.m3u8
