篮球,#genre#
7月17日 2025NBA夏季联赛 雄鹿VS公牛,https://v13.qdhdcate.com/yyv13/202507/17/TrD5Pr9R0v23/video/index.m3u8
7月16日 2025NBA夏季联赛 勇士VS灰熊,https://v14.qdhdcate.com/yyv14/202507/16/KcGSxBpvCW19/video/index.m3u8
7月16日 2025NBA夏季联赛 雷霆VS魔术,https://v14.qdhdcate.com/yyv14/202507/16/02E5M0rjgH24/video/index.m3u8
7月16日 2025NBA夏季联赛 76人VS奇才,https://v13.qdhdcate.com/yyv13/202507/16/3qhLhmPBaD24/video/index.m3u8
7月16日 2025NBA夏季联赛 篮网VS尼克斯,https://v13.qdhdcate.com/yyv13/202507/16/WveGHNvnRV20/video/index.m3u8
7月15日 2025NBA夏季联赛 太阳VS国王,https://v13.qdhdcate.com/yyv13/202507/15/P0PhtgBaJp21/video/index.m3u8
7月16日 2025NBA夏季联赛 猛龙VS掘金,https://v13.qdhdcate.com/yyv13/202507/16/2HmfHN0nb824/video/index.m3u8
7月15日 2025NBA夏季联赛 快船VS湖人,https://v13.qdhdcate.com/yyv13/202507/15/mDcwqW7PYh21/video/index.m3u8
7月16日 2025NBA夏季联赛 鹈鹕VS开拓者,https://v13.qdhdcate.com/yyv13/202507/16/gJKZeUviC122/video/index.m3u8
7月14日 2025NBA夏季联赛 勇士VS爵士,https://v13.qdhdcate.com/yyv13/202507/14/p4zBAGia8s19/video/index.m3u8
7月14日 2025NBA夏季联赛 尼克斯VS凯尔特人,https://v14.qdhdcate.com/yyv14/202507/14/djrZgWsczR21/video/index.m3u8
7月14日 2025NBA夏季联赛 活塞VS火箭,https://v14.qdhdcate.com/yyv14/202507/14/KijYC0zDpN19/video/index.m3u8
7月15日 2025NBA夏季联赛 凯尔特人VS热火,https://v13.qdhdcate.com/yyv13/202507/15/BLqAP6DkXU19/video/index.m3u8
7月14日 2025NBA夏季联赛 太阳VS老鹰,https://v14.qdhdcate.com/yyv14/202507/14/yqXYdSaPd724/video/index.m3u8
7月15日 2025NBA夏季联赛 黄蜂VS独行侠,https://v13.qdhdcate.com/yyv13/202507/15/W97PmNdbpi21/video/index.m3u8
7月14日 2025NBA夏季联赛 猛龙VS魔术,https://v13.qdhdcate.com/yyv13/202507/14/VnSTMZAZEu19/video/index.m3u8
7月15日 2025NBA夏季联赛 老鹰VS火箭,https://v14.qdhdcate.com/yyv14/202507/15/zX9gmGcRDa22/video/index.m3u8
7月14日 2025NBA夏季联赛 热火VS骑士,https://v13.qdhdcate.com/yyv13/202507/14/CC5L7h9Nuv19/video/index.m3u8
7月14日 2025NBA夏季联赛 篮网VS奇才,https://v14.qdhdcate.com/yyv14/202507/14/eMVwcJ3JRP23/video/index.m3u8
7月13日 2025NBA夏季联赛 灰熊VS开拓者,https://v13.qdhdcate.com/yyv13/202507/13/7cECsNuUN219/video/index.m3u8
7月13日 2025NBA夏季联赛 黄蜂VS76人,https://v13.qdhdcate.com/yyv13/202507/13/nY9R990M8M20/video/index.m3u8
7月13日 2025NBA夏季联赛 骑士VS雄鹿,https://v13.qdhdcate.com/yyv13/202507/13/CTkKWNmx3a22/video/index.m3u8
7月13日 2025NBA夏季联赛 步行者VS雷霆,https://v14.qdhdcate.com/yyv14/202507/13/Qq5QKfm5KN22/video/index.m3u8
7月13日 2025NBA夏季联赛 森林狼VS掘金,https://v13.qdhdcate.com/yyv13/202507/13/pmqrdR8pXn21/video/index.m3u8
7月13日 2025NBA夏季联赛 国王VS公牛,https://v13.qdhdcate.com/yyv13/202507/13/bPVmhqyrRG19/video/index.m3u8
7月13日 2025NBA夏季联赛 独行侠VS马刺,https://v14.qdhdcate.com/yyv14/202507/13/pXvV9niW5D20/video/index.m3u8
7月15日 2025NBA夏季联赛 爵士VS马刺,https://v13.qdhdcate.com/yyv13/202507/15/f3nDwnG8Zu21/video/index.m3u8
7月14日 2025NBA夏季联赛 雄鹿VS快船,https://v14.qdhdcate.com/yyv14/202507/14/5MjkaGnaRR19/video/index.m3u8
7月15日 2025NBA夏季联赛 公牛VS步行者,https://v13.qdhdcate.com/yyv13/202507/15/RAqqVy9zQB23/video/index.m3u8
7月12日 2025NBA夏季联赛 尼克斯VS活塞,https://v13.qdhdcate.com/yyv13/202507/12/EeqG7JKp2K23/video/index.m3u8
7月13日 2025NBA夏季联赛 湖人VS鹈鹕,https://v14.qdhdcate.com/yyv14/202507/13/KZyB6YiQt924/video/index.m3u8
7月12日 2025NBA夏季联赛 奇才VS太阳,https://v14.qdhdcate.com/yyv14/202507/12/A6Rf36FvvJ21/video/index.m3u8
7月12日 2025NBA夏季联赛 快船VS火箭,https://v13.qdhdcate.com/yyv13/202507/12/Lvp5ygbhm119/video/index.m3u8
7月12日 2025NBA夏季联赛 灰熊VS凯尔特人,https://v14.qdhdcate.com/yyv14/202507/12/SbPmGK8kJB24/video/index.m3u8
7月11日 2025NBA夏季联赛 鹈鹕VS森林狼,https://v13.qdhdcate.com/yyv13/202507/11/cUiWZb9bkt19/video/index.m3u8
7月12日 2025NBA夏季联赛 公牛VS猛龙,https://v14.qdhdcate.com/yyv14/202507/12/M1u3UydhgF22/video/index.m3u8
7月12日 2025NBA夏季联赛 开拓者VS勇士,https://v14.qdhdcate.com/yyv14/202507/12/UYhyNyrSHp19/video/index.m3u8
7月12日 2025NBA夏季联赛 老鹰VS热火,https://v13.qdhdcate.com/yyv13/202507/12/Uix1arRpp323/video/index.m3u8
7月12日 2025NBA夏季联赛 爵士VS黄蜂,https://v13.qdhdcate.com/yyv13/202507/12/ZYtP8yYQbS24/video/index.m3u8
7月11日 2025NBA夏季联赛 马刺VS76人,https://v13.qdhdcate.com/yyv13/202507/11/p41zKgt7wE23/video/index.m3u8
7月11日 2025NBA夏季联赛 骑士VS步行者,https://v13.qdhdcate.com/yyv13/202507/11/zptGERkp9g22/video/index.m3u8
7月11日 2025NBA夏季联赛 魔术VS国王,https://v14.qdhdcate.com/yyv14/202507/11/DgVJDf0Mj321/video/index.m3u8
7月11日 2025NBA夏季联赛 掘金VS雄鹿,https://v13.qdhdcate.com/yyv13/202507/11/NfJ3G9C94521/video/index.m3u8
7月11日 2025NBA夏季联赛 湖人VS独行侠,https://v13.qdhdcate.com/yyv13/202507/11/M7sUCQLdTW24/video/index.m3u8
7月6日 2025NBA夏季联赛 马刺VS热火,https://v13.qdhdcate.com/yyv13/202507/06/b9vE57CWT723/video/index.m3u8
7月7日 2025NBA夏季联赛 湖人VS热火,https://v13.qdhdcate.com/yyv13/202507/07/d4StbKKQ3i20/video/index.m3u8
7月7日 2025NBA夏季联赛 马刺VS勇士,https://v14.qdhdcate.com/yyv14/202507/07/0fz8vZ2d2323/video/index.m3u8
7月6日 2025NBA夏季联赛 灰熊VS雷霆,https://v14.qdhdcate.com/yyv14/202507/06/SQAE4LHjBw23/video/index.m3u8
7月11日 2025NBA夏季联赛 雷霆VS篮网,https://v13.qdhdcate.com/yyv13/202507/11/pXxDKu46TY20/video/index.m3u8
6月20日 24-25赛季NBA总决赛G6 雷霆VS步行者,https://v13.qdhdcate.com/yyv13/202506/24/tuJNRuWMWF20/video/index.m3u8
7月6日 2025NBA夏季联赛 76人VS爵士,https://v14.qdhdcate.com/yyv14/202507/06/EVR49jLqzF24/video/index.m3u8
6月6日 24-25赛季NBA总决赛G1 步行者VS雷霆,https://v13.qdhdcate.com/yyv13/202506/24/ZMtbsnVHgZ23/video/index.m3u8
6月17日 24-25赛季NBA总决赛G5 步行者VS雷霆,https://v13.qdhdcate.com/yyv13/202506/24/cVuyjCLhSF22/video/index.m3u8
6月14日 24-25赛季NBA总决赛G4 雷霆VS步行者,https://v13.qdhdcate.com/yyv13/202506/24/1QGhhEYtNj22/video/index.m3u8
6月9日 24-25赛季NBA总决赛G2 步行者VS雷霆,https://v14.qdhdcate.com/yyv14/202506/24/Bt155hFagV19/video/index.m3u8
7月6日 2025NBA夏季联赛 湖人VS勇士,https://v14.qdhdcate.com/yyv14/202507/06/0hLJV0weFW19/video/index.m3u8
6月12日 24-25赛季NBA总决赛G3 雷霆VS步行者,https://v13.qdhdcate.com/yyv13/202506/24/BkBxmcvCnJ23/video/index.m3u8
5月1日 24-25赛季NBA季后赛R1G5 森林狼VS湖人,https://v4.qdhdcate.com/yyv4/202505/02/egNZcagLg519/video/index.m3u8
4月9日 24-25赛季NBA常规赛 森林狼VS雄鹿,https://v5.qdhdcate.com/yyv5/202504/09/rdeTnw3BH921/video/index.m3u8
3月17日 24-25赛季NBA常规赛 76人VS独行侠,https://v5.qdhdcate.com/yyv5/202503/17/iDzu5gvgtq24/video/index.m3u8
4月9日 24-25赛季NBA常规赛 湖人VS雷霆,https://v6.qdhdcate.com/yyv6/202504/09/Beajwh3yXE23/video/index.m3u8
4月9日 24-25赛季NBA常规赛 灰熊VS黄蜂,https://v5.qdhdcate.com/yyv5/202504/09/GyLPQmnKkn20/video/index.m3u8
5月1日 24-25赛季NBA季后赛R1G5 勇士VS火箭,https://v6.qdhdcate.com/yyv6/202505/02/irJANUtJFQ23/video/index.m3u8
6月23日 24-25赛季NBA总决赛G7 步行者VS雷霆,https://v13.qdhdcate.com/yyv13/202506/23/gWmXvtDYzL19/video/index.m3u8
3月17日 24-25赛季NBA常规赛 太阳VS湖人,https://v2.qdhdcate.com/yyv2/202503/17/0Z0Sri2gQM24/video/index.m3u8
3月17日 24-25赛季NBA常规赛 黄蜂VS快船,https://v3.qdhdcate.com/yyv3/202503/17/deWm8d74CZ24/video/index.m3u8
3月17日 24-25赛季NBA常规赛 魔术VS骑士,https://v4.qdhdcate.com/yyv4/202503/17/LDrD7SHuDu20/video/index.m3u8
3月10日 24-25赛季NBA常规赛 马刺VS森林狼,https://v4.qdhdcate.com/yyv4/202503/10/xZSRXUu0uh21/video/index.m3u8
3月10日 24-25赛季NBA常规赛 掘金VS雷霆,https://v3.qdhdcate.com/yyv3/202503/10/SchWkuYzrz19/video/index.m3u8
3月10日 24-25赛季NBA常规赛 太阳VS独行侠,https://v4.qdhdcate.com/yyv4/202503/10/wNLxvfF1Cw20/video/index.m3u8
3月10日 24-25赛季NBA常规赛 爵士VS76人,https://v3.qdhdcate.com/yyv3/202503/10/M3JMqjD3LU19/video/index.m3u8
2月20日 2025男篮亚洲杯预选赛 中国VS日本,https://v3.qdhdcate.com/yyv3/202502/21/SyCzTLfRaN24/video/index.m3u8
2月2日 24-25赛季NBA常规赛 热火VS马刺,https://v3.qdhdcate.com/yyv3/202502/02/iUxwrR0QRA20/video/index.m3u8
2月2日 24-25赛季NBA常规赛 太阳VS开拓者,https://v5.qdhdcate.com/yyv5/202502/02/ePW0W3kQ6Q21/video/index.m3u8
2月2日 24-25赛季NBA常规赛 国王VS雷霆,https://v2.qdhdcate.com/yyv2/202502/02/WQCG5fWR7w24/video/index.m3u8
1月19日 24-25赛季NBA常规赛 老鹰VS凯尔特人,https://v4.qdhdcate.com/yyv4/202501/19/MBR2uauBw219/video/index.m3u8
1月19日 24-25赛季NBA常规赛 太阳VS活塞,https://v3.qdhdcate.com/yyv3/202501/19/TpKYUr9cCZ22/video/index.m3u8
2月2日 24-25赛季NBA常规赛 老鹰VS步行者,https://v5.qdhdcate.com/yyv5/202502/02/dPVFm7n6i020/video/index.m3u8
2月2日 24-25赛季NBA常规赛 魔术VS爵士,https://v4.qdhdcate.com/yyv4/202502/02/JHaG566YGH19/video/index.m3u8
12月16日 24-25赛季NBA常规赛 凯尔特人VS奇才,https://v2.qdhdcate.com/yyv2/202412/16/U7xMJ1XQ0c24/video/index.m3u8
12月16日 24-25赛季NBA常规赛 森林狼VS马刺,https://v5.qdhdcate.com/yyv5/202412/16/ghdf2HfNcj21/video/index.m3u8
12月24日 24-25赛季NBA常规赛 凯尔特人VS魔术,https://v5.qdhdcate.com/yyv5/202412/24/Y0UrxYjQNX24/video/index.m3u8
12月24日 24-25赛季NBA常规赛 开拓者VS独行侠,https://v6.qdhdcate.com/yyv6/202412/24/QFV3EJC50H19/video/index.m3u8
12月24日 24-25赛季NBA常规赛 快船VS灰熊,https://v5.qdhdcate.com/yyv5/202412/24/CnqwJttyFh20/video/index.m3u8
12月16日 24-25赛季NBA常规赛 鹈鹕VS步行者,https://v4.qdhdcate.com/yyv4/202412/16/C6gPcr51rL21/video/index.m3u8
12月15日 24-25赛季NBA杯半决赛 老鹰VS雄鹿,https://v6.qdhdcate.com/yyv6/202412/15/UbsgsAQjpY19/video/index.m3u8
12月18日 24-25赛季NBA杯决赛 雄鹿VS雷霆,https://v3.qdhdcate.com/yyv3/202412/20/cjMRUrf06R19/video/index.m3u8
12月16日 24-25赛季NBA常规赛 尼克斯VS魔术,https://v5.qdhdcate.com/yyv5/202412/16/dN1sZFEDWc19/video/index.m3u8
12月24日 24-25赛季NBA常规赛 猛龙VS尼克斯,https://v6.qdhdcate.com/yyv6/202412/24/FZ7HhLygik23/video/index.m3u8
12月1日 24-25赛季NBA常规赛 76人VS活塞,https://v2.qdhdcate.com/yyv2/202412/01/gUezN7GnSw24/video/index.m3u8
12月8日 24-25赛季NBA常规赛 骑士VS黄蜂,https://v5.qdhdcate.com/yyv5/202412/08/31hYAFkY2a21/video/index.m3u8
12月8日 24-25赛季NBA常规赛 掘金VS奇才,https://v5.qdhdcate.com/yyv5/202412/08/w5s2MeUGHM22/video/index.m3u8
12月4日 24-25赛季NBA常规赛 步行者VS猛龙,https://v4.qdhdcate.com/yyv4/202412/04/bqJpZY9ypx19/video/index.m3u8
12月4日 24-25赛季NBA常规赛 爵士VS雷霆,https://v2.qdhdcate.com/yyv2/202412/04/vra14LRSeN22/video/index.m3u8
12月8日 24-25赛季NBA常规赛 雷霆VS鹈鹕,https://v5.qdhdcate.com/yyv5/202412/08/iVUMSXiHYE21/video/index.m3u8
12月4日 24-25赛季NBA常规赛 雄鹿VS活塞,https://v4.qdhdcate.com/yyv4/202412/04/8U9YRWa6BW24/video/index.m3u8
12月4日 24-25赛季NBA常规赛 76人VS黄蜂,https://v4.qdhdcate.com/yyv4/202412/04/BtrBnVQZkG21/video/index.m3u8
12月4日 24-25赛季NBA常规赛 魔术VS尼克斯,https://v6.qdhdcate.com/yyv6/202412/04/x2bKvX7beM19/video/index.m3u8
12月4日 24-25赛季NBA常规赛 奇才VS骑士,https://v5.qdhdcate.com/yyv5/202412/04/a9rRHLvPuA23/video/index.m3u8
12月1日 24-25赛季NBA常规赛 奇才VS雄鹿,https://v4.qdhdcate.com/yyv4/202412/01/tfH7gUi0aK21/video/index.m3u8
12月1日 24-25赛季NBA常规赛 老鹰VS黄蜂,https://v2.qdhdcate.com/yyv2/202412/01/UvUe2huCnX24/video/index.m3u8
11月25日 24-25赛季NBA常规赛 奇才VS步行者,https://v4.qdhdcate.com/yyv4/202411/25/zQ9sMbuHPp20/video/index.m3u8
11月22日 24-25赛季NBA常规赛 森林狼VS猛龙,https://v5.qdhdcate.com/yyv5/202411/22/0HbNNynMWN20/video/index.m3u8
11月25日 24-25赛季NBA常规赛 独行侠VS热火,https://v6.qdhdcate.com/yyv6/202411/25/rnCfMKNXyA22/video/index.m3u8
11月25日 24-25赛季NBA常规赛 快船VS76人,https://v5.qdhdcate.com/yyv5/202411/25/gJ9qPrH4RS19/video/index.m3u8
11月22日 24-25赛季NBA常规赛 活塞VS黄蜂,https://v3.qdhdcate.com/yyv3/202411/22/Rvhjcf0dFF22/video/index.m3u8
11月25日 24-25赛季NBA常规赛 森林狼VS凯尔特人,https://v6.qdhdcate.com/yyv6/202411/25/Gh3dRzGeU621/video/index.m3u8
11月10日 24-25赛季NBA常规赛 公牛VS老鹰,https://v5.qdhdcate.com/yyv5/202411/10/zn2CBpSgFg19/video/index.m3u8
11月10日 24-25赛季NBA常规赛 爵士VS马刺,https://v5.qdhdcate.com/yyv5/202411/10/mR3YpHd3au20/video/index.m3u8
11月9日 24-25赛季NBA常规赛 步行者VS黄蜂,https://v3.qdhdcate.com/yyv3/202411/09/AXRc1hXyEr22/video/index.m3u8
11月9日 24-25赛季NBA常规赛 老鹰VS活塞,https://v5.qdhdcate.com/yyv5/202411/09/y6pnDGG3K924/video/index.m3u8
11月10日 24-25赛季NBA常规赛 篮网VS骑士,https://v5.qdhdcate.com/yyv5/202411/10/Ji0xcVH6WZ19/video/index.m3u8
11月5日 24-25赛季NBA常规赛 湖人VS活塞,https://v4.qdhdcate.com/yyv4/202411/05/gQvp8qYCpr22/video/index.m3u8
11月9日 24-25赛季NBA常规赛 勇士VS骑士,https://v6.qdhdcate.com/yyv6/202411/09/a8e6m2duVf22/video/index.m3u8
11月4日 24-25赛季NBA常规赛 活塞VS篮网,https://v5.qdhdcate.com/yyv5/202411/04/3UiXUszRju24/video/index.m3u8
11月9日 24-25赛季NBA常规赛 鹈鹕VS魔术,https://v6.qdhdcate.com/yyv6/202411/09/ZFnju6eSR720/video/index.m3u8
11月9日 24-25赛季NBA常规赛 雄鹿VS尼克斯,https://v5.qdhdcate.com/yyv5/202411/09/WZ12whpuCN21/video/index.m3u8
11月4日 24-25赛季NBA常规赛 老鹰VS鹈鹕,https://v6.qdhdcate.com/yyv6/202411/04/jV174bn7az24/video/index.m3u8
10月30日 24-25赛季NBA常规赛 掘金VS篮网,https://v5.qdhdcate.com/yyv5/202410/30/JS8HbeKTtT21/video/index.m3u8
11月1日 24-25赛季NBA常规赛 雄鹿VS灰熊,https://v2.qdhdcate.com/yyv2/202411/01/633qTdvsq121/video/index.m3u8
11月2日 24-25赛季NBA常规赛 步行者VS鹈鹕,https://v3.qdhdcate.com/yyv3/202411/02/6V9rKvdtik21/video/index.m3u8
11月2日 24-25赛季NBA常规赛 国王VS老鹰,https://v2.qdhdcate.com/yyv2/202411/02/AYZQtBaMdq22/video/index.m3u8
11月2日 24-25赛季NBA常规赛 公牛VS篮网,https://v2.qdhdcate.com/yyv2/202411/02/w2TdMjKKc321/video/index.m3u8
11月2日 24-25赛季NBA常规赛 凯尔特人VS黄蜂,https://v2.qdhdcate.com/yyv2/202411/02/b45eNMHVD121/video/index.m3u8
11月4日 24-25赛季NBA常规赛 魔术VS独行侠,https://v3.qdhdcate.com/yyv3/202411/04/zM7jenNdkj19/video/index.m3u8
11月9日 24-25赛季NBA常规赛 篮网VS凯尔特人,https://v4.qdhdcate.com/yyv4/202411/09/0yzJn1dmFK24/video/index.m3u8
11月2日 24-25赛季NBA常规赛 魔术VS骑士,https://v4.qdhdcate.com/yyv4/202411/02/ssLRqTMiic21/video/index.m3u8
10月30日 24-25赛季NBA常规赛 独行侠VS森林狼,https://v2.qdhdcate.com/yyv2/202410/30/47x2XNk61K20/video/index.m3u8
10月28日 24-25赛季NBA常规赛 76人VS步行者,https://v3.qdhdcate.com/yyv3/202410/28/68cgN1rwyv22/video/index.m3u8
10月25日 24-25赛季NBA常规赛 马刺VS独行侠,https://v4.qdhdcate.com/yyv4/202410/25/ceNR7S7i7s24/video/index.m3u8
10月27日 24-25赛季NBA常规赛 快船VS掘金,https://v5.qdhdcate.com/yyv5/202410/27/xEHHFRq8Zr22/video/index.m3u8
10月28日 24-25赛季NBA常规赛 鹈鹕VS开拓者,https://v4.qdhdcate.com/yyv4/202410/28/Yd50GS8c6G23/video/index.m3u8
10月27日 24-25赛季NBA常规赛 独行侠VS太阳,https://v5.qdhdcate.com/yyv5/202410/27/jRJK8UtV9S23/video/index.m3u8
10月28日 24-25赛季NBA常规赛 老鹰VS雷霆,https://v6.qdhdcate.com/yyv6/202410/28/6tjgBm7mbZ21/video/index.m3u8
10月28日 24-25赛季NBA常规赛 雄鹿VS篮网,https://v4.qdhdcate.com/yyv4/202410/28/8cxfy0WWBg22/video/index.m3u8
10月27日 24-25赛季NBA常规赛 火箭VS马刺,https://v5.qdhdcate.com/yyv5/202410/27/fhk7v4tTJy24/video/index.m3u8
10月27日 24-25赛季NBA常规赛 魔术VS灰熊,https://v5.qdhdcate.com/yyv5/202410/27/wmjN6gtA3X20/video/index.m3u8
10月27日 24-25赛季NBA常规赛 猛龙VS森林狼,https://v5.qdhdcate.com/yyv5/202410/27/K4hvCWRHEw21/video/index.m3u8
10月24日 24-25赛季NBA常规赛 公牛VS鹈鹕,https://v3.qdhdcate.com/yyv3/202410/24/HCQQGCE3g524/video/index.m3u8
10月24日 24-25赛季NBA常规赛 雄鹿VS76人,https://v5.qdhdcate.com/yyv5/202410/24/QQrjT6GmDG19/video/index.m3u8
10月24日 24-25赛季NBA常规赛 魔术VS热火,https://v5.qdhdcate.com/yyv5/202410/24/7z09LiuMGn21/video/index.m3u8
10月24日 24-25赛季NBA常规赛 篮网VS老鹰,https://v6.qdhdcate.com/yyv6/202410/24/PKwgxLRDRa19/video/index.m3u8
10月24日 24-25赛季NBA常规赛 黄蜂VS火箭,https://v4.qdhdcate.com/yyv4/202410/24/4kBpYB8wNa21/video/index.m3u8
10月24日 24-25赛季NBA常规赛 步行者VS活塞,https://v2.qdhdcate.com/yyv2/202410/24/ZWqTG85dJT23/video/index.m3u8
10月24日 24-25赛季NBA常规赛 骑士VS猛龙,https://v4.qdhdcate.com/yyv4/202410/24/7gDe9KVtQ720/video/index.m3u8
10月18日 24-25赛季NBA季前赛 老鹰VS雷霆,https://v2.qdhdcate.com/yyv2/202410/18/rWGtvsr3zC10/video/index.m3u8
10月19日 24-25赛季NBA季前赛 热火VS灰熊,https://v6.qdhdcate.com/yyv6/202410/19/MLW6zAYzgT22/video/index.m3u8
10月25日 24-25赛季NBA常规赛 凯尔特人VS奇才,https://v4.qdhdcate.com/yyv4/202410/25/r1LtUp1k1F21/video/index.m3u8
10月18日 24-25赛季NBA季前赛 雄鹿VS独行侠,https://v4.qdhdcate.com/yyv4/202410/18/HYd6V4PpJK4/video/index.m3u8
10月18日 24-25赛季NBA季前赛 掘金VS森林狼,https://v2.qdhdcate.com/yyv2/202410/18/MsJT3KNCPe10/video/index.m3u8
10月18日 24-25赛季NBA季前赛 黄蜂VS步行者,https://v6.qdhdcate.com/yyv6/202410/18/xuMYDMVr1w12/video/index.m3u8
4月11日 23-24赛季NBA常规赛 太阳VS快船,https://v5.qdhdcate.com/yyv5/202404/11/VVEVHthDM48/video/index.m3u8
9月7日 2024U18亚洲杯男篮14决赛 中国VS印度,https://v10.qdhdcate.com/yyv10/202409/11/T0GPabW08f15/video/index.m3u8
9月9日 2024U18亚洲杯男篮季军赛 约旦VS中国,https://v11.qdhdcate.com/yyv11/202409/11/YMxDt3RLhf3/video/index.m3u8
4月11日 23-24赛季NBA常规赛 森林狼VS掘金,https://v3.qdhdcate.com/yyv3/202404/11/R6sHvqFEd33/video/index.m3u8
8月7日 2024奥运男篮14决赛 法国VS加拿大,https://v11.qdhdcate.com/yyv11/202408/07/bxUQSV4Hzh3/video/index.m3u8
10月18日 24-25赛季NBA季前赛 马刺VS火箭,https://v6.qdhdcate.com/yyv6/202410/18/A0Z3hFPwEA12/video/index.m3u8
8月7日 2024奥运男篮14决赛 巴西VS美国,https://v8.qdhdcate.com/yyv8/202408/07/ZszPpmuQUC14/video/index.m3u8
9月8日 2024U18亚洲杯男篮半决赛 中国VS新西兰,https://v12.qdhdcate.com/yyv12/202409/11/VN4i1JXTbR8/video/index.m3u8
4月11日 23-24赛季NBA常规赛 黄蜂VS老鹰,https://v5.qdhdcate.com/yyv5/202404/11/R4X3wMdf5Z8/video/index.m3u8
