科幻片,#genre#
如何破获自己的谋杀案,https://v14.qdhdcate.com/yyv14/202506/14/xbNcfW5SEz24/video/index.m3u8
梦魇,https://v1.qdhdcate.com/yyv1/202308/19/SEPHjfGpi32/video/index.m3u8#HD$https://v13.qdhdcate.com/yyv13/202506/14/pPxBuVz1ff24/video/index.m3u8
人类冬眠计划,https://v4.qdhdcate.com/yyv4/202505/12/mPTdPsUptZ21/video/index.m3u8
星际监狱2025,https://v6.qdhdcate.com/yyv6/202505/26/t0egq1kA5X21/video/index.m3u8
孕育时代,https://v6.qdhdcate.com/yyv6/202505/14/VVCANGhR4p19/video/index.m3u8
异星入侵：凤凰出山,https://v6.qdhdcate.com/yyv6/202505/20/MVBBbHKLtC24/video/index.m3u8
我能有个见证人吗,https://v5.qdhdcate.com/yyv5/202505/03/Rv9jTNyPEU20/video/index.m3u8
奥奇传说,https://v4.qdhdcate.com/yyv4/202505/21/GxNAdtRhhV24/video/index.m3u8
自由落体2025,https://v13.qdhdcate.com/yyv13/202506/11/xDvVXVsNvt20/video/index.m3u8
异世降临,https://v5.qdhdcate.com/yyv5/202504/23/4dFSD2L4CJ19/video/index.m3u8
恐龙鳄鱼,https://v4.qdhdcate.com/yyv4/202504/23/ZsEaaQf5Zd24/video/index.m3u8
衰仔斗邪神,https://v5.qdhdcate.com/yyv5/202504/25/8N8vLGEgHX22/video/index.m3u8
天网狼蛛,https://v2.qdhdcate.com/yyv2/202503/08/g0AxTEB1CJ22/video/index.m3u8
母亲的AI,https://v2.qdhdcate.com/yyv2/202503/29/PhBiba7Bqf24/video/index.m3u8
寂静星球2024,https://v3.qdhdcate.com/yyv3/202503/12/NNAQcUV66B24/video/index.m3u8
流浪地球,https://v1.qdhdcate.com/yyv1/202308/19/7aS9rcbyey2/video/index.m3u8#特别版$https://v3.qdhdcate.com/yyv3/202503/30/mjrb7sg40a21/video/index.m3u8
海市蜃城,https://v6.qdhdcate.com/yyv6/202503/08/qx48GfY8c921/video/index.m3u8
天体,https://v3.qdhdcate.com/yyv3/202503/12/bF9KBCmmPp19/video/index.m3u8
最后的机器人,https://v3.qdhdcate.com/yyv3/202503/12/8cXa7VBy0L19/video/index.m3u8
复制魔,https://v6.qdhdcate.com/yyv6/202503/12/bw08p90Bf423/video/index.m3u8
钢铁入侵者,https://v4.qdhdcate.com/yyv4/202404/30/qxwfY2yFCy4/video/index.m3u8
迷幻黑彩虹,https://v4.qdhdcate.com/yyv4/202404/30/UkHvNqi9g94/video/index.m3u8
千禧年,https://v3.qdhdcate.com/yyv3/202412/26/qPnes8JpUi19/video/index.m3u8
千年虫,https://v2.qdhdcate.com/yyv2/202501/20/EBuV5vR9Jc22/video/index.m3u8
异形：无路可退,https://v6.qdhdcate.com/yyv6/202501/20/DTy3x5ThRH24/video/index.m3u8
海岛巨蟒,https://v2.qdhdcate.com/yyv2/202501/23/GeESyJGQ5t24/video/index.m3u8
高处营救,https://v3.qdhdcate.com/yyv3/202412/06/A68ZPFPYGt22/video/index.m3u8
第十年,https://v4.qdhdcate.com/yyv4/202412/09/UiKG1GUZfG24/video/index.m3u8
受困旅馆,https://v3.qdhdcate.com/yyv3/202412/22/f38caiZEYn21/video/index.m3u8
墓园狂鲨,https://v2.qdhdcate.com/yyv2/202412/06/g14Jr9E9Wf21/video/index.m3u8
毒液：最后一舞,https://v3.qdhdcate.com/yyv3/202410/26/qt5kawusAY22/video/index.m3u8#HD$https://v4.qdhdcate.com/yyv4/202412/05/CCu6EzN8tR20/video/index.m3u8
749局,https://v11.qdhdcate.com/yyv11/202410/07/W9SZGZJTfG3/video/index.m3u8#HD$https://v5.qdhdcate.com/yyv5/202412/05/1LmN4SRXMx21/video/index.m3u8
遗存者,https://v6.qdhdcate.com/yyv6/202411/25/nQD11sENac22/video/index.m3u8
强震,https://v2.qdhdcate.com/yyv2/202411/03/n1DZm61iq224/video/index.m3u8
逆时追凶,https://v5.qdhdcate.com/yyv5/202411/03/LCNWvGTnkh21/video/index.m3u8
开箱灵魂,https://v2.qdhdcate.com/yyv2/202410/04/SLb0CNgiTc10/video/index.m3u8
异形：夺命舰,https://v12.qdhdcate.com/yyv12/202408/18/8f5xHg4Wfd8/video/index.m3u8#HD$https://v1.qdhdcate.com/yyv1/202410/15/mVgDyjKnEY1/video/index.m3u8
寂静岛之异兽,https://v6.qdhdcate.com/yyv6/202412/27/BeZkVsxf8421/video/index.m3u8
饥饿站台2,https://v6.qdhdcate.com/yyv6/202410/04/kAid5atEig12/video/index.m3u8
神农巨兽,https://v9.qdhdcate.com/yyv9/202409/20/LxW2y0KhHp18/video/index.m3u8
布莱泽奥特曼 大电影 大怪兽东京决战,https://v10.qdhdcate.com/yyv10/202409/05/EbMkXiwyw515/video/index.m3u8
伊阿索密码,https://v5.qdhdcate.com/yyv5/202408/24/5qH7NbMFHU7/video/index.m3u8
致命AI,https://v11.qdhdcate.com/yyv11/202409/17/muyX0VF1sT3/video/index.m3u8
记忆误区,https://v5.qdhdcate.com/yyv5/202408/25/SwytM9Efxm7/video/index.m3u8
屈从,https://v5.qdhdcate.com/yyv5/202409/01/D4py9axcJX7/video/index.m3u8
平静之外,https://v11.qdhdcate.com/yyv11/202408/19/zuptPgNQhA3/video/index.m3u8
感知,https://v9.qdhdcate.com/yyv9/202408/25/H5xC9v1mcC18/video/index.m3u8
凤凰城事件,https://v5.qdhdcate.com/yyv5/202408/24/RAWc8XcghA7/video/index.m3u8
敌对维度,https://v9.qdhdcate.com/yyv9/202408/27/zXTZJ7eqYb18/video/index.m3u8
屈从2024,https://v11.qdhdcate.com/yyv11/202409/15/zr6gMkuqdg3/video/index.m3u8
伊利湖,https://v10.qdhdcate.com/yyv10/202408/23/YrdywkwWxM15/video/index.m3u8
战龙哥斯拉之怪兽总进击,https://v10.qdhdcate.com/yyv10/202408/26/GAyHmeY9NF15/video/index.m3u8
怪兽岛决战：哥斯拉之子,https://v10.qdhdcate.com/yyv10/202408/24/D8t7sbGcCC15/video/index.m3u8
哥斯拉·伊比拉·摩斯拉：南海大决斗,https://v5.qdhdcate.com/yyv5/202408/25/J7pNSy9yiG7/video/index.m3u8
不可思议的收缩人,https://v5.qdhdcate.com/yyv5/202408/23/wL1L0uv1dY7/video/index.m3u8
深太空时速9000公里,https://v9.qdhdcate.com/yyv9/202408/19/9tAVGkS13c18/video/index.m3u8
魔偶奇谭2,https://v5.qdhdcate.com/yyv5/202408/14/zxHEeuX62c7/video/index.m3u8
同步2019,https://v12.qdhdcate.com/yyv12/202408/16/rsjtyJQ4s48/video/index.m3u8
哥斯拉对美加洛,https://v9.qdhdcate.com/yyv9/202408/21/NiiLZM14ip18/video/index.m3u8
哥斯拉之机械哥斯拉的反击,https://v5.qdhdcate.com/yyv5/202408/22/RbrmaenxP37/video/index.m3u8
七龙珠2009,https://v12.qdhdcate.com/yyv12/202408/19/pwHgUQZapg8/video/index.m3u8
异形基地,https://v10.qdhdcate.com/yyv10/202408/13/vpEx0VK4BY15/video/index.m3u8
哥斯拉对黑多拉,https://v12.qdhdcate.com/yyv12/202408/18/R7RH4gyKjq8/video/index.m3u8
异形：契约国语,https://v11.qdhdcate.com/yyv11/202408/08/x1rbk3GAZu3/video/index.m3u8
异形远征队,https://v8.qdhdcate.com/yyv8/202408/13/WZWKvDKW7K14/video/index.m3u8
战龙哥斯拉之决战宇宙魔龙,https://v8.qdhdcate.com/yyv8/202408/19/hBsfLCH34s14/video/index.m3u8
星际旅行1：无限太空国语,https://v5.qdhdcate.com/yyv5/202408/11/pq8aiK4bTP7/video/index.m3u8
哥斯拉对机械哥斯拉,https://v10.qdhdcate.com/yyv10/202408/20/kRCECnz8t215/video/index.m3u8
惹鬼回路3,https://v12.qdhdcate.com/yyv12/202408/14/ZS3X0D0npM8/video/index.m3u8
修复体,https://v10.qdhdcate.com/yyv10/202408/15/NMQwuGL2hn15/video/index.m3u8
异形国语,https://v12.qdhdcate.com/yyv12/202408/08/iudV16tXFr8/video/index.m3u8
遗弃之地,https://v1.qdhdcate.com/yyv1/202308/20/5xFSnXPM5K2/video/index.m3u8#HD$https://v10.qdhdcate.com/yyv10/202408/05/jqmu0eP6pv15/video/index.m3u8
X档案：征服未来国语,https://v9.qdhdcate.com/yyv9/202408/02/4pxxNdGTnz18/video/index.m3u8
侏罗纪公园国语,https://v9.qdhdcate.com/yyv9/202407/30/FuJLHqF2DW18/video/index.m3u8
最终审判日,https://v11.qdhdcate.com/yyv11/202407/23/VEpzSkJaZB3/video/index.m3u8
金刚归来2024,https://v12.qdhdcate.com/yyv12/202408/04/Vtx6Sp5xtP8/video/index.m3u8
世界末日1998,https://v11.qdhdcate.com/yyv11/202407/31/VuS5GjeazR3/video/index.m3u8
太空旅客国语,https://v10.qdhdcate.com/yyv10/202407/26/SRC6cHXzs015/video/index.m3u8
太空汪汪队,https://v5.qdhdcate.com/yyv5/202407/23/JAHUyskiZZ7/video/index.m3u8
异星觉醒国语,https://v9.qdhdcate.com/yyv9/202407/25/J1pNDx5bFh18/video/index.m3u8
恐怖列车1973,https://v11.qdhdcate.com/yyv11/202407/22/XwmDNpaQBZ3/video/index.m3u8
诺娃队长,https://v10.qdhdcate.com/yyv10/202407/26/Tcpvpc5NeM15/video/index.m3u8
异虫咒,https://v12.qdhdcate.com/yyv12/202407/26/Pk2RFpKpUi8/video/index.m3u8
天地大冲撞国语,https://v11.qdhdcate.com/yyv11/202407/23/vGiaf27d4w3/video/index.m3u8
OnceUponaStar,https://v12.qdhdcate.com/yyv12/202407/24/sFqrv88Fb88/video/index.m3u8
传染2014,https://v10.qdhdcate.com/yyv10/202407/28/1XWBjhgLt815/video/index.m3u8
死侍与金刚狼,https://v8.qdhdcate.com/yyv8/202407/26/aLZFV4xSzk14/video/index.m3u8#HD人工中字$https://v9.qdhdcate.com/yyv9/202407/27/CzttJcDhRu18/video/index.m3u8#HD$https://v11.qdhdcate.com/yyv11/202407/28/nkn2VWGPU23/video/index.m3u8
地心引力国语,https://v10.qdhdcate.com/yyv10/202407/28/mnTqYGTWiT15/video/index.m3u8
透明人国语,https://v10.qdhdcate.com/yyv10/202407/22/76hmhVzGj915/video/index.m3u8
铁男1：金属兽,https://v12.qdhdcate.com/yyv12/202407/26/Nc6jU3FxiF8/video/index.m3u8
神秘博士：圣诞入侵,https://v10.qdhdcate.com/yyv10/202407/23/V2pumH4taW15/video/index.m3u8
神秘博士：下一位博士,https://v8.qdhdcate.com/yyv8/202407/23/0AaSBN0g8314/video/index.m3u8
寂静之地：入侵日,https://v12.qdhdcate.com/yyv12/202406/29/ACMPrhXDqp8/video/index.m3u8#HD$https://v9.qdhdcate.com/yyv9/202407/04/324WgKAbNH18/video/index.m3u8#中字版$https://v9.qdhdcate.com/yyv9/202407/25/FBZNLzxdJ218/video/index.m3u8
变蝇人1986,https://v12.qdhdcate.com/yyv12/202407/19/PemZTHx0DG8/video/index.m3u8
神秘博士：瑞芙·桑恩的丈夫们,https://v12.qdhdcate.com/yyv12/202407/23/Gi9Y3GiLex8/video/index.m3u8
天魔异种,https://v11.qdhdcate.com/yyv11/202407/18/Py0aYWBuB63/video/index.m3u8
幽灵螳螂2突变,https://v8.qdhdcate.com/yyv8/202407/10/BCqZsqEQ1x14/video/index.m3u8
世界末日国语,https://v10.qdhdcate.com/yyv10/202407/20/mW0PvL0qgU15/video/index.m3u8
杀戮都市SP,https://v12.qdhdcate.com/yyv12/202407/07/Q1wHrSG4Eh8/video/index.m3u8
邻人X可疑的她,https://v10.qdhdcate.com/yyv10/202407/11/f3fwAW10NB15/video/index.m3u8
停止,https://v11.qdhdcate.com/yyv11/202407/07/73Rb3EVHPP3/video/index.m3u8
黑洞表面国语,https://v12.qdhdcate.com/yyv12/202407/10/vNeg6pwKWN8/video/index.m3u8
变蝇人2国语,https://v10.qdhdcate.com/yyv10/202407/09/qeFzuimeDV15/video/index.m3u8
车王,https://v9.qdhdcate.com/yyv9/202407/14/GMVmBjRSQe18/video/index.m3u8
神秘博士：火星之水,https://v10.qdhdcate.com/yyv10/202407/12/9Pu92anD5b15/video/index.m3u8
刚噶,https://v9.qdhdcate.com/yyv9/202407/07/FzZafXtbSY18/video/index.m3u8
剧场版 假面骑士Drive SURPRISE FUTURE,https://v10.qdhdcate.com/yyv10/202407/11/p9pXD8Uqqq15/video/index.m3u8
幽浮魔点,https://v12.qdhdcate.com/yyv12/202407/08/hXjY97KV608/video/index.m3u8
帝都物语,https://v8.qdhdcate.com/yyv8/202407/06/BxG1ze8iTY14/video/index.m3u8
变蝇人国语,https://v12.qdhdcate.com/yyv12/202407/08/jhLbeHyg878/video/index.m3u8
剧场版 假面骑士零一 真实×时间,https://v11.qdhdcate.com/yyv11/202407/01/GNZ6HtkxBg3/video/index.m3u8
猩球崛起：新世界,https://v8.qdhdcate.com/yyv8/202405/10/Bdq7ih3R9a14/video/index.m3u8#HD$https://v9.qdhdcate.com/yyv9/202407/09/AQxCprJF6i18/video/index.m3u8
假面骑士55520周年天堂?重获,https://v11.qdhdcate.com/yyv11/202407/07/2cFmezqtvX3/video/index.m3u8
银翼杀手：2048无处可逃,https://v12.qdhdcate.com/yyv12/202406/24/wVqYs4Eq2y8/video/index.m3u8
哥斯拉大战金刚2：帝国崛起,https://v11.qdhdcate.com/yyv11/202403/30/pUC05Y15hG3/video/index.m3u8#HD$https://v9.qdhdcate.com/yyv9/202405/13/tirDTwLuCm18/video/index.m3u8#中字$https://v9.qdhdcate.com/yyv9/202405/14/vG2ED5LkCA18/video/index.m3u8#国语$https://v10.qdhdcate.com/yyv10/202407/06/HwcQnJSCvc15/video/index.m3u8#V2$https://v9.qdhdcate.com/yyv9/202405/14/CY0VqPvbVb18/video/index.m3u8
银翼杀手：2036复制人黎明,https://v10.qdhdcate.com/yyv10/202406/24/bYX9mjdFG715/video/index.m3u8
未知的恐惧,https://v11.qdhdcate.com/yyv11/202406/27/VHqJUydL583/video/index.m3u8
变形怪体,https://v8.qdhdcate.com/yyv8/202406/27/cyBW5HdtSS14/video/index.m3u8
白室,https://v10.qdhdcate.com/yyv10/202406/28/jxid9Ev9nr15/video/index.m3u8
异形寄生：起源,https://v12.qdhdcate.com/yyv12/202406/30/Ka81JfJvt08/video/index.m3u8
月光光心慌慌3,https://v12.qdhdcate.com/yyv12/202406/24/TJ6ejXeYGB8/video/index.m3u8
杀人电魔,https://v11.qdhdcate.com/yyv11/202406/21/BTzu9BA0ys3/video/index.m3u8
屌飞船奇遇记,https://v9.qdhdcate.com/yyv9/202406/19/hMjqZnJsn418/video/index.m3u8
太空险航,https://v6.qdhdcate.com/yyv6/202406/19/hDvgtUXbnt12/video/index.m3u8
来自孤寂世的笔记,https://v9.qdhdcate.com/yyv9/202407/02/8MhskdT1bm18/video/index.m3u8
潘多拉的世界,https://v8.qdhdcate.com/yyv8/202406/28/7KHFsirjPi14/video/index.m3u8
活死人之日,https://v10.qdhdcate.com/yyv10/202406/24/VyDNHMSnhS15/video/index.m3u8
食人鱼,https://v12.qdhdcate.com/yyv12/202406/27/Z1Xn6BWK7x8/video/index.m3u8
无限重生2021,https://v5.qdhdcate.com/yyv5/202406/23/gidKeNM2ys7/video/index.m3u8
星际之门：真理之盒,https://v2.qdhdcate.com/yyv2/202406/19/qgYKZAj7Z910/video/index.m3u8
机巧女孩,https://v1.qdhdcate.com/yyv1/202406/18/ys21b2yWLu1/video/index.m3u8
侏罗纪入侵,https://v5.qdhdcate.com/yyv5/202406/20/Ey8KpwfSkL7/video/index.m3u8
纸上谋杀,https://v3.qdhdcate.com/yyv3/202406/15/gYjDuimn2v2/video/index.m3u8
时光骇客,https://v7.qdhdcate.com/yyv7/202406/13/WEV1tQ2kdE13/video/index.m3u8
挑战2023,https://v11.qdhdcate.com/yyv11/202403/06/kipbSq1wUD3/video/index.m3u8#HD国语$https://v10.qdhdcate.com/yyv10/202406/16/8ZUUj35BHS15/video/index.m3u8#HD英语$https://v2.qdhdcate.com/yyv2/202406/16/kzqeFLCLJe10/video/index.m3u8
麒麟特战队之机甲核心,https://v2.qdhdcate.com/yyv2/202406/18/qEqajNebup10/video/index.m3u8
机械威龙,https://v12.qdhdcate.com/yyv12/202406/13/uLEhiMBh3A8/video/index.m3u8
2001太空漫游,https://v1.qdhdcate.com/yyv1/202308/19/5VYTuieFmX2/video/index.m3u8#HD$https://v12.qdhdcate.com/yyv12/202406/14/TgPqP0AUg98/video/index.m3u8
极北之战,https://v8.qdhdcate.com/yyv8/202406/10/RQ6uqizdr214/video/index.m3u8
异形寄生:起源,https://v3.qdhdcate.com/yyv3/202406/12/G7zr2jhKU42/video/index.m3u8
新·奥特曼,https://v11.qdhdcate.com/yyv11/202403/21/cyGRQrADJL4/video/index.m3u8#国语$https://v8.qdhdcate.com/yyv8/202406/09/nXy0QH4rQ414/video/index.m3u8
快乐星球之三十六号,https://v3.qdhdcate.com/yyv3/202406/03/p6S3ag82wP2/video/index.m3u8
不死之脑,https://v8.qdhdcate.com/yyv8/202406/08/DFjfPq7NfX14/video/index.m3u8
仿生超极限,https://v1.qdhdcate.com/yyv1/202405/30/B5fB8tm3Vz1/video/index.m3u8
剧场版与你在世界终结之日FINAL,https://v1.qdhdcate.com/yyv1/202406/03/isw2kHms301/video/index.m3u8
真实魔鬼游戏2008,https://v12.qdhdcate.com/yyv12/202406/01/UMQgLybQDA8/video/index.m3u8
腥夜,https://v3.qdhdcate.com/yyv3/202405/25/9me9PaVFUa2/video/index.m3u8
银河护卫队3,https://v1.qdhdcate.com/yyv1/202308/20/AvhkXEt4Ah2/video/index.m3u8#HD$https://v11.qdhdcate.com/yyv11/202405/07/tD6Mps72df3/video/index.m3u8
邻人X奇怪的她,https://v10.qdhdcate.com/yyv10/202404/26/hyfMPpV1Ss15/video/index.m3u8
白金数据,https://v12.qdhdcate.com/yyv12/202404/25/aqtTKgLExJ8/video/index.m3u8
嗨翻时空,https://v12.qdhdcate.com/yyv12/202404/26/Vxd7nY2yPg8/video/index.m3u8
哥斯拉VS太空哥斯拉,https://v12.qdhdcate.com/yyv12/202403/24/HquU36rjhN5/video/index.m3u8
奇点,https://v11.qdhdcate.com/yyv11/202403/21/4HCrjn7Cpn4/video/index.m3u8
反物质危机,https://v11.qdhdcate.com/yyv11/202403/21/XDidhdL5zG4/video/index.m3u8
独身向前,https://v12.qdhdcate.com/yyv12/202403/24/dVrxWKPiGB5/video/index.m3u8
人工智能：灭绝危机,https://v11.qdhdcate.com/yyv11/202403/21/2PY3R26tW84/video/index.m3u8
冰肤传说,https://v11.qdhdcate.com/yyv11/202403/20/XpBPqxmdT34/video/index.m3u8
最终频率,https://v10.qdhdcate.com/yyv10/202405/02/8CcWC3E7Ug15/video/index.m3u8
超能奇才,https://v11.qdhdcate.com/yyv11/202403/20/9WkpnQwaEN4/video/index.m3u8
做个正常人,https://v11.qdhdcate.com/yyv11/202404/25/LzwhGry3bA3/video/index.m3u8
克隆人,https://v11.qdhdcate.com/yyv11/202403/21/WiUXFCuDNQ4/video/index.m3u8
心慌慌,https://v11.qdhdcate.com/yyv11/202403/21/eR01t81GKU4/video/index.m3u8
时间的皱折,https://v11.qdhdcate.com/yyv11/202403/21/u3csFi0Tw34/video/index.m3u8
太空之旅,https://v11.qdhdcate.com/yyv11/202404/17/PWZesvG5XA3/video/index.m3u8
神秘博士元旦特辑：新年决心,https://v11.qdhdcate.com/yyv11/202403/21/5h8YDrnQ4b4/video/index.m3u8
末世指令,https://v11.qdhdcate.com/yyv11/202403/21/eYdrHJ7xWc4/video/index.m3u8
穿越白色空间,https://v11.qdhdcate.com/yyv11/202403/21/0Dje4YN7f64/video/index.m3u8
2016：夜之尽头,https://v11.qdhdcate.com/yyv11/202403/21/apXn0MsG9d4/video/index.m3u8
第一缕曙光,https://v11.qdhdcate.com/yyv11/202403/21/Gj5px29L4m4/video/index.m3u8
伊甸园计划,https://v11.qdhdcate.com/yyv11/202403/21/T94XeEXMc94/video/index.m3u8
优越,https://v11.qdhdcate.com/yyv11/202403/21/5RbrbkJjq44/video/index.m3u8
核子航母遇险记,https://v10.qdhdcate.com/yyv10/202404/16/7c4bNRx9c515/video/index.m3u8
深渊之神,https://v11.qdhdcate.com/yyv11/202404/20/5ueMK94MkS3/video/index.m3u8
平行世界之门,https://v11.qdhdcate.com/yyv11/202403/21/p86RE7JK3M4/video/index.m3u8
吞天巨鲨,https://v12.qdhdcate.com/yyv12/202404/18/7hTutfx9e48/video/index.m3u8
飞碟征空,https://v12.qdhdcate.com/yyv12/202404/15/3fW7ehkx7X8/video/index.m3u8
缄默,https://v11.qdhdcate.com/yyv11/202403/21/xCy9nt5KiG4/video/index.m3u8
无限密室,https://v11.qdhdcate.com/yyv11/202403/21/S4sf4GbFa14/video/index.m3u8
百日孤独,https://v12.qdhdcate.com/yyv12/202404/14/y0URfX8kyB8/video/index.m3u8
狂乱,https://v12.qdhdcate.com/yyv12/202404/06/ULabGxfG3E8/video/index.m3u8
异形战争,https://v11.qdhdcate.com/yyv11/202403/21/A1xphKi5zr4/video/index.m3u8
寻找明日,https://v11.qdhdcate.com/yyv11/202403/21/2iupwQG8hP4/video/index.m3u8
预兆散步的侵略者电影版,https://v11.qdhdcate.com/yyv11/202403/21/ReH9tTr7t04/video/index.m3u8
黑暗扫描仪,https://v12.qdhdcate.com/yyv12/202403/27/er7bWK3pT25/video/index.m3u8
宇宙潮汐,https://v11.qdhdcate.com/yyv11/202403/21/Lxa1p84bQr4/video/index.m3u8
无限：未知对象,https://v11.qdhdcate.com/yyv11/202404/01/3n0mheZMqF4/video/index.m3u8
穿越,https://v11.qdhdcate.com/yyv11/202403/21/QThTGD3gNp4/video/index.m3u8
科拉深孔,https://v11.qdhdcate.com/yyv11/202403/21/iHDSX6Xq1G4/video/index.m3u8
巨物,https://v11.qdhdcate.com/yyv11/202403/21/nA718JtTrA4/video/index.m3u8
刀走偏锋,https://v8.qdhdcate.com/yyv8/202403/02/dRK76HKiHZ1/video/index.m3u8
夺命凶灵,https://v12.qdhdcate.com/yyv12/202403/24/kreDinxwzE5/video/index.m3u8
黑暗迷球,https://v11.qdhdcate.com/yyv11/202403/22/ZgyZrfKzcu4/video/index.m3u8
火星上的最后时日,https://v11.qdhdcate.com/yyv11/202403/21/5rwqFb3d6P4/video/index.m3u8
幽灵螳螂II之突变,https://v11.qdhdcate.com/yyv11/202403/18/gXLAFhfF9f3/video/index.m3u8
异形起源,https://v8.qdhdcate.com/yyv8/202403/03/Ffp0YtgcRw1/video/index.m3u8
龙林逃生2,https://v11.qdhdcate.com/yyv11/202403/21/pq63ZK47Nk3/video/index.m3u8
机械危情,https://v8.qdhdcate.com/yyv8/202403/03/AgcvtpfNs51/video/index.m3u8
血与雪,https://v12.qdhdcate.com/yyv12/202403/23/u836EzLRC24/video/index.m3u8
黑暗心灵,https://v11.qdhdcate.com/yyv11/202403/21/QbtXqjz7nY4/video/index.m3u8
科洛弗悖论,https://v11.qdhdcate.com/yyv11/202403/15/bibtYmkmw94/video/index.m3u8
哥布林,https://v8.qdhdcate.com/yyv8/202403/01/LvuZ92Lvtn1/video/index.m3u8
鬼伴,https://v8.qdhdcate.com/yyv8/202403/03/js0nvar9tu1/video/index.m3u8
动物界,https://v11.qdhdcate.com/yyv11/202403/14/0FS4ApcaFx3/video/index.m3u8
魔偶奇谭10邪恶轴心,https://v8.qdhdcate.com/yyv8/202403/01/YFHh2xNZb61/video/index.m3u8
幽灵车：复仇之路,https://v11.qdhdcate.com/yyv11/202403/11/05iU9Y3JJ84/video/index.m3u8
磁力怪兽,https://v11.qdhdcate.com/yyv11/202403/01/ksiqAt0YRZ3/video/index.m3u8
心慌方2：超立方体,https://v8.qdhdcate.com/yyv8/202403/01/VCGJXTvXec1/video/index.m3u8
惹鬼回路,https://v8.qdhdcate.com/yyv8/202403/01/E26VwKjWpp1/video/index.m3u8
国际空间站,https://v11.qdhdcate.com/yyv11/202403/15/DRNZHqNQC93/video/index.m3u8
费城实验：再生,https://v8.qdhdcate.com/yyv8/202403/03/RrsCKyeAsK1/video/index.m3u8
此刻只有你共我,https://v11.qdhdcate.com/yyv11/202402/29/HNjRxSveKt3/video/index.m3u8
最后推拉,https://v8.qdhdcate.com/yyv8/202402/17/ePgkn65aHW1/video/index.m3u8
地球回音,https://v8.qdhdcate.com/yyv8/202402/17/Z6vCcVYLzt1/video/index.m3u8
噩梦星球,https://v8.qdhdcate.com/yyv8/202402/17/H6wpBxur9G1/video/index.m3u8
失落的未来,https://v8.qdhdcate.com/yyv8/202402/17/pqiSPMtwjS1/video/index.m3u8
神秘博士：雪人,https://v8.qdhdcate.com/yyv8/202402/17/Y5fy1CtvSw1/video/index.m3u8
魔盒：隐喻,https://v12.qdhdcate.com/yyv12/202402/20/AUyEckVXA54/video/index.m3u8
灵魂大搜索,https://v11.qdhdcate.com/yyv11/202402/17/MgFYGUZUsg3/video/index.m3u8
不可思议的融化人,https://v11.qdhdcate.com/yyv11/202402/18/fSKm4ddxrP3/video/index.m3u8
太空巴迪,https://v8.qdhdcate.com/yyv8/202402/17/e9Xteu2jpJ1/video/index.m3u8
天外魔花,https://v8.qdhdcate.com/yyv8/202401/25/nBXQBg80CL1/video/index.m3u8
竞速求生,https://v8.qdhdcate.com/yyv8/202401/25/YpxvFF7tk31/video/index.m3u8
20世纪少年,https://v11.qdhdcate.com/yyv11/202402/07/FWyeSuneVf3/video/index.m3u8
似人非人,https://v8.qdhdcate.com/yyv8/202401/25/JvYZCrp2mX1/video/index.m3u8
